cell_type,cell_type_class,gene,nCPM,specificity_log2_ratio,marker_rank
Bergmann glia,Glial cells,ALDH1A1,1353.3,5.796494639605955,1
Bergmann glia,Glial cells,TIMP4,138.4,5.756393643540915,2
Bergmann glia,Glial cells,COL22A1,226.2,5.318391887443079,3
Bergmann glia,Glial cells,LCAT,364.4,5.227258176508262,4
Bergmann glia,Glial cells,FAM181B,422.0,5.0502038668035105,5
Bergmann glia,Glial cells,BLM,286.6,4.943187305760972,6
Bergmann glia,Glial cells,ADAMTSL1,3673.3,4.9147039310558975,7
Bergmann glia,Glial cells,GLI1,41.3,4.835217317526169,8
Bergmann glia,Glial cells,ELOVL2,348.1,4.833322124727748,9
Bergmann glia,Glial cells,STON1,386.3,4.697428992887839,10
Bergmann glia,Glial cells,LGR6,226.5,4.655916910749775,11
Bergmann glia,Glial cells,SLC4A4,4574.7,4.5953154359721315,12
Bergmann glia,Glial cells,SMTN,246.5,4.544879979972938,13
Bergmann glia,Glial cells,PDLIM3,446.7,4.474223083704305,14
Bergmann glia,Glial cells,NDRG2,875.3,4.452478857995531,15
Bergmann glia,Glial cells,TSPAN11,131.3,4.415401035891802,16
Bergmann glia,Glial cells,ALDH1L1,281.3,4.350692388583445,17
Bergmann glia,Glial cells,SLC1A3,5853.4,4.336150471576703,18
Bergmann glia,Glial cells,ATP10B,948.7,4.327467340741125,19
Bergmann glia,Glial cells,KCNJ16,224.9,4.2577144585825,20
Bergmann glia,Glial cells,FXYD1,336.8,4.221866209849048,21
Bergmann glia,Glial cells,SRPX,204.6,4.1920376734247595,22
Bergmann glia,Glial cells,HEPN1,306.2,4.174286312791646,23
Bergmann glia,Glial cells,RGS20,532.1,4.1717713441152755,24
Bergmann glia,Glial cells,RGCC,596.0,4.13528198640872,25
Bergmann glia,Glial cells,TJP2,370.8,4.12950644537995,26
Bergmann glia,Glial cells,BMPR1B,1335.1,4.107123875937023,27
Bergmann glia,Glial cells,CDC42EP4,319.5,4.104835991132154,28
Bergmann glia,Glial cells,TUBB2B,539.4,4.088992650568117,29
Bergmann glia,Glial cells,TTPA,154.2,4.035590107525008,30
Bergmann glia,Glial cells,PCSK6,1017.2,3.9996823042483927,31
Bergmann glia,Glial cells,CYP2J2,181.5,3.976830835545819,32
Bergmann glia,Glial cells,TST,62.7,3.946973834809545,33
Bergmann glia,Glial cells,VIT,142.4,3.9307754465316393,34
Bergmann glia,Glial cells,COL23A1,282.8,3.9256359176503945,35
Bergmann glia,Glial cells,KCNE5,23.0,3.8717999311401563,36
Bergmann glia,Glial cells,RAB34,104.0,3.868071346717991,37
Bergmann glia,Glial cells,PLA2G5,68.1,3.867757281604734,38
Bergmann glia,Glial cells,LGI4,299.6,3.8555034416135188,39
Bergmann glia,Glial cells,IL33,76.4,3.8469805662234577,40
Bergmann glia,Glial cells,GDF10,44.6,3.8125413687729393,41
Bergmann glia,Glial cells,NHSL1,1279.1,3.806436524454606,42
Bergmann glia,Glial cells,HSD17B6,55.7,3.780088056288611,43
Bergmann glia,Glial cells,PLEKHH2,524.0,3.758752351977631,44
Bergmann glia,Glial cells,CLDN10,95.4,3.7551596317579543,45
Bergmann glia,Glial cells,BCAT2,379.8,3.70994242039966,46
Bergmann glia,Glial cells,GPR37L1,238.4,3.7054520663162234,47
Bergmann glia,Glial cells,CCDC80,101.1,3.685911888291014,48
Bergmann glia,Glial cells,BTBD17,30.9,3.6823266336178766,49
Bergmann glia,Glial cells,S1PR1,82.6,3.6816323069625136,50
Bergmann glia,Glial cells,IRX5,26.8,3.681535760416209,51
Bergmann glia,Glial cells,FGFR2,1277.6,3.677411464744082,52
Bergmann glia,Glial cells,PHYHD1,83.0,3.671176795774237,53
Bergmann glia,Glial cells,RNF182,267.8,3.6646032000850983,54
Bergmann glia,Glial cells,IRX1,43.3,3.653162654508943,55
Bergmann glia,Glial cells,HES5,84.6,3.652076696579694,56
Bergmann glia,Glial cells,ENHO,208.9,3.619936722275677,57
Bergmann glia,Glial cells,HIF3A,553.0,3.6091217736456356,58
Bergmann glia,Glial cells,MLC1,154.2,3.602305655266447,59
Bergmann glia,Glial cells,ASB18,81.3,3.5927923983259236,60
Bergmann glia,Glial cells,PHF21B,294.1,3.584651426614814,61
Bergmann glia,Glial cells,ID4,315.6,3.5822309851543586,62
Bergmann glia,Glial cells,FAM107A,228.4,3.552065932887337,63
Bergmann glia,Glial cells,FAM167A,54.9,3.544476939843273,64
Bergmann glia,Glial cells,ACBD7,40.3,3.5225037962318955,65
Bergmann glia,Glial cells,PTCH1,439.3,3.470835515079567,66
Bergmann glia,Glial cells,ZIC3,33.5,3.451092317724568,67
Bergmann glia,Glial cells,MDK,65.8,3.450818488332589,68
Bergmann glia,Glial cells,FGFR3,251.7,3.447869525945717,69
Bergmann glia,Glial cells,WFDC1,110.6,3.4465618183862556,70
Bergmann glia,Glial cells,MAP2K6,648.5,3.4338198893088743,71
Bergmann glia,Glial cells,ETNPPL,207.2,3.415751611180192,72
Bergmann glia,Glial cells,MCC,974.4,3.4144848175243165,73
Bergmann glia,Glial cells,SLC13A5,28.8,3.411813598404558,74
Bergmann glia,Glial cells,LRRC8A,222.3,3.3949923198627463,75
Bergmann glia,Glial cells,SERPINE2,536.0,3.394982041466399,76
Bergmann glia,Glial cells,TTYH1,451.6,3.3887286272940957,77
Bergmann glia,Glial cells,MT3,792.2,3.379305512414436,78
Bergmann glia,Glial cells,S100B,839.6,3.3699308869460816,79
Bergmann glia,Glial cells,SDS,28.5,3.318227926044771,80
Bergmann glia,Glial cells,NKX2-2,101.1,3.3177806350724532,81
Bergmann glia,Glial cells,GRID2,18167.2,3.297281840711046,82
Bergmann glia,Glial cells,GSTM5,38.4,3.2968485925361533,83
Bergmann glia,Glial cells,PREX2,1960.0,3.296318301116696,84
Bergmann glia,Glial cells,APOE,1030.8,3.2721797994651203,85
Bergmann glia,Glial cells,LFNG,64.1,3.2667865406949015,86
Bergmann glia,Glial cells,TRIL,79.6,3.2576421185397333,87
Bergmann glia,Glial cells,IL17RB,86.5,3.247203225047347,88
Bergmann glia,Glial cells,ATP1A4,16.4,3.2441636317342306,89
Bergmann glia,Glial cells,HEPACAM,279.6,3.2438124258962757,90
Bergmann glia,Glial cells,TLCD1,14.9,3.2383360019193006,91
Bergmann glia,Glial cells,TRIB2,224.2,3.219754668859859,92
Bergmann glia,Glial cells,KLF15,59.6,3.2181183354036205,93
Bergmann glia,Glial cells,SCARA3,117.1,3.207160085161063,94
Bergmann glia,Glial cells,COL8A1,302.0,3.2052859776675686,95
Bergmann glia,Glial cells,RGMA,280.0,3.1776937741250952,96
Bergmann glia,Glial cells,GLUL,673.0,3.1764976553657984,97
Bergmann glia,Glial cells,ARHGEF26,418.7,3.1755609030333543,98
Bergmann glia,Glial cells,SPRY1,111.0,3.175086706558091,99
Bergmann glia,Glial cells,SYPL2,21.5,3.156002625209943,100
Bergmann glia,Glial cells,SFXN5,887.5,3.152815193123622,101
Bergmann glia,Glial cells,PLSCR4,330.9,3.137996242521514,102
Bergmann glia,Glial cells,PON2,513.7,3.137596959522183,103
Bergmann glia,Glial cells,LGALS3,129.2,3.136765005668341,104
Bergmann glia,Glial cells,RHOJ,349.5,3.1216479231087844,105
Bergmann glia,Glial cells,PAX6,113.2,3.114941369097843,106
Bergmann glia,Glial cells,ANKDD1A,431.1,3.1145163680542187,107
Bergmann glia,Glial cells,GABRG1,350.0,3.1099824609860303,108
Bergmann glia,Glial cells,ROBO3,108.8,3.1016873444059634,109
Bergmann glia,Glial cells,PIK3C2A,1081.8,3.092486149299507,110
Bergmann glia,Glial cells,PLPP3,310.9,3.0908096990656952,111
Bergmann glia,Glial cells,MGST1,723.2,3.087668104826255,112
Bergmann glia,Glial cells,STK17A,365.7,3.0806476488868015,113
Bergmann glia,Glial cells,EDNRB,203.3,3.071660985127447,114
Bergmann glia,Glial cells,ANGPT1,398.6,3.065670778988869,115
Bergmann glia,Glial cells,TSC22D4,345.9,3.0521085270038455,116
Bergmann glia,Glial cells,AMER2,341.1,3.0243963571141608,117
Bergmann glia,Glial cells,CABLES1,442.8,3.021816271383244,118
Bergmann glia,Glial cells,METRN,446.0,3.0187231386750604,119
Bergmann glia,Glial cells,PRTG,195.3,3.0161924859615024,120
Bergmann glia,Glial cells,ARHGAP31,573.8,3.0132951324408013,121
Bergmann glia,Glial cells,IL17D,142.6,3.0035358696073167,122
Bergmann glia,Glial cells,ADORA2B,42.2,3.003242012692152,123
Bergmann glia,Glial cells,PNP,33.0,3.000514421485532,124
Bergmann glia,Glial cells,FAM181A,20.6,3.0,125
Bergmann glia,Glial cells,IZUMO4,55.6,2.993065064161828,126
Bergmann glia,Glial cells,CDH20,2215.0,2.9891978385181313,127
Bergmann glia,Glial cells,GYG1,169.6,2.9823242495751248,128
Bergmann glia,Glial cells,TOGARAM2,506.7,2.9821058388153023,129
Bergmann glia,Glial cells,GJA1,287.4,2.966023055805582,130
Bergmann glia,Glial cells,SCG3,499.0,2.957338684815078,131
Bergmann glia,Glial cells,DTNA,5440.0,2.9486418261971634,132
Bergmann glia,Glial cells,LAMA2,3075.9,2.9390295623717733,133
Bergmann glia,Glial cells,KLHDC8A,117.1,2.9274141923010464,134
Bergmann glia,Glial cells,GAREM2,40.2,2.923539724484068,135
Bergmann glia,Glial cells,RASSF4,323.9,2.9234961137972846,136
Bergmann glia,Glial cells,NTNG2,126.1,2.9220355057534575,137
Bergmann glia,Glial cells,SERPINI2,313.9,2.921394793026896,138
Bergmann glia,Glial cells,KREMEN1,158.8,2.9110412927824485,139
Bergmann glia,Glial cells,NPAS3,7724.8,2.8998592735891764,140
Bergmann glia,Glial cells,CARMIL1,1405.6,2.894829030084792,141
Bergmann glia,Glial cells,SPX,26.4,2.890943791698768,142
Bergmann glia,Glial cells,PREX1,548.2,2.8850739863629333,143
Bergmann glia,Glial cells,NKAIN4,93.8,2.880229739943426,144
Bergmann glia,Glial cells,XYLT1,1956.0,2.8715723854208135,145
Bergmann glia,Glial cells,LGR4,615.4,2.869743818148746,146
Bergmann glia,Glial cells,LIFR,904.8,2.8620288246638204,147
Bergmann glia,Glial cells,ST3GAL6,728.9,2.8562465538746418,148
Bergmann glia,Glial cells,DAB2,32.9,2.8524141537052285,149
Bergmann glia,Glial cells,SLC7A10,29.2,2.84296797470214,150
Bergmann glia,Glial cells,RUBCNL,147.7,2.836488667705409,151
Bergmann glia,Glial cells,PIRT,25.7,2.8336270231416334,152
Bergmann glia,Glial cells,FJX1,52.4,2.8336270231416325,153
Bergmann glia,Glial cells,WIF1,99.0,2.8077484380051883,154
Bergmann glia,Glial cells,VAT1L,715.7,2.798979707731789,155
Bergmann glia,Glial cells,LAMA4,540.3,2.792306417129384,156
Bergmann glia,Glial cells,ARHGEF28,563.2,2.7886551036669154,157
Bergmann glia,Glial cells,WDR49,657.4,2.7868573391150417,158
Bergmann glia,Glial cells,PTN,1231.5,2.7858293276786363,159
Bergmann glia,Glial cells,EFEMP1,304.7,2.7826974732242493,160
Bergmann glia,Glial cells,ACSS1,224.1,2.7810659916596676,161
Bergmann glia,Glial cells,MEIKIN,188.5,2.77929928631022,162
Bergmann glia,Glial cells,KCNJ10,102.9,2.7644495672863654,163
Bergmann glia,Glial cells,AHCYL1,637.3,2.7637345473551216,164
Bergmann glia,Glial cells,FGF2,186.9,2.7612182669715453,165
Bergmann glia,Glial cells,DGKG,1684.0,2.760938321046185,166
Bergmann glia,Glial cells,ZIC1,665.5,2.757610558562435,167
Bergmann glia,Glial cells,IRX3,23.5,2.7438220976060026,168
Bergmann glia,Glial cells,SMAD9,246.9,2.7355613283037696,169
Bergmann glia,Glial cells,C4orf19,169.8,2.724156352773291,170
Bergmann glia,Glial cells,RFTN2,484.0,2.721811754481944,171
