gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
TMEM200C,ENSG00000206432,0.8835017681121826,0.8835017681121826,0.8835017681121826,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FOXP1,ENSG00000114861,0.8484383821487427,0.8484383821487427,0.8484383821487427,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FOXP2,ENSG00000128573,0.8393036723136902,0.8393036723136902,0.8393036723136902,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CDH8,ENSG00000150394,0.8197944164276123,0.8197944164276123,0.8197944164276123,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
VGLL3,ENSG00000206538,0.803250789642334,0.803250789642334,0.803250789642334,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DUSP6,ENSG00000139318,0.7847304344177246,0.7847304344177246,0.7847304344177246,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ANO10,ENSG00000160746,0.7716673016548157,0.7716673016548157,0.7716673016548157,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LSM6,ENSG00000164167,0.7709957957267761,0.7709957957267761,0.7709957957267761,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RUNX1T1,ENSG00000079102,0.6731486320495605,0.6731486320495605,0.6731486320495605,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SGO1,ENSG00000129810,0.6114738583564758,0.6114738583564758,0.6114738583564758,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ZEB2,ENSG00000169554,0.6114738583564758,0.6114738583564758,0.6114738583564758,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCC,ENSG00000187323,0.5743367075920105,0.5743367075920105,0.5743367075920105,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
COL19A1,ENSG00000082293,0.5280703902244568,0.5280703902244568,0.5280703902244568,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TMEM161B,ENSG00000164180,0.5181738138198853,0.5181738138198853,0.5181738138198853,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KIF18A,ENSG00000121621,0.5061100125312805,0.5061100125312805,0.5061100125312805,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PTPRF,ENSG00000142949,0.470701664686203,0.470701664686203,0.470701664686203,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ABHD5,ENSG00000011198,0.44903117418289185,0.44903117418289185,0.44903117418289185,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
XRN2,ENSG00000088930,0.3365316689014435,0.3365316689014435,0.3365316689014435,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LRRC14,ENSG00000160959,0.2472672313451767,0.2472672313451767,0.2472672313451767,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
METTL15,ENSG00000169519,0.23115630447864532,0.23115630447864532,0.23115630447864532,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GPT,ENSG00000167701,0.22781188786029816,0.22781188786029816,0.22781188786029816,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MEF2C,ENSG00000081189,0.17355604469776154,0.17355604469776154,0.17355604469776154,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RECQL4,ENSG00000160957,0.12893660366535187,0.12893660366535187,0.12893660366535187,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
COL9A1,ENSG00000112280,0.10242940485477448,0.10242940485477448,0.10242940485477448,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
C8orf82,ENSG00000213563,0.09273213893175125,0.09273213893175125,0.09273213893175125,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
REELD1,ENSG00000250673,0.08863767981529236,0.08863767981529236,0.08863767981529236,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NKX2-4,ENSG00000125816,0.08081185817718506,0.08081185817718506,0.08081185817718506,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ZNF251,ENSG00000198169,0.07411562651395798,0.07411562651395798,0.07411562651395798,1,GCST90269774,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
