gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
SOD1,ENSG00000142168,0.9120930433273315,0.9120930433273315,0.9120930433273315,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CFAP410,ENSG00000160226,0.8877547979354858,0.8877547979354858,0.8877547979354858,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TBK1,ENSG00000183735,0.8616788983345032,0.8616788983345032,0.7562851011753082,2,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GPX3,ENSG00000211445,0.7938594222068787,0.7938594222068787,0.7938594222068787,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MOBP,ENSG00000168314,0.7929947972297668,0.7929947972297668,0.7929947972297668,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FCHO1,ENSG00000130475,0.7707341909408569,0.7707341909408569,0.7707341909408569,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MOB3B,ENSG00000120162,0.7585468888282776,0.7585468888282776,0.4382794685661793,2,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNIP1,ENSG00000145901,0.7170587778091431,0.7170587778091431,0.7170587778091431,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LINGO2,ENSG00000174482,0.6682031750679016,0.6682031750679016,0.6682031750679016,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
C9orf72,ENSG00000147894,0.6194552779197693,0.6194552779197693,0.49841438233852386,2,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
G2E3,ENSG00000092140,0.5794705748558044,0.5794705748558044,0.5794705748558044,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLC9A8,ENSG00000197818,0.5050204396247864,0.5050204396247864,0.5050204396247864,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KIF5A,ENSG00000155980,0.4249000549316406,0.4249000549316406,0.4249000549316406,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ERGIC1,ENSG00000113719,0.41566935181617737,0.41566935181617737,0.41566935181617737,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NEK1,ENSG00000137601,0.3487244248390198,0.3487244248390198,0.3487244248390198,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SCFD1,ENSG00000092108,0.3330872654914856,0.3330872654914856,0.3330872654914856,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
UNC13A,ENSG00000130477,0.3249877095222473,0.3249877095222473,0.3249877095222473,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SPATA2,ENSG00000158480,0.3035515248775482,0.3035515248775482,0.3035515248775482,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EQTN,ENSG00000120160,0.2450464963912964,0.2450464963912964,0.2450464963912964,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CLCN3,ENSG00000109572,0.18433719873428345,0.18433719873428345,0.18433719873428345,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RNF114,ENSG00000124226,0.16602793335914612,0.16602793335914612,0.16602793335914612,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IFNK,ENSG00000147896,0.1616852879524231,0.1616852879524231,0.14264513924717903,2,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SCAF4,ENSG00000156304,0.11044182628393173,0.11044182628393173,0.11044182628393173,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SH3RF1,ENSG00000154447,0.09276869148015976,0.09276869148015976,0.09276869148015976,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RPL26L1,ENSG00000037241,0.0629553496837616,0.0629553496837616,0.0629553496837616,1,GCST90027163,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
