gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
ABCA1,ENSG00000165029,0.9829685091972351,0.9829685091972351,0.9829685091972351,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CR1,ENSG00000203710,0.9402323365211487,0.9402323365211487,0.9402323365211487,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ATP8B4,ENSG00000104043,0.9335397481918335,0.9335397481918335,0.8932268023490906,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SORL1,ENSG00000137642,0.9317867755889893,0.9317867755889893,0.8652273019154867,3,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CTSB,ENSG00000164733,0.9223594069480896,0.9223594069480896,0.9223594069480896,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PLCG2,ENSG00000197943,0.9160731434822083,0.9160731434822083,0.813532042503357,5,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
APH1B,ENSG00000138613,0.9126008749008179,0.9126008749008179,0.9126008749008179,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TREM2,ENSG00000095970,0.9064366221427917,0.9064366221427917,0.6721120029687881,3,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LILRB2,ENSG00000131042,0.8933813571929932,0.8933813571929932,0.3514475654810667,4,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NCK2,ENSG00000071051,0.8834507465362549,0.8834507465362549,0.8834507465362549,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CLU,ENSG00000120885,0.846532940864563,0.846532940864563,0.846532940864563,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SHARPIN,ENSG00000179526,0.8290740847587585,0.8290740847587585,0.6333389580249786,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PTK2B,ENSG00000120899,0.8236556053161621,0.8236556053161621,0.8236556053161621,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CASS4,ENSG00000087589,0.8127469420433044,0.8127469420433044,0.8127469420433044,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RASGEF1C,ENSG00000146090,0.8108497262001038,0.8108497262001038,0.8108497262001038,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
