gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
ABCA1,ENSG00000165029,0.9829685091972351,0.9829685091972351,0.9829685091972351,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
CR1,ENSG00000203710,0.9402323365211487,0.9402323365211487,0.9402323365211487,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
ATP8B4,ENSG00000104043,0.9335397481918335,0.9335397481918335,0.8932268023490906,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
SORL1,ENSG00000137642,0.9317867755889893,0.9317867755889893,0.8652273019154867,3,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
CTSB,ENSG00000164733,0.9223594069480896,0.9223594069480896,0.9223594069480896,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
PLCG2,ENSG00000197943,0.9160731434822083,0.9160731434822083,0.813532042503357,5,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
APH1B,ENSG00000138613,0.9126008749008179,0.9126008749008179,0.9126008749008179,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
TREM2,ENSG00000095970,0.9064366221427917,0.9064366221427917,0.6721120029687881,3,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
LILRB2,ENSG00000131042,0.8933813571929932,0.8933813571929932,0.3514475654810667,4,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
NCK2,ENSG00000071051,0.8834507465362549,0.8834507465362549,0.8834507465362549,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
CLU,ENSG00000120885,0.846532940864563,0.846532940864563,0.846532940864563,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
SHARPIN,ENSG00000179526,0.8290740847587585,0.8290740847587585,0.6333389580249786,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
PTK2B,ENSG00000120899,0.8236556053161621,0.8236556053161621,0.8236556053161621,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
CASS4,ENSG00000087589,0.8127469420433044,0.8127469420433044,0.8127469420433044,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
RASGEF1C,ENSG00000146090,0.8108497262001038,0.8108497262001038,0.8108497262001038,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
NECTIN2,ENSG00000130202,0.8093305230140686,0.8093305230140686,0.3795365244150162,5,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
GRN,ENSG00000030582,0.7981571555137634,0.7981571555137634,0.7981571555137634,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
ACE,ENSG00000159640,0.7882005572319031,0.7882005572319031,0.7778217494487762,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
RIN3,ENSG00000100599,0.7679716348648071,0.7679716348648071,0.45576972514390945,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
APP,ENSG00000142192,0.7312143445014954,0.7312143445014954,0.5034550726413727,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
TSPAN14,ENSG00000108219,0.7104026675224304,0.7104026675224304,0.7104026675224304,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
ADAM10,ENSG00000137845,0.7040711045265198,0.7040711045265198,0.7040711045265198,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
ZNF652,ENSG00000198740,0.6789225935935974,0.6789225935935974,0.6789225935935974,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
BIN1,ENSG00000136717,0.6778058409690857,0.6778058409690857,0.6778058409690857,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
MINDY2,ENSG00000128923,0.6597691178321838,0.6597691178321838,0.3931116610765457,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
INPP5D,ENSG00000168918,0.6580504775047302,0.6580504775047302,0.5204785466194153,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
MS4A4E,ENSG00000214787,0.655249297618866,0.655249297618866,0.655249297618866,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
ZNF285,ENSG00000267508,0.6392375230789185,0.6392375230789185,0.6392375230789185,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
SLC24A4,ENSG00000140090,0.6386398673057556,0.6386398673057556,0.6386398673057556,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
PILRA,ENSG00000085514,0.6241456270217896,0.6241456270217896,0.6241456270217896,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.619026)
