gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
ADCY2,ENSG00000078295,0.903235673904419,0.903235673904419,0.903235673904419,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
THSD7A,ENSG00000005108,0.8941097855567932,0.8941097855567932,0.8941097855567932,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FES,ENSG00000182511,0.8547126650810242,0.8547126650810242,0.8547126650810242,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SSBP2,ENSG00000145687,0.8281353116035461,0.8281353116035461,0.8281353116035461,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LMAN2L,ENSG00000114988,0.8279127478599548,0.8279127478599548,0.8279127478599548,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CACNA1C,ENSG00000151067,0.7905799150466919,0.7905799150466919,0.7905799150466919,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SP4,ENSG00000105866,0.760520339012146,0.760520339012146,0.760520339012146,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STARD9,ENSG00000159433,0.7391471862792969,0.7391471862792969,0.7391471862792969,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
INSYN2B,ENSG00000204767,0.7381937503814697,0.7381937503814697,0.7381937503814697,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SHANK2,ENSG00000162105,0.7138400673866272,0.7138400673866272,0.7138400673866272,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KCNB1,ENSG00000158445,0.709340512752533,0.709340512752533,0.709340512752533,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FKBP2,ENSG00000173486,0.7054525017738342,0.7054525017738342,0.7054525017738342,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CNNM4,ENSG00000158158,0.6945708394050598,0.6945708394050598,0.6945708394050598,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAD1L1,ENSG00000002822,0.6833332180976868,0.6833332180976868,0.6833332180976868,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
XPNPEP1,ENSG00000108039,0.6803702712059021,0.6803702712059021,0.6803702712059021,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NUF2,ENSG00000143228,0.6010792255401611,0.6010792255401611,0.6010792255401611,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ANK3,ENSG00000151150,0.5992709398269653,0.5992709398269653,0.5992709398269653,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NFIA,ENSG00000162599,0.5874826312065125,0.5874826312065125,0.5874826312065125,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NMB,ENSG00000197696,0.5866870284080505,0.5866870284080505,0.5866870284080505,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RAMACL,ENSG00000235272,0.5677396059036255,0.5677396059036255,0.5677396059036255,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PALS2,ENSG00000105926,0.5417650938034058,0.5417650938034058,0.5417650938034058,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GNL3,ENSG00000163938,0.5377169251441956,0.5377169251441956,0.5377169251441956,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FADS1,ENSG00000149485,0.5374528169631958,0.5374528169631958,0.5374528169631958,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DCLK3,ENSG00000163673,0.5300607085227966,0.5300607085227966,0.5300607085227966,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MSRA,ENSG00000175806,0.5076113343238831,0.5076113343238831,0.5076113343238831,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BLTP1,ENSG00000138688,0.4934901297092438,0.4934901297092438,0.4934901297092438,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SRPK2,ENSG00000135250,0.48903214931488037,0.48903214931488037,0.48903214931488037,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TRPT1,ENSG00000149743,0.4551531970500946,0.4551531970500946,0.4551531970500946,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GSDME,ENSG00000105928,0.4511840045452118,0.4511840045452118,0.4511840045452118,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CUL4A,ENSG00000139842,0.425674706697464,0.425674706697464,0.425674706697464,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ENSG00000286264,ENSG00000286264,0.40929481387138367,0.40929481387138367,0.40929481387138367,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HAPSTR1,ENSG00000182831,0.3512876331806183,0.3512876331806183,0.3512876331806183,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADD3,ENSG00000148700,0.34758099913597107,0.34758099913597107,0.34758099913597107,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STK4,ENSG00000101109,0.3322393298149109,0.3322393298149109,0.3322393298149109,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PACS1,ENSG00000175115,0.29675421118736267,0.29675421118736267,0.29675421118736267,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
