gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
ADCY2,ENSG00000078295,0.903235673904419,0.903235673904419,0.903235673904419,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
THSD7A,ENSG00000005108,0.8941097855567932,0.8941097855567932,0.8941097855567932,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
FES,ENSG00000182511,0.8547126650810242,0.8547126650810242,0.8547126650810242,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
SSBP2,ENSG00000145687,0.8281353116035461,0.8281353116035461,0.8281353116035461,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
LMAN2L,ENSG00000114988,0.8279127478599548,0.8279127478599548,0.8279127478599548,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
CACNA1C,ENSG00000151067,0.7905799150466919,0.7905799150466919,0.7905799150466919,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
SP4,ENSG00000105866,0.760520339012146,0.760520339012146,0.760520339012146,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
STARD9,ENSG00000159433,0.7391471862792969,0.7391471862792969,0.7391471862792969,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
INSYN2B,ENSG00000204767,0.7381937503814697,0.7381937503814697,0.7381937503814697,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
SHANK2,ENSG00000162105,0.7138400673866272,0.7138400673866272,0.7138400673866272,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
KCNB1,ENSG00000158445,0.709340512752533,0.709340512752533,0.709340512752533,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
FKBP2,ENSG00000173486,0.7054525017738342,0.7054525017738342,0.7054525017738342,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
CNNM4,ENSG00000158158,0.6945708394050598,0.6945708394050598,0.6945708394050598,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
MAD1L1,ENSG00000002822,0.6833332180976868,0.6833332180976868,0.6833332180976868,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
XPNPEP1,ENSG00000108039,0.6803702712059021,0.6803702712059021,0.6803702712059021,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
NUF2,ENSG00000143228,0.6010792255401611,0.6010792255401611,0.6010792255401611,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
ANK3,ENSG00000151150,0.5992709398269653,0.5992709398269653,0.5992709398269653,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
NFIA,ENSG00000162599,0.5874826312065125,0.5874826312065125,0.5874826312065125,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
NMB,ENSG00000197696,0.5866870284080505,0.5866870284080505,0.5866870284080505,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
RAMACL,ENSG00000235272,0.5677396059036255,0.5677396059036255,0.5677396059036255,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
PALS2,ENSG00000105926,0.5417650938034058,0.5417650938034058,0.5417650938034058,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
GNL3,ENSG00000163938,0.5377169251441956,0.5377169251441956,0.5377169251441956,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
FADS1,ENSG00000149485,0.5374528169631958,0.5374528169631958,0.5374528169631958,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
DCLK3,ENSG00000163673,0.5300607085227966,0.5300607085227966,0.5300607085227966,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
MSRA,ENSG00000175806,0.5076113343238831,0.5076113343238831,0.5076113343238831,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.497020)
