gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
JAK1,ENSG00000162434,0.9751220345497131,0.9751220345497131,0.9751220345497131,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FUCA2,ENSG00000001036,0.9744704365730286,0.9744704365730286,0.9744704365730286,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD40,ENSG00000101017,0.9742006659507751,0.9742006659507751,0.9742006659507751,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SH2B3,ENSG00000111252,0.9728399515151978,0.9728399515151978,0.9728399515151978,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNFRSF1A,ENSG00000067182,0.9425680637359619,0.9425680637359619,0.9425680637359619,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLAMF7,ENSG00000026751,0.9371489882469177,0.9371489882469177,0.9371489882469177,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IFNGR2,ENSG00000159128,0.9341250061988831,0.9341250061988831,0.9341250061988831,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BACH2,ENSG00000112182,0.9246258735656738,0.9246258735656738,0.9246258735656738,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL7R,ENSG00000168685,0.9164968729019165,0.9164968729019165,0.9164968729019165,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CYP24A1,ENSG00000019186,0.9069746136665344,0.9069746136665344,0.9069746136665344,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD58,ENSG00000116815,0.9030892252922058,0.9030892252922058,0.9030892252922058,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SPRED2,ENSG00000198369,0.8964818120002747,0.8964818120002747,0.8964818120002747,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FCRL3,ENSG00000160856,0.8947020173072815,0.8947020173072815,0.8947020173072815,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAF,ENSG00000178573,0.8927666544914246,0.8927666544914246,0.8927666544914246,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SP140,ENSG00000079263,0.8883673548698425,0.8883673548698425,0.8883673548698425,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PHGDH,ENSG00000092621,0.86912602186203,0.86912602186203,0.86912602186203,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TAGAP,ENSG00000164691,0.8578134775161743,0.8578134775161743,0.8578134775161743,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LBH,ENSG00000213626,0.857146143913269,0.857146143913269,0.857146143913269,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EVI5,ENSG00000067208,0.8560059070587158,0.8560059070587158,0.8560059070587158,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ERG,ENSG00000157554,0.8556450605392456,0.8556450605392456,0.8556450605392456,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CBLB,ENSG00000114423,0.8547236919403076,0.8547236919403076,0.8547236919403076,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZNHIT3,ENSG00000273611,0.8539688587188721,0.8539688587188721,0.8539688587188721,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GATA3,ENSG00000107485,0.8501965403556824,0.8501965403556824,0.8501965403556824,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TXK,ENSG00000074966,0.8432586193084717,0.8432586193084717,0.8432586193084717,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZFP36L1,ENSG00000185650,0.8421163558959961,0.8421163558959961,0.8421163558959961,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CXCR4,ENSG00000121966,0.8400326371192932,0.8400326371192932,0.8400326371192932,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TENT4A,ENSG00000112941,0.8371182680130005,0.8371182680130005,0.8371182680130005,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RGS1,ENSG00000090104,0.8358151912689209,0.8358151912689209,0.8358151912689209,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IRF5,ENSG00000128604,0.8348177075386047,0.8348177075386047,0.8348177075386047,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL12A,ENSG00000168811,0.8345628976821899,0.8345628976821899,0.8345628976821899,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ATXN1,ENSG00000124788,0.8321402072906494,0.8321402072906494,0.8321402072906494,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TRAF3,ENSG00000131323,0.8314830660820007,0.8314830660820007,0.8314830660820007,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CHRNA9,ENSG00000174343,0.8307103514671326,0.8307103514671326,0.8307103514671326,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TRIM14,ENSG00000106785,0.8190224170684814,0.8190224170684814,0.8190224170684814,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD5,ENSG00000110448,0.8187946677207947,0.8187946677207947,0.8187946677207947,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NLRC5,ENSG00000140853,0.8179073333740234,0.8179073333740234,0.8179073333740234,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CLEC2D,ENSG00000069493,0.8120936751365662,0.8120936751365662,0.8120936751365662,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ELMO1,ENSG00000155849,0.8089033365249634,0.8089033365249634,0.8089033365249634,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STAT4,ENSG00000138378,0.804265558719635,0.804265558719635,0.804265558719635,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ETS1,ENSG00000134954,0.8011943101882935,0.8011943101882935,0.8011943101882935,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TOX2,ENSG00000124191,0.7976939082145691,0.7976939082145691,0.7976939082145691,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BCL10,ENSG00000142867,0.7976732850074768,0.7976732850074768,0.7976732850074768,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
UBASH3B,ENSG00000154127,0.7934427261352539,0.7934427261352539,0.7934427261352539,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNFSF14,ENSG00000125735,0.792705774307251,0.792705774307251,0.792705774307251,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZNF774,ENSG00000196391,0.7864020466804504,0.7864020466804504,0.7864020466804504,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
AHI1,ENSG00000135541,0.7839866280555725,0.7839866280555725,0.7839866280555725,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TGFBR3,ENSG00000069702,0.7834505438804626,0.7834505438804626,0.7834505438804626,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CTSH,ENSG00000103811,0.7782778739929199,0.7782778739929199,0.7782778739929199,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
INAVA,ENSG00000163362,0.7750833630561829,0.7750833630561829,0.7750833630561829,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NCF4,ENSG00000100365,0.77339768409729,0.77339768409729,0.77339768409729,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL12B,ENSG00000113302,0.7732085585594177,0.7732085585594177,0.7732085585594177,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SYPL1,ENSG00000008282,0.7728403210639954,0.7728403210639954,0.7728403210639954,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ETV7,ENSG00000010030,0.7670842409133911,0.7670842409133911,0.7670842409133911,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BATF3,ENSG00000123685,0.7612656354904175,0.7612656354904175,0.7612656354904175,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PKIA,ENSG00000171033,0.7538833618164062,0.7538833618164062,0.7538833618164062,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZBTB38,ENSG00000177311,0.7534781098365784,0.7534781098365784,0.7534781098365784,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNIP3,ENSG00000050730,0.7497385144233704,0.7497385144233704,0.7497385144233704,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
