gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
PJA1,ENSG00000181191,0.9303026795387268,0.9303026795387268,0.9303026795387268,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SLC39A8,ENSG00000138821,0.9134131073951721,0.9134131073951721,0.9134131073951721,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
KLF6,ENSG00000067082,0.9084256887435913,0.9084256887435913,0.9084256887435913,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
WSCD2,ENSG00000075035,0.8989808559417725,0.8989808559417725,0.8989808559417725,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
GPM6A,ENSG00000150625,0.8936079740524292,0.8936079740524292,0.8936079740524292,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
TMTC1,ENSG00000133687,0.8838144540786743,0.8838144540786743,0.8838144540786743,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NRXN3,ENSG00000021645,0.883711576461792,0.883711576461792,0.883711576461792,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
BBX,ENSG00000114439,0.881881058216095,0.881881058216095,0.881881058216095,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
RGS6,ENSG00000182732,0.8801990151405334,0.8801990151405334,0.8801990151405334,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
GGNBP2,ENSG00000278311,0.871914803981781,0.871914803981781,0.871914803981781,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ESAM,ENSG00000149564,0.8519312739372253,0.8519312739372253,0.8519312739372253,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NRIP1,ENSG00000180530,0.8447601199150085,0.8447601199150085,0.8447601199150085,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
MAN2A1,ENSG00000112893,0.8416651487350464,0.8416651487350464,0.8416651487350464,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
