disease,disease_id,study_accession,trait,publication,pmid,publication_year,discovery_sample_size,replication_sample_size,ancestry,number_of_associations,summary_statistics_available,genome_build,candidate_eligible,primary_selected,selection_assessment,source,access_date
Parkinson disease,parkinson,GCST90308590,Parkinson's disease,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,38155330,2023,2525730,0,European; East Asian; Hispanic or Latin American; African unspecified,121,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90308590,2026-09-14
Parkinson disease,parkinson,GCST90018894,Parkinson's disease,A cross-population atlas of genetic associations for 220 human phenotypes.,34594039,2021,656146,0,European; East Asian,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90018894,2026-09-14
Parkinson disease,parkinson,GCST90480008,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,630290,0,African American or Afro-Caribbean; European; Hispanic or Latin American,4,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90480008,2026-09-14
Parkinson disease,parkinson,GCST90275127,Parkinson's disease,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,38155330,2023,611485,0,European; East Asian; Hispanic or Latin American,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90275127,2026-09-14
Parkinson disease,parkinson,GCST90104087,Parkinson's disease,Common X-Chromosome Variants Are Associated with Parkinson Disease Risk.,33583074,2021,564139,4026,European,4,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90104087,2026-09-14
Parkinson disease,parkinson,GCST90455618,Parkinson's disease,Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.,39080267,2024,539017,0,European,10,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90455618,2026-09-14
Parkinson disease,parkinson,GCST90475830,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,448956,0,European,3,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90475830,2026-09-14
Parkinson disease,parkinson,GCST010991,Parkinson's disease,Genome-wide Association Analysis of Parkinson's Disease and Schizophrenia Reveals Shared Genetic Architecture and Identifies Novel Risk Loci.,32201043,2020,417508,0,European,55,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST010991,2026-09-14
Parkinson disease,parkinson,GCST004902,Parkinson's disease,A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.,28892059,2017,417508,11717,European,55,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST004902,2026-09-14
Parkinson disease,parkinson,GCST90479727,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,400487,0,African American or Afro-Caribbean; European; Hispanic or Latin American,5,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90479727,2026-09-14
