disease,disease_id,study_accession,study,status,sample_size,ancestry,genome_build,summary_statistics_available,number_of_associations,selection_note,source
Parkinson disease,parkinson,GCST90308590,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,ready,2525730.0,European; East Asian; Hispanic or Latin American; African unspecified,GRCh38,False,121,Frozen Parkinson reference study; do not reselect.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90308590
Alzheimer disease,alzheimer,GCST90027158,New insights into the genetic etiology of Alzheimer's disease and related dementias.,ready,487511.0,European,GRCh38,True,89,Large disease-specific GWAS with summary-statistics flag and 83 Open Targets credible sets; chromosome-specific studies excluded.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90027158
Huntington disease,huntington,,,excluded,,,,,,"Catalog ontology has only GCST004691 for Huntington progression, not common-variant disease risk.",https://www.ebi.ac.uk/gwas/rest/api/efoTraits/MONDO_0007739/studies
Amyotrophic lateral sclerosis,als,GCST90027163,Common and rare variant association analyses in amyotrophic lateral sclerosis identify 15 risk loci with distinct genetic architectures and neuron-specific biology.,ready,152268.0,European; East Asian,GRCh38,True,12,Largest disease-specific multi-ancestry GWAS with summary statistics and Open Targets credible sets.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90027163
Multiple system atrophy,multiple_system_atrophy,GCST90406924,Genome sequence analyses identify novel risk loci for multiple system atrophy.,excluded,8016.0,European,GRCh38,True,2,"Eligible risk GWAS exists, but current Open Targets has zero credible sets; older eligible studies also have zero.",https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90406924
Progressive supranuclear palsy,progressive_supranuclear_palsy,GCST006418,Joint genome-wide association study of progressive supranuclear palsy identifies novel susceptibility loci and genetic correlation to neurodegenerative diseases.,ready,12308.0,European,GRCh38,False,13,Largest disease-specific genome-wide array study with Open Targets credible sets.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST006418
Schizophrenia,schizophrenia,GCST90128471,Mapping genomic loci implicates genes and synaptic biology in schizophrenia.,ready,175799.0,European; East Asian; African American or Afro-Caribbean; Hispanic or Latin American,GRCh38,False,1117,Large dedicated PGC disease GWAS with 222 Open Targets credible sets; generic cross-population atlas studies were not preferred.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90128471
Bipolar disorder,bipolar,GCST012465,"Genome-wide association study of more than 40,000 bipolar disorder cases provides new insights into the underlying biology.",ready,413466.0,European,GRCh38,False,64,Largest dedicated bipolar GWAS with usable Open Targets credible sets.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST012465
Major depressive disorder,major_depression,GCST90020227,Bi-ancestral depression GWAS in the Million Veteran Program and meta-analysis in >1.2 million individuals highlight new therapeutic directions. (European component),ready,1154267.0,European,GRCh38,False,117,The larger bi-ancestry record GCST90020230 has zero Open Targets credible sets; the same-publication European component has 94 and is the prespecified comparable alternative.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90020227
Autism spectrum disorder,autism,GCST007556,Identification of common genetic risk variants for autism spectrum disorder.,ready,46350.0,European,GRCh38,False,46,"The larger SPARK record has zero Open Targets credible sets; this disease-specific study has one, so low power is retained and flagged.",https://www.ebi.ac.uk/gwas/rest/api/studies/GCST007556
Attention deficit-hyperactivity disorder,adhd,GCST90269774,"Genome-wide analyses of ADHD identify 27 risk loci, refine the genetic architecture and implicate several cognitive domains.",ready,225534.0,European,GRCh38,False,34,Dedicated diagnosis GWAS with Open Targets credible sets; mixed symptom-and-diagnosis studies excluded.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90269774
Epilepsy,epilepsy,GCST90271608,"GWAS meta-analysis of over 29,000 people with epilepsy identifies 26 risk loci and subtype-specific genetic architecture.",ready,82482.0,European; African unspecified; Asian unspecified,GRCh38,True,6,Dedicated contemporary epilepsy meta-analysis; broad biobank/cross-population atlas records were not preferred.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90271608
Migraine,migraine,GCST90102553,"Genome-wide analysis of 102,084 migraine cases identifies 123 risk loci and subtype-specific risk alleles.",ready,873341.0,European,GRCh38,False,123,Largest dedicated migraine GWAS with extensive Open Targets credible sets; cross-trait and PheCode records excluded.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90102553
Multiple sclerosis,multiple_sclerosis,GCST009597,Multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility.,ready,41505.0,European,GRCh38,False,333,Dedicated disease consortium study with 140 credible sets; larger generic biobank records were not preferred.,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST009597
Tourette syndrome,tourette,GCST90295972,Genome-wide Association Study points to novel locus for Gilles de la Tourette Syndrome.,excluded,19698.0,European,GRCh38,False,4,"Eligible risk GWAS exists, but current Open Targets has zero credible sets; older eligible studies also have zero.",https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90295972
