study_accession,reported_trait,efo_trait,ontology_id,ontology_uri,publication,journal,pmid,first_author,publication_year,discovery_sample_size,discovery_sample_size_numeric,replication_sample_size,replication_sample_size_numeric,ancestry_population,number_of_reported_associations,summary_statistics_available,study_design_information,appropriate_for_common_variant_pd_risk,appropriateness_reason
GCST90707270,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genetic risk loci for Parkinson's disease and dementia in a large-scale population-based Taiwanese cohort (TPMI).,Lancet Reg Health West Pac,41810385,Lin CH,2026,"4,381 Taiwanese ancestry cases, 43,810 Taiwanese ancestry controls",48191,NA,0,East Asian,3,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=6682780; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations; full p-value set flagged by Catalog
GCST90828116,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genetic risk loci for Parkinson's disease and dementia in a large-scale population-based Taiwanese cohort (TPMI).,Lancet Reg Health West Pac,41810385,Lin CH,2026,"11,105 Taiwanese ancestry cases, 68,661 Taiwanese ancestry controls",79766,NA,0,East Asian,22,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=6682780; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 22 ontology-linked reported associations
GCST90828117,Parkinson’s disease progression to dementia,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genetic risk loci for Parkinson's disease and dementia in a large-scale population-based Taiwanese cohort (TPMI).,Lancet Reg Health West Pac,41810385,Lin CH,2026,"333 Taiwanese ancestry cases, 1,998 Taiwanese ancestry controls",2331,NA,0,East Asian,3,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=6660482; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson’s disease progression to dementia
GCST90892629,Parkinson's disease or related grey matter volume atrophy (pleiotropy),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Convergent imaging and genetic signatures of gray matter atrophy in Parkinson's disease.,Neuroimage,42336304,Xie Y,2026,"35,098 European ancestry individuals with grey matter volume measurements, European ancestry Parkinson's disease cases and controls (see Nalls et al, 2019)",35098,NA,0,European,22,False,technology=Genome-wide genotyping array; imputed=True; pooled=None; SNP count=None; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease or related grey matter volume atrophy (pleiotropy)
GCST90473307,ICD10 G20: Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Whole-genome sequencing of 490,640 UK Biobank participants.",Nature,40770095,UK Biobank Whole-Genome Sequencing Consortium,2025,"4,217 Non-Finnish European ancestry cases, 454,223 Non-Finnish European ancestry controls",458440,NA,0,European,0,True,technology=Genome-wide sequencing; imputed=False; pooled=False; SNP count=102304434; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease
GCST90651411,Parkinson's disease (PheCode 332),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population.,Sci Adv,40465716,Liu TY,2025,"1,622 Han Taiwanese ancestry cases, 218,635 Han Taiwanese ancestry controls",220257,NA,0,East Asian,1,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=14181206; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (PheCode 332)
GCST90297582,ICD10 G20: Parkinson's disease (CNV mirror model),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Rare copy-number variants as modulators of common disease susceptibility.,Genome Med,38185688,Auwerx C,2024,"2,470 British ancestry cases, 307,109 British ancestry controls",309579,"341 European ancestry cases, 77,426 European ancestry controls",77767,European,0,True,technology=Genome-wide genotyping array; imputed=False; pooled=None; SNP count=6; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV mirror model)
GCST90297636,ICD10 G20: Parkinson's disease (CNV U-shape model),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Rare copy-number variants as modulators of common disease susceptibility.,Genome Med,38185688,Auwerx C,2024,"2,470 British ancestry cases, 307,109 British ancestry controls",309579,"341 European ancestry cases, 77,426 European ancestry controls",77767,European,0,True,technology=Genome-wide genotyping array; imputed=False; pooled=None; SNP count=6; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV U-shape model)
GCST90297732,ICD10 G20: Parkinson's disease (CNV deletion-only model),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Rare copy-number variants as modulators of common disease susceptibility.,Genome Med,38185688,Auwerx C,2024,"2,470 British ancestry cases, 307,109 British ancestry controls",309579,"341 European ancestry cases, 77,426 European ancestry controls",77767,European,0,True,technology=Genome-wide genotyping array; imputed=False; pooled=None; SNP count=6; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV deletion-only model)
GCST90319903,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.,Nat Commun,39080267,Doostparast Torshizi A,2024,"2,864 European ancestry cases, 158,876 European ancestry controls",161740,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
