study_accession,study_rank,selection_score,sample_size,replication,ancestry,summary_statistics_available,publication_year,number_of_associations,selection_reason,primary_selected,independent_validation_candidate
GCST90308590,1,10,2525730,NA,European; East Asian; Hispanic or Latin American; African unspecified,False,2023,121,direct Parkinson case-control phenotype; variant-level genome-wide design; 121 ontology-linked reported associations; multiple ancestry groups,True,False
GCST90480008,2,9,630290,NA,African American or Afro-Caribbean; European; Hispanic or Latin American,True,2024,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups,False,True
GCST90018894,3,8,656146,NA,European; East Asian,True,2021,2,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups,False,False
GCST90104087,4,8,564139,"1,561 European ancestry cases, 2,465 European ancestry controls",European,True,2021,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog,False,False
GCST90479727,5,8,400487,NA,African American or Afro-Caribbean; European; Hispanic or Latin American,True,2024,5,direct Parkinson case-control phenotype; variant-level genome-wide design; 5 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups,False,False
GCST90104086,6,7,261231,"1,027 European ancestry cases, 1,147 European ancestry controls",European,True,2021,2,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations; full p-value set flagged by Catalog,False,False
GCST90455618,7,6,539017,NA,European,False,2024,10,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations,False,False
GCST90475830,8,6,448956,NA,European,True,2024,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations; full p-value set flagged by Catalog,False,False
GCST004902,9,6,417508,"5,851 European ancestry cases, 5,866 European ancestry controls",European,False,2017,55,direct Parkinson case-control phenotype; variant-level genome-wide design; 55 ontology-linked reported associations,False,False
GCST010991,10,6,417508,NA,European,False,2020,55,direct Parkinson case-control phenotype; variant-level genome-wide design; 55 ontology-linked reported associations,False,False
GCST90320242,11,6,197918,NA,Sub-Saharan African; African unspecified; African American or Afro-Caribbean,False,2023,1,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations; multiple ancestry groups,False,False
GCST010049,12,6,31575,"57,545 European ancestry cases, 1,868,816 European ancestry controls, 988 Japanese ancestry cases, 2,521 Japanese ancestry controls",East Asian; European,False,2020,10,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations; multiple ancestry groups,False,False
GCST002544,13,5,108990,"5,353 European ancestry cases, 5,551 European ancestry controls",European,False,2014,26,direct Parkinson case-control phenotype; variant-level genome-wide design; 26 ontology-linked reported associations,False,False
GCST90707270,14,5,48191,NA,East Asian,True,2026,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations; full p-value set flagged by Catalog,False,False
GCST003922,15,5,14006,"5,125 Asian ancestry cases, 17,604 Asian ancestry controls",East Asian; Asian unspecified,True,2016,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups,False,False
GCST012431,16,5,10533,NA,European,True,2021,14,direct Parkinson case-control phenotype; variant-level genome-wide design; 14 ontology-linked reported associations; full p-value set flagged by Catalog,False,False
GCST003984,17,4,334141,NA,European,False,2016,25,direct Parkinson case-control phenotype; variant-level genome-wide design; 25 ontology-linked reported associations,False,False
