id,label,hemisphere,structure
1,Precentral_L,L,cortex
2,Precentral_R,R,cortex
3,Frontal_Sup_2_L,L,cortex
4,Frontal_Sup_2_R,R,cortex
5,Frontal_Mid_2_L,L,cortex
6,Frontal_Mid_2_R,R,cortex
7,Frontal_Inf_Oper_L,L,cortex
8,Frontal_Inf_Oper_R,R,cortex
9,Frontal_Inf_Tri_L,L,cortex
10,Frontal_Inf_Tri_R,R,cortex
11,Frontal_Inf_Orb_2_L,L,cortex
12,Frontal_Inf_Orb_2_R,R,cortex
13,Rolandic_Oper_L,L,cortex
14,Rolandic_Oper_R,R,cortex
15,Supp_Motor_Area_L,L,cortex
16,Supp_Motor_Area_R,R,cortex
17,Olfactory_L,L,cortex
18,Olfactory_R,R,cortex
19,Frontal_Sup_Medial_L,L,cortex
20,Frontal_Sup_Medial_R,R,cortex
21,Frontal_Med_Orb_L,L,cortex
22,Frontal_Med_Orb_R,R,cortex
23,Rectus_L,L,cortex
24,Rectus_R,R,cortex
25,OFCmed_L,L,cortex
26,OFCmed_R,R,cortex
27,OFCant_L,L,cortex
28,OFCant_R,R,cortex
29,OFCpost_L,L,cortex
30,OFCpost_R,R,cortex
31,OFClat_L,L,cortex
32,OFClat_R,R,cortex
33,Insula_L,L,cortex
34,Insula_R,R,cortex
37,Cingulate_Mid_L,L,cortex
38,Cingulate_Mid_R,R,cortex
39,Cingulate_Post_L,L,cortex
40,Cingulate_Post_R,R,cortex
41,Hippocampus_L,L,subcortex/brainstem
42,Hippocampus_R,R,subcortex/brainstem
43,ParaHippocampal_L,L,cortex
44,ParaHippocampal_R,R,cortex
45,Amygdala_L,L,subcortex/brainstem
46,Amygdala_R,R,subcortex/brainstem
47,Calcarine_L,L,cortex
48,Calcarine_R,R,cortex
49,Cuneus_L,L,cortex
50,Cuneus_R,R,cortex
51,Lingual_L,L,cortex
52,Lingual_R,R,cortex
53,Occipital_Sup_L,L,cortex
54,Occipital_Sup_R,R,cortex
55,Occipital_Mid_L,L,cortex
56,Occipital_Mid_R,R,cortex
57,Occipital_Inf_L,L,cortex
58,Occipital_Inf_R,R,cortex
59,Fusiform_L,L,cortex
60,Fusiform_R,R,cortex
61,Postcentral_L,L,cortex
62,Postcentral_R,R,cortex
63,Parietal_Sup_L,L,cortex
64,Parietal_Sup_R,R,cortex
65,Parietal_Inf_L,L,cortex
66,Parietal_Inf_R,R,cortex
67,SupraMarginal_L,L,cortex
68,SupraMarginal_R,R,cortex
69,Angular_L,L,cortex
70,Angular_R,R,cortex
71,Precuneus_L,L,cortex
72,Precuneus_R,R,cortex
73,Paracentral_Lobule_L,L,cortex
74,Paracentral_Lobule_R,R,cortex
75,Caudate_L,L,subcortex/brainstem
76,Caudate_R,R,subcortex/brainstem
77,Putamen_L,L,subcortex/brainstem
78,Putamen_R,R,subcortex/brainstem
79,Pallidum_L,L,subcortex/brainstem
80,Pallidum_R,R,subcortex/brainstem
83,Heschl_L,L,cortex
84,Heschl_R,R,cortex
85,Temporal_Sup_L,L,cortex
86,Temporal_Sup_R,R,cortex
