donor,file_type,filename,relative_path,size_bytes,size_mib,n_rows,n_columns,present
10021,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor10021/SampleAnnot.csv,84877,0.08,893,13,True
10021,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor10021/MicroarrayExpression.csv,909763722,867.62,58692,894,True
10021,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor10021/Ontology.csv,188964,0.18,1839,8,True
10021,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor10021/PACall.csv,105293448,100.42,58692,894,True
10021,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor10021/Probes.csv,5223610,4.98,58692,7,True
12876,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor12876/SampleAnnot.csv,36100,0.03,363,13,True
12876,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor12876/MicroarrayExpression.csv,370091757,352.95,58692,364,True
12876,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor12876/Ontology.csv,188964,0.18,1839,8,True
12876,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor12876/PACall.csv,43079928,41.08,58692,364,True
12876,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor12876/Probes.csv,5223610,4.98,58692,7,True
14380,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor14380/SampleAnnot.csv,55090,0.05,529,13,True
14380,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor14380/MicroarrayExpression.csv,539133290,514.16,58692,530,True
14380,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor14380/Ontology.csv,188964,0.18,1839,8,True
14380,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor14380/PACall.csv,62565672,59.67,58692,530,True
14380,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor14380/Probes.csv,5223610,4.98,58692,7,True
15496,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor15496/SampleAnnot.csv,48502,0.05,470,13,True
15496,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor15496/MicroarrayExpression.csv,480399761,458.14,58692,471,True
15496,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor15496/Ontology.csv,188964,0.18,1839,8,True
15496,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor15496/PACall.csv,55640016,53.06,58692,471,True
15496,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor15496/Probes.csv,5223610,4.98,58692,7,True
15697,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor15697/SampleAnnot.csv,52131,0.05,501,13,True
15697,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor15697/MicroarrayExpression.csv,513714732,489.92,58692,502,True
15697,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor15697/Ontology.csv,188964,0.18,1839,8,True
15697,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor15697/PACall.csv,59278920,56.53,58692,502,True
15697,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor15697/Probes.csv,5223610,4.98,58692,7,True
9861,annotation,SampleAnnot.csv,data/ahba/microarray/normalized_microarray_donor9861/SampleAnnot.csv,89929,0.09,946,13,True
9861,microarray,MicroarrayExpression.csv,data/ahba/microarray/normalized_microarray_donor9861/MicroarrayExpression.csv,965969302,921.22,58692,947,True
9861,ontology,Ontology.csv,data/ahba/microarray/normalized_microarray_donor9861/Ontology.csv,188964,0.18,1839,8,True
9861,pacall,PACall.csv,data/ahba/microarray/normalized_microarray_donor9861/PACall.csv,111514800,106.35,58692,947,True
9861,probes,Probes.csv,data/ahba/microarray/normalized_microarray_donor9861/Probes.csv,5223610,4.98,58692,7,True
