region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
1,Precentral L,Precentral_L,L,cortex,cortex,brain/cortex/cortex,-38.93023255813952,-6.961429381735684,49.64038570618264,51,6,True,retained
2,Precentral R,Precentral_R,R,cortex,cortex,brain/cortex/cortex,41.100857734398105,-9.549837326234837,50.80981958000592,22,2,True,retained
3,Frontal Sup 2 L,Frontal_Sup_2_L,L,cortex,cortex,brain/cortex/cortex,-20.167967145790556,35.95523613963039,35.237371663244346,48,6,True,retained
4,Frontal Sup 2 R,Frontal_Sup_2_R,R,cortex,cortex,brain/cortex/cortex,22.55130706203667,33.19274287943816,37.343737807257114,23,2,True,retained
5,Frontal Mid 2 L,Frontal_Mid_2_L,L,cortex,cortex,brain/cortex/cortex,-35.52695806523187,32.87286443310407,29.937874417572658,42,6,True,retained
6,Frontal Mid 2 R,Frontal_Mid_2_R,R,cortex,cortex,brain/cortex/cortex,38.77366255144033,32.88230452674898,29.3164609053498,11,2,True,retained
7,Frontal Inf Oper L,Frontal_Inf_Oper_L,L,cortex,cortex,brain/cortex/cortex,-48.79576107899808,11.49132947976878,17.801541425818883,6,3,True,retained
8,Frontal Inf Oper R,Frontal_Inf_Oper_R,R,cortex,cortex,brain/cortex/cortex,49.92709077912795,13.675482487491053,20.19585418155826,6,2,True,retained
9,Frontal Inf Tri L,Frontal_Inf_Tri_L,L,cortex,cortex,brain/cortex/cortex,-45.890075128509295,28.666666666666657,12.582839066824832,22,6,True,retained
10,Frontal Inf Tri R,Frontal_Inf_Tri_R,R,cortex,cortex,brain/cortex/cortex,50.06136680613668,28.901906090190607,12.817294281729431,5,2,True,retained
11,Frontal Inf Orb 2 L,Frontal_Inf_Orb_2_L,L,cortex,cortex,brain/cortex/cortex,-41.37346437346437,31.056511056511056,-8.076167076167074,20,6,True,retained
12,Frontal Inf Orb 2 R,Frontal_Inf_Orb_2_R,R,cortex,cortex,brain/cortex/cortex,45.82608695652174,33.418764302059486,-7.988558352402748,4,2,True,retained
13,Rolandic Oper L,Rolandic_Oper_L,L,cortex,cortex,brain/cortex/cortex,-47.37854251012146,-9.751012145748987,12.635627530364374,16,6,True,retained
14,Rolandic Oper R,Rolandic_Oper_R,R,cortex,cortex,brain/cortex/cortex,52.381667918858,-7.537190082644628,13.32982719759579,6,2,True,retained
15,Supp Motor Area L,Supp_Motor_Area_L,L,cortex,cortex,brain/cortex/cortex,-5.690731252911036,3.550069864927792,60.06427573358175,24,6,True,retained
16,Supp Motor Area R,Supp_Motor_Area_R,R,cortex,cortex,brain/cortex/cortex,8.246309574019406,-1.0932096161956935,60.512863770560955,9,2,True,retained
