disease,region,enrichment_z,other_disease_mean_z,other_disease_sd_z,cross_disease_specificity_z,one_sided_p,framework,fdr_p
Schizophrenia,Hippocampus R,3.3316044330118273,0.17661610740302647,0.6132304664825975,5.144865589776327,1.3385620919755214e-07,leave-one-disease-out standardization within region,0.00012601927764885652
Attention deficit-hyperactivity disorder,Angular R,2.275423820177138,-0.12491610287531153,0.47193016521928016,5.086218470347499,1.8263663427370508e-07,leave-one-disease-out standardization within region,0.00012601927764885652
Schizophrenia,Frontal Mid 2 R,1.7169538637025543,-0.36666243637792184,0.48152476057111376,4.327121823619615,7.553520788181658e-06,leave-one-disease-out standardization within region,0.003474619562563563
Multiple sclerosis,N Acc L,2.516285649505399,-0.0059042998657168645,0.5993193649037519,4.208423917315217,1.2857904279520829e-05,leave-one-disease-out standardization within region,0.004435976976434686
Alzheimer disease,OFClat R,1.7508154885224605,0.3116037233344027,0.35431511079494515,4.06195423604437,2.4331809231369253e-05,leave-one-disease-out standardization within region,0.006487384711724112
Schizophrenia,Frontal Inf Oper L,2.636753793056113,-0.2789055481449449,0.723966982024887,4.027337452664146,2.820602048575701e-05,leave-one-disease-out standardization within region,0.006487384711724112
Schizophrenia,Putamen R,4.4768199657387235,-0.42784082256963735,1.2564175004062157,3.9036870998076845,4.736912424890604e-05,leave-one-disease-out standardization within region,0.009338484494784334
Schizophrenia,Hippocampus L,4.426258202266709,0.33978743283637625,1.0885838181729963,3.7539330469644336,8.704068998948239e-05,leave-one-disease-out standardization within region,0.01360582466686116
Bipolar disorder,Cerebellum 9 L,1.4360232832652868,-0.74795876693199,0.5825343549872403,3.7491042914458057,8.873363913170322e-05,leave-one-disease-out standardization within region,0.01360582466686116
Bipolar disorder,Cerebellum Crus2 R,1.4706648886125135,-1.1823231429194307,0.7364665032004841,3.602320024064606,0.00015769487617425787,leave-one-disease-out standardization within region,0.021761892912047585
Attention deficit-hyperactivity disorder,OFCmed R,3.284837817329499,0.018258023589116792,0.9142679990959869,3.572890877697046,0.00017653095636148089,leave-one-disease-out standardization within region,0.022146610888985785
Schizophrenia,Rolandic Oper L,2.6797737256681997,-0.28961921953111136,0.8995673045864075,3.300912483212741,0.00048185469150894937,leave-one-disease-out standardization within region,0.05387319863310429
Epilepsy,Postcentral R,1.5479482549762924,-0.668327667163915,0.6745972629448426,3.285331921545934,0.0005093114813136515,leave-one-disease-out standardization within region,0.05387319863310429
Schizophrenia,Amygdala R,3.9529349891888024,-0.17754188440548566,1.2649205147001308,3.2654042887220327,0.0005465396962778695,leave-one-disease-out standardization within region,0.05387319863310429
Schizophrenia,Putamen L,3.235854912975573,-0.5205873397890183,1.1891039212940333,3.1590529519713226,0.0007914136441690658,leave-one-disease-out standardization within region,0.06585844326923315
Multiple sclerosis,Vermis 9,3.2786638684057667,0.544777505587734,0.8670317058252685,3.15315615847731,0.0008075768994685288,leave-one-disease-out standardization within region,0.06585844326923315
Attention deficit-hyperactivity disorder,OFCpost L,2.651608957917955,-0.2810352185147696,0.9304625014446904,3.1518133958964816,0.0008112996634615679,leave-one-disease-out standardization within region,0.06585844326923315
Attention deficit-hyperactivity disorder,Rectus R,3.198494043028086,0.15159531430003442,1.0153169257337566,3.000933650865809,0.001345766022606008,leave-one-disease-out standardization within region,0.10317539506646062
Schizophrenia,Frontal Inf Tri R,2.487811107586633,-0.4959171127207553,1.0617221012910916,2.8102723082424954,0.0024749799778325957,leave-one-disease-out standardization within region,0.17976170365310432
Migraine,Cerebellum 8 R,3.1590622168644042,-0.513753029243469,1.3722044391877277,2.676580210075683,0.003718888011896501,leave-one-disease-out standardization within region,0.2566032728208586
Bipolar disorder,Cerebellum 7b L,1.4720168197247567,-1.2590618619474638,1.0333761572007818,2.642869842352653,0.004110331496602702,leave-one-disease-out standardization within region,0.27010749834817754
Attention deficit-hyperactivity disorder,OFClat L,1.993498103832684,-0.3227970785519807,0.888797241599777,2.606100777513086,0.004578975613706724,leave-one-disease-out standardization within region,0.2857832979762554
Epilepsy,Thal VPL L,1.8619514360346658,-0.7680727004586405,1.0196340709555862,2.579380398723324,0.004948886309214502,leave-one-disease-out standardization within region,0.2857832979762554
Multiple sclerosis,Vermis 8,2.8055201270790557,0.4146818558695011,0.9363035447779015,2.553486296772144,0.005332523759222912,leave-one-disease-out standardization within region,0.2857832979762554
Bipolar disorder,Cerebellum Crus2 L,1.5415750391872354,-1.0760686831621307,1.0284940386973438,2.5451228921703684,0.005461964271059966,leave-one-disease-out standardization within region,0.2857832979762554
Parkinson disease,Cingulate Mid R,1.2929431101525473,-0.7410996941376191,0.800772282772207,2.5401014096647794,0.005541016552369614,leave-one-disease-out standardization within region,0.2857832979762554
Epilepsy,Precentral R,1.1695786216725779,-1.2305511515688796,0.946127535248385,2.536793068401033,0.005593653008957446,leave-one-disease-out standardization within region,0.2857832979762554
Migraine,Cerebellum 9 R,0.7516639016210728,-0.8323605537207676,0.6275413449542638,2.524175447686696,0.00579850169806895,leave-one-disease-out standardization within region,0.2857832979762554
Schizophrenia,Angular L,2.6174753791670753,0.7414919256985433,0.7543766137073812,2.48679958972882,0.006444899443759285,leave-one-disease-out standardization within region,0.29405040904656243
Attention deficit-hyperactivity disorder,OFCpost R,1.350811502483647,-0.24741772693353242,0.6444081010568857,2.4801507411156742,0.006566342504193403,leave-one-disease-out standardization within region,0.29405040904656243
Schizophrenia,N Acc R,2.2298117656837766,-0.15427528491172499,0.9620892105169763,2.4780311685591174,0.0066054802032198805,leave-one-disease-out standardization within region,0.29405040904656243
Parkinson disease,Thal MGN L,2.383839881049032,-0.1381063702729709,1.0368211590155931,2.432383086892688,0.00749991657697079,leave-one-disease-out standardization within region,0.320703512232143
Epilepsy,Heschl L,1.9458431766459794,0.43180539043398775,0.6245261504180161,2.4242984624400368,0.007668997031638202,leave-one-disease-out standardization within region,0.320703512232143
Attention deficit-hyperactivity disorder,Frontal Inf Orb 2 L,2.579314044405796,0.7611745836974276,0.7586961140515271,2.396400122572512,0.008278502574582174,leave-one-disease-out standardization within region,0.33600981038009997
Amyotrophic lateral sclerosis,Thal VPL R,2.0015447168932803,-0.9596625722723705,1.2450728846038284,2.3783405178789048,0.00869537896196721,leave-one-disease-out standardization within region,0.3428463705004214
Attention deficit-hyperactivity disorder,Rectus L,2.5049994104090136,0.04566101814686839,1.0392347306087302,2.3664898023775547,0.008978834485822132,leave-one-disease-out standardization within region,0.34418865528984843
Attention deficit-hyperactivity disorder,Temporal Mid R,2.3104545714256206,-0.4447744466705108,1.179185478407235,2.3365527040052347,0.00973122706873607,leave-one-disease-out standardization within region,0.357102786649563
Attention deficit-hyperactivity disorder,OFCant L,2.709025648818485,0.6295256529081918,0.8914754160609478,2.3326498504004998,0.009833265139625649,leave-one-disease-out standardization within region,0.357102786649563
Multiple sclerosis,Olfactory R,1.04311114105041,-0.7750211701265654,0.792993556026949,2.292745379024477,0.010931334158464371,leave-one-disease-out standardization within region,0.35757639232192023
Parkinson disease,Cerebellum 10 L,1.5754982225504504,-0.35604644547196684,0.8432346958604818,2.2906370877580713,0.010992206016804068,leave-one-disease-out standardization within region,0.35757639232192023
Schizophrenia,Frontal Inf Tri L,1.922761064305844,0.11664690583070299,0.7897375654836563,2.286980178496421,0.011098490037853476,leave-one-disease-out standardization within region,0.35757639232192023
Multiple sclerosis,Thal VA L,2.10470677010584,-0.7742905346395926,1.260164009849695,2.2846211145871584,0.01116752688090234,leave-one-disease-out standardization within region,0.35757639232192023
Parkinson disease,Thal PuM R,2.3598755927506923,0.3371404605627054,0.8886479260335718,2.276194061709396,0.011417198592586476,leave-one-disease-out standardization within region,0.35757639232192023
Multiple sclerosis,Red N L,2.964599814992071,-0.8185506597192437,1.6659219314637108,2.270905018572729,0.011576364196992912,leave-one-disease-out standardization within region,0.35757639232192023
Bipolar disorder,Cerebellum Crus1 R,0.8735068638150427,-0.7576301068382476,0.7191493284429618,2.268147804830581,0.011660099749627834,leave-one-disease-out standardization within region,0.35757639232192023
Epilepsy,Postcentral L,1.1366700125054547,-0.641356049004784,0.8027858358881329,2.21481992086119,0.01338621366112579,leave-one-disease-out standardization within region,0.4015864098337737
Parkinson disease,Frontal Sup 2 L,1.465250837550306,0.20925020847440667,0.570669852895628,2.2009233932769425,0.013870723767444477,leave-one-disease-out standardization within region,0.4058352701496357
Bipolar disorder,Fusiform R,1.475714147492753,-0.6747412109765354,0.9801317810599212,2.194047167967323,0.01411600939650907,leave-one-disease-out standardization within region,0.4058352701496357
Schizophrenia,Cerebellum Crus1 L,1.5441771162636653,-0.8571490299861635,1.1100036888148401,2.163349699147166,0.015257146627288488,leave-one-disease-out standardization within region,0.42116963043412703
Alzheimer disease,Temporal Pole Mid L,1.5851810807586022,-0.6629286822697347,1.0392127923037922,2.1632814565769403,0.015259769218627792,leave-one-disease-out standardization within region,0.42116963043412703
Attention deficit-hyperactivity disorder,OFCmed L,2.0601362888256864,0.032553609210940845,0.9440912360595246,2.1476554406727986,0.01587056882821138,leave-one-disease-out standardization within region,0.42943892123395494
Epilepsy,Paracentral Lobule L,0.8329973535378297,-1.2102726512302648,0.9684275764580768,2.109884161127611,0.017434167428511813,leave-one-disease-out standardization within region,0.46259791655321986
Schizophrenia,Cerebellum 6 L,1.7066909212638621,-0.3859383859685213,0.9989233453501261,2.094884774665978,0.018090618313491257,leave-one-disease-out standardization within region,0.46259791655321986
Bipolar disorder,Cerebellum 6 R,1.473558976328766,-0.7605006646165191,1.0665619584991353,2.094636531091969,0.01810165760425643,leave-one-disease-out standardization within region,0.46259791655321986
Major depressive disorder,Fusiform L,1.6104850131555792,0.06632265849690008,0.7404126245891188,2.085542984245561,0.018510020315862272,leave-one-disease-out standardization within region,0.46443323701618067
Epilepsy,Thal PuA R,1.7583635457328546,-0.44772215648892594,1.066487740785124,2.0685523310354323,0.01929405754406015,leave-one-disease-out standardization within region,0.4687794346336984
Epilepsy,Supp Motor Area R,0.8609903174776807,-1.256329400865493,1.024297533852795,2.0670944216560616,0.019362628821826672,leave-one-disease-out standardization within region,0.4687794346336984
Major depressive disorder,Temporal Pole Sup L,1.4457440666092816,-0.2143822954095792,0.8093060022984234,2.0512962430824846,0.020119053064598883,leave-one-disease-out standardization within region,0.47413491776109684
Parkinson disease,Supp Motor Area L,0.9654574138017622,-0.39616457012084344,0.6647947488308217,2.0481840241928775,0.020270985614423705,leave-one-disease-out standardization within region,0.47413491776109684
Alzheimer disease,Temporal Pole Sup R,1.0585319105522555,-0.9010644611928839,0.9677861823545564,2.024823672288416,0.021442736703687394,leave-one-disease-out standardization within region,0.48703850688786476
Schizophrenia,Temporal Sup L,2.0255029462679284,-0.11676285416740716,1.058873067331544,2.023156378728226,0.02152851371026069,leave-one-disease-out standardization within region,0.48703850688786476
