disease,file,analysis_stage,source,generated_date,software_version,status,bytes,sha256
all,config/disease_panel.yaml,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,12263,4724ecd7656467329cde399e47e91acc2446cf6488362a00ecbb091760804084
all,config/statistical_parameters.yaml,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,1366,bb1d0017f6190cbf79cc9669541cb10108b01df3c7398183e75a1903167f85b8
adhd,data/genes/multidisease/adhd_broad.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,6517,56aa6214187f4e4f1b24f7aed4b64c2a6cf51af1ad0f5d7b714c0a1f04d2f588
adhd,data/genes/multidisease/adhd_stringent.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,2014,466f406f2a376fba5989cc2968ea18fe70bf7079795365e0a5a9ee186dfa465d
adhd,data/genes/multidisease/adhd_weighted.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,7497,555f06f9bf35aa35031f23053166f9e889aaff1ea43ac356eeedcb90d6db0009
als,data/genes/multidisease/als_broad.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,4662,c53d355176a4ce829dc7e587504302538f18958a01f410191664d25d7edaba27
als,data/genes/multidisease/als_stringent.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,1801,576b2316331418f0c2cbd62007440ad500594997e317e9fc53b582cb85dd77d9
als,data/genes/multidisease/als_weighted.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,5362,e86238b59963b0e7d615d4ffcc89dfa4f763b72955d262c372fefb551fd0ebb9
alzheimer,data/genes/multidisease/alzheimer_broad.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,20763,8fce7c8e643b28fcf6aed5a6b82751d75736e3ec304fdb278627e2155357684b
alzheimer,data/genes/multidisease/alzheimer_stringent.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,6444,d0b3997195939800f176c75343dcaac14f11b8e520acffa813a2c48021cc7637
alzheimer,data/genes/multidisease/alzheimer_weighted.csv,10,generated by GENE2BRAIN Stage 10 from frozen GWAS/Open Targets/AHBA inputs,2026-09-14,GENE2BRAIN stage10; Python 3.12.7; abagen 0.1.3; pandas 2.2.3; numpy 1.26.4; scipy 1.13.1; nibabel 5.3.2; nilearn 0.11.1; matplotlib 3.9.4; seaborn 0.13.2; statsmodels 0.14.4; scikit-learn 1.6.1; requests 2.32.3; jupyter 1.1.1,complete,23927,5beff110609cace5ed0ef06ac8369eacf01b3855e7cf8a628c29659267f63a72
