disease,disease_id,gene_set,total_genes,genes_in_AHBA,genes_missing,missing_gene_symbols,coverage_percent,analysis_status
Parkinson disease,parkinson,broad,149,123,26,IGSF9B;BST1;NOD2;LCORL;FGF20;GPR65;KCNMB3;CRHR1;GCH1;TTC6;FOXA1;BRIP1;MYOC;CCDC18;IQGAP2;MMRN1;WNT9B;FCGR2B;CCDC178;OLAH;NUP42;WDR5B;IL1RL2;MIX23;IL1R2;DEPDC1B,82.5503355704698,ready
Parkinson disease,parkinson,stringent,38,34,4,IGSF9B;BST1;NOD2;LCORL,89.47368421052632,ready
Parkinson disease,parkinson,weighted,149,123,26,IGSF9B;BST1;NOD2;LCORL;FGF20;GPR65;KCNMB3;CRHR1;GCH1;TTC6;FOXA1;BRIP1;MYOC;CCDC18;IQGAP2;MMRN1;WNT9B;FCGR2B;CCDC178;OLAH;NUP42;WDR5B;IL1RL2;MIX23;IL1R2;DEPDC1B,82.5503355704698,ready
Alzheimer disease,alzheimer,broad,113,93,20,CR1;ATP8B4;LILRB2;CASS4;MS4A4E;CLNK;PRDM7;SCIMP;LILRB5;REXO1;SH2D4B;TREML2;FAM227B;LRRC37A;ADGRF4;MRLN;ENSG00000285043;LRRC37A2;SDR42E1;HSD17B2,82.30088495575221,ready
Alzheimer disease,alzheimer,stringent,30,25,5,CR1;ATP8B4;LILRB2;CASS4;MS4A4E,83.33333333333333,ready
Alzheimer disease,alzheimer,weighted,113,93,20,CR1;ATP8B4;LILRB2;CASS4;MS4A4E;CLNK;PRDM7;SCIMP;LILRB5;REXO1;SH2D4B;TREML2;FAM227B;LRRC37A;ADGRF4;MRLN;ENSG00000285043;LRRC37A2;SDR42E1;HSD17B2,82.30088495575221,ready
Huntington disease,huntington,broad,0,0,0,,,excluded_before_gene_prioritization
Huntington disease,huntington,stringent,0,0,0,,,excluded_before_gene_prioritization
Huntington disease,huntington,weighted,0,0,0,,,excluded_before_gene_prioritization
Amyotrophic lateral sclerosis,als,broad,25,22,3,CFAP410;EQTN;IFNK,88.0,ready
Amyotrophic lateral sclerosis,als,stringent,8,7,1,CFAP410,87.5,ready
Amyotrophic lateral sclerosis,als,weighted,25,22,3,CFAP410;EQTN;IFNK,88.0,ready
Multiple system atrophy,multiple_system_atrophy,broad,0,0,0,,,excluded_before_gene_prioritization
Multiple system atrophy,multiple_system_atrophy,stringent,0,0,0,,,excluded_before_gene_prioritization
Multiple system atrophy,multiple_system_atrophy,weighted,0,0,0,,,excluded_before_gene_prioritization
Progressive supranuclear palsy,progressive_supranuclear_palsy,broad,4,4,0,,100.0,needs_review
Progressive supranuclear palsy,progressive_supranuclear_palsy,stringent,1,1,0,,100.0,needs_review
Progressive supranuclear palsy,progressive_supranuclear_palsy,weighted,4,4,0,,100.0,needs_review
Schizophrenia,schizophrenia,broad,451,381,70,ZNF804A;VSIG2;CHRNB4;FOXO3;NMUR2;EYS;IGSF9B;ANKRD36;MTRFR;ANKRD1;LRGUK;KCNG2;GK3;GALNT4;DPP4;PALS2;FANCA;CER1;CTNND1;QTMAN;INAVA;GJD2;DCLK3;SEPTIN3;ANKRD63;WBP2NL;TSSK6;KIF18A;NAT2;PCDHAC1;SERPINC1;DAZL;MRTFB;SLC9C2;GAPT;ITIH1;DNAH11;ITIH3;MMRN1;PIGW;LRRC37A;HIC1;CCDC182;GK2;ITGBL1;GLB1L2;TPH2;PRSS12;SLC66A2;LRRIQ3;OTOL1;POLGARF;LRRC43;SERINC4;SMIM45;COA8;FAM124B;CFAP58;SPMIP4;FREM2;WDR76;GLIPR1L1;TMEM184A;TRARG1;DCAF4L2;PAK6;CYP2D6;BHLHA9;EVA1A;GPRIN3,84.4789356984479,ready
Schizophrenia,schizophrenia,stringent,115,107,8,ZNF804A;VSIG2;CHRNB4;FOXO3;NMUR2;EYS;IGSF9B;ANKRD36,93.04347826086956,ready
Schizophrenia,schizophrenia,weighted,451,381,70,ZNF804A;VSIG2;CHRNB4;FOXO3;NMUR2;EYS;IGSF9B;ANKRD36;MTRFR;ANKRD1;LRGUK;KCNG2;GK3;GALNT4;DPP4;PALS2;FANCA;CER1;CTNND1;QTMAN;INAVA;GJD2;DCLK3;SEPTIN3;ANKRD63;WBP2NL;TSSK6;KIF18A;NAT2;PCDHAC1;SERPINC1;DAZL;MRTFB;SLC9C2;GAPT;ITIH1;DNAH11;ITIH3;MMRN1;PIGW;LRRC37A;HIC1;CCDC182;GK2;ITGBL1;GLB1L2;TPH2;PRSS12;SLC66A2;LRRIQ3;OTOL1;POLGARF;LRRC43;SERINC4;SMIM45;COA8;FAM124B;CFAP58;SPMIP4;FREM2;WDR76;GLIPR1L1;TMEM184A;TRARG1;DCAF4L2;PAK6;CYP2D6;BHLHA9;EVA1A;GPRIN3,84.4789356984479,ready
Bipolar disorder,bipolar,broad,100,80,20,INSYN2B;NUF2;RAMACL;PALS2;DCLK3;BLTP1;ENSG00000286264;HAPSTR1;UQCC5;DOCK2;DNAH11;IL2;CDK1;ADAD1;ALPK3;TMEM184A;ACOT12;ITIH3;IL21;ITIH1,80.0,ready
Bipolar disorder,bipolar,stringent,25,20,5,INSYN2B;NUF2;RAMACL;PALS2;DCLK3,80.0,ready
