disease,disease_id,gene_set,cell_type,cell_type_class,marker_source,overlap,gene_count,background_count,effect_size,p_value,genes,fdr
Alzheimer disease,alzheimer,broad,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,9,93,200,7.563870967741935,2.9196477357055e-06,APOC1;ARHGAP45;INPP5D;MS4A4A;PLCG2;RASGEF1C;RIN3;TREM2;TREML1,9.926802301398701e-05
Alzheimer disease,alzheimer,broad,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,5,93,200,4.202150537634409,0.006829704514738285,ABCA1;APOC1;APOE;CLU;OPLAH,0.11610497675055084
Alzheimer disease,alzheimer,broad,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,CLU;DOC2A;RNF43,0.7933049680456569
Alzheimer disease,alzheimer,broad,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,HS3ST1;RASGEF1C;RNF43,0.7933049680456569
Alzheimer disease,alzheimer,broad,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,ADAMTS1;APOE;BCAM,0.7933049680456569
Alzheimer disease,alzheimer,broad,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,CCNH;EGFR,1.0
Alzheimer disease,alzheimer,broad,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,PTK2B;SLC27A2,1.0
Alzheimer disease,alzheimer,broad,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,ARHGAP45;RIN3,1.0
Alzheimer disease,alzheimer,broad,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,APOE,1.0
Alzheimer disease,alzheimer,broad,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,SLC24A4,1.0
Alzheimer disease,alzheimer,broad,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,DOC2A,1.0
Alzheimer disease,alzheimer,broad,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,EPHA1,1.0
Alzheimer disease,alzheimer,broad,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PROSER2,1.0
Alzheimer disease,alzheimer,broad,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PTK2B,1.0
Alzheimer disease,alzheimer,broad,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PTK2B,1.0
