disease,disease_id,gene,ensembl_id,l2g_score,number_of_top_regions,mean_expression,mean_weighted_contribution,maximum_weighted_contribution,regions
Alzheimer disease,alzheimer,PLCG2,ENSG00000197943,0.9160731434822084,10,0.6354933311355363,0.016057067323828073,0.019536985659341078,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,CLU,ENSG00000120885,0.846532940864563,10,0.6394692982457395,0.014930991228881581,0.01938509855343862,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,SHARPIN,ENSG00000179526,0.8290740847587585,10,0.6192797997044384,0.014161372085219878,0.018200678210565955,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,GRN,ENSG00000030582,0.7981571555137634,10,0.6400585375899515,0.014090720035183862,0.019551167911982956,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,NECTIN2,ENSG00000130202,0.8093305230140686,10,0.6033620941442159,0.013468803650777642,0.018671637242246946,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,ABCA1,ENSG00000165029,0.9829685091972352,9,0.5770484179418177,0.015645049415802574,0.02270434119311231,ACC pre R;ACC sup L;OFClat L;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,APH1B,ENSG00000138613,0.912600874900818,9,0.5819901251053664,0.014649458653796112,0.019954025026030178,ACC pre R;ACC sup L;OFClat L;OFClat R;Temporal Pole Mid L;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,SORL1,ENSG00000137642,0.9317867755889891,8,0.5641690185605774,0.014499427517274673,0.018562218052986565,ACC pre R;OFClat L;OFClat R;Thal AV R;Thal MDm L;Thal PuA L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,APP,ENSG00000142192,0.7312143445014954,8,0.604896167530217,0.012199741125700709,0.014524484053761853,ACC pre R;ACC sup L;OFClat R;Temporal Pole Mid L;Thal AV R;Thal MDm L;Thal PuM L;Thal PuM R
Alzheimer disease,alzheimer,NCK2,ENSG00000071051,0.8834507465362549,7,0.5556167335440875,0.013538879993447805,0.01727889352627379,ACC pre R;OFClat L;OFClat R;Thal AV R;Thal PuA L;Thal PuM L;Thal PuM R
