disease,disease_id,gene_set,ontology,term_id,term_name,overlap,gene_count,background_count,effect_size,p_value,fdr,genes,effective_domain_size,service_adjusted_p
Parkinson disease,parkinson,weighted,GO:BP,GO:0018210,peptidyl-threonine modification,5,123,44,14.014227642276422,2.7239709024166667e-05,0.03528904304080792,STK39;DYRK1A;CAMK2D;MYLK2;LRRK2,15169,0.019660259988192274
Parkinson disease,parkinson,weighted,GO:BP,GO:0018107,peptidyl-threonine phosphorylation,5,123,44,14.014227642276422,2.7239709024166667e-05,0.03528904304080792,STK39;DYRK1A;CAMK2D;MYLK2;LRRK2,15169,0.019660259988192274
Parkinson disease,parkinson,weighted,GO:BP,GO:0006897,endocytosis,15,123,579,3.194953452125195,6.899573872863553e-05,0.056658066843725895,SH3GL2;HIP1R;FCGR2A;RIT2;CLCN3;TMEM175;FYN;PIK3CA;SNCA;NCKIPSD;DGKQ;BCL2L1;LRRK2;BIN3;ANK2,15169,0.03983813954191419
Parkinson disease,parkinson,weighted,GO:BP,GO:0010507,negative regulation of autophagy,6,123,93,7.9564647259375825,0.00010781034157540061,0.056658066843725895,PIK3CA;SNCA;VPS13C;BCL2L1;LRRK2;WDR6,15169,0.04509341097696328
Parkinson disease,parkinson,weighted,GO:BP,GO:1903115,regulation of actin filament-based movement,4,123,31,15.912929451875165,0.00010933629263551891,0.056658066843725895,PKP2;CAMK2D;MYLK2;ANK2,15169,0.04509341097696328
Parkinson disease,parkinson,weighted,GO:BP,GO:0098657,import into cell,17,123,780,2.687856993954555,0.0001831889842393508,0.06270072086180639,SH3GL2;HIP1R;FCGR2A;RIT2;CLCN3;TMEM175;FYN;IRS2;SLC18B1;PIK3CA;SNCA;NCKIPSD;DGKQ;BCL2L1;LRRK2;BIN3;ANK2,15169,0.04682205554335377
Parkinson disease,parkinson,weighted,GO:BP,GO:0071248,cellular response to metal ion,7,123,146,5.912852210713888,0.00018554886911892197,0.06270072086180639,ITPKB;STK39;DLG2;CAMK2D;SNCA;MICU3;LRRK2,15169,0.04682205554335377
Parkinson disease,parkinson,weighted,GO:BP,GO:0009895,negative regulation of catabolic process,10,123,306,4.030235400393219,0.00019359543299670055,0.06270072086180639,FYN;USP25;PIK3CA;SNCA;CCAR2;VPS13C;BCL2L1;DDRGK1;LRRK2;WDR6,15169,0.04682205554335377
Parkinson disease,parkinson,weighted,GO:BP,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,3,123,17,21.763271162123385,0.0003255872668371055,0.09181844812062581,PARP9;CTF1;CNOT7,15169,0.05958772039546048
Parkinson disease,parkinson,weighted,GO:BP,GO:0046928,regulation of neurotransmitter secretion,5,123,75,8.221680216802168,0.00035437455855123816,0.09181844812062581,RIMS1;SV2C;SNCA;MICU3;LRRK2,15169,0.05958772039546048
