disease,disease_id,gene_set,region,region_id,score,number_of_genes,analysis_scale
Parkinson disease,parkinson,broad,Precentral L,1,0.5042957816048337,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Precentral R,2,0.497018847359345,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Sup 2 L,3,0.5065649562401109,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Sup 2 R,4,0.5174625332932841,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Mid 2 L,5,0.5103570919720323,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Mid 2 R,6,0.4996808082781447,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Oper L,7,0.4820091013515451,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Oper R,8,0.4729661721619267,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Tri L,9,0.514906003305034,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Tri R,10,0.5057231418635977,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Orb 2 L,11,0.5242031159035322,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Inf Orb 2 R,12,0.5048554024370565,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Rolandic Oper L,13,0.5189882076508016,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Rolandic Oper R,14,0.5313721259066518,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Supp Motor Area L,15,0.48657411251906535,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Supp Motor Area R,16,0.504012119392847,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Olfactory L,17,0.47187580900349135,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Olfactory R,18,0.45727745999319735,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Sup Medial L,19,0.5153995333132768,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Sup Medial R,20,0.5335963587687055,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Med Orb L,21,0.5051689057628398,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Frontal Med Orb R,22,0.543780751689348,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Rectus L,23,0.5097585726320571,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Rectus R,24,0.531819725477195,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCmed L,25,0.5052916582819736,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCmed R,26,0.5203555995252576,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCant L,27,0.5198115466836435,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCant R,28,0.5404525935041014,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCpost L,29,0.47964987098938683,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFCpost R,30,0.5197932578819882,123,raw_scale_analysis
Parkinson disease,parkinson,broad,OFClat L,31,0.4792987911673351,123,raw_scale_analysis
