disease,disease_id,gene_set,region_id,region,z_score,gene_set_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank,spatially_robust,n_spatial_permutations,donor_median_rank_percentile,donor_rank_iqr,donors_observed
Parkinson disease,parkinson,broad,1,Precentral L,-0.9200387706346447,0.9936028619360286,0.8254174582541746,0.9777158647771587,0.17458254174582544,109,False,10000,0.5044471153846154,0.19707467431761783,6
Parkinson disease,parkinson,broad,2,Precentral R,-0.9544165630081571,0.9936028619360286,0.8492150784921508,0.9777158647771587,0.15078492150784917,116,False,10000,0.3451923076923077,0.029807692307692313,2
Parkinson disease,parkinson,broad,3,Frontal Sup 2 L,1.652901707128071,0.4765123487651235,0.0821917808219178,0.8384690942670439,0.9178082191780822,11,False,10000,0.5483870967741935,0.40614143920595536,6
Parkinson disease,parkinson,broad,4,Frontal Sup 2 R,1.8644032689492007,0.4765123487651235,0.0683931606839316,0.8384690942670439,0.9316068393160684,9,False,10000,0.6410456730769231,0.19489182692307694,2
Parkinson disease,parkinson,broad,5,Frontal Mid 2 L,-0.28557974936476627,0.9410658934106589,0.6264373562643736,0.9542045795420457,0.3735626437356264,90,False,10000,0.5769230769230769,0.22047146401985107,6
Parkinson disease,parkinson,broad,6,Frontal Mid 2 R,-1.0162453666351496,0.9936028619360286,0.8298170182981702,0.9777158647771587,0.17018298170182977,110,False,10000,0.3774639423076923,0.1928485576923077,2
Parkinson disease,parkinson,broad,7,Frontal Inf Oper L,-0.14071542587718075,0.9198545261752894,0.56994300569943,0.9379814959680504,0.43005699430057,82,False,10000,0.3387096774193548,0.3038461538461538,3
Parkinson disease,parkinson,broad,8,Frontal Inf Oper R,-1.518176988937131,0.9936028619360286,0.9453054694530547,0.9788903462594917,0.054694530546945286,133,False,10000,0.2775841346153846,0.1916466346153846,2
Parkinson disease,parkinson,broad,9,Frontal Inf Tri L,-0.722509989384574,0.9936028619360286,0.7417258274172582,0.9777158647771587,0.25827417258274177,100,False,10000,0.7126802884615384,0.3466375232630272,6
Parkinson disease,parkinson,broad,10,Frontal Inf Tri R,-1.2392620940822934,0.9936028619360286,0.8447155284471553,0.9777158647771587,0.15528447155284475,114,False,10000,0.47061298076923075,0.2090745192307692,2
Parkinson disease,parkinson,broad,11,Frontal Inf Orb 2 L,1.1457541613131619,0.6434245464342455,0.17028297170282972,0.8701578821709666,0.8297170282971703,24,False,10000,0.7358774038461539,0.2558826380272953,6
Parkinson disease,parkinson,broad,12,Frontal Inf Orb 2 R,-1.3319979333749552,0.9936028619360286,0.8901109889011098,0.9777158647771587,0.10988901109889015,120,False,10000,0.5332932692307693,0.20516826923076925,2
Parkinson disease,parkinson,broad,13,Rolandic Oper L,1.6490568098444234,0.4765123487651235,0.09869013098690131,0.8384690942670439,0.9013098690130987,16,False,10000,0.5800248138957816,0.3503722084367246,6
Parkinson disease,parkinson,broad,14,Rolandic Oper R,-0.5557695647910084,0.9936028619360286,0.7088291170882912,0.9777158647771587,0.2911708829117088,97,False,10000,0.7711538461538461,0.02115384615384619,2
Parkinson disease,parkinson,broad,15,Supp Motor Area L,0.6373779396846749,0.7490679503478223,0.273972602739726,0.8701578821709666,0.726027397260274,39,False,10000,0.5946650124069479,0.5065136476426799,6
Parkinson disease,parkinson,broad,16,Supp Motor Area R,-0.23513826409196384,0.9304660443046605,0.6108389161083891,0.9471434878984012,0.38916108389161086,89,False,10000,0.41532451923076924,0.07686298076923082,2
Parkinson disease,parkinson,broad,17,Olfactory L,-0.8075765541178449,0.9936028619360286,0.7486251374862514,0.9777158647771587,0.25137486251374863,101,False,10000,0.2884615384615385,0.4245318315756824,4
Parkinson disease,parkinson,broad,18,Olfactory R,-1.7510661232987124,0.9936028619360286,0.9334066593340666,0.9777158647771587,0.06659334066593336,131,False,10000,0.11316105769230769,0.0977764423076923,2
Parkinson disease,parkinson,broad,19,Frontal Sup Medial L,-0.09844240379675753,0.9198545261752894,0.5508449155084492,0.9379814959680504,0.44915508449155084,76,False,10000,0.7457157258064516,0.15492982320099258,6
Parkinson disease,parkinson,broad,20,Frontal Sup Medial R,2.2257874741479715,0.40360963903609637,0.026797320267973202,0.8384690942670439,0.9732026797320268,3,False,10000,0.7191105769230769,0.2652644230769231,2
Parkinson disease,parkinson,broad,21,Frontal Med Orb L,-0.1490715924584919,0.9198545261752894,0.5646435356464353,0.9379814959680504,0.4353564643535647,79,False,10000,0.8529485887096775,0.2840425325682382,6
