region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
1,Precentral L,broad,0.5042957816048337,-0.016351600626798232,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
2,Precentral R,broad,0.497018847359345,-0.0872087292720663,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
3,Frontal Sup 2 L,broad,0.5065649562401109,-0.01398343108819908,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
4,Frontal Sup 2 R,broad,0.5174625332932841,0.07573246275651883,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
5,Frontal Mid 2 L,broad,0.5103570919720323,0.013548498527838087,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
6,Frontal Mid 2 R,broad,0.4996808082781447,-0.062228347942754836,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
7,Frontal Inf Oper L,broad,0.4820091013515451,-0.18681517089591645,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
8,Frontal Inf Oper R,broad,0.4729661721619267,-0.2741564888143447,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
9,Frontal Inf Tri L,broad,0.514906003305034,0.0501631806064829,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
10,Frontal Inf Tri R,broad,0.5057231418635977,-0.012755726296465705,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
11,Frontal Inf Orb 2 L,broad,0.5242031159035322,0.12529165257410724,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
12,Frontal Inf Orb 2 R,broad,0.5048554024370565,-0.038369457616826516,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
13,Rolandic Oper L,broad,0.5189882076508016,0.08639398448580507,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
14,Rolandic Oper R,broad,0.5313721259066518,0.1812376608833833,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
15,Supp Motor Area L,broad,0.48657411251906535,-0.1483414759182095,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
16,Supp Motor Area R,broad,0.504012119392847,-0.013541984100609967,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
17,Olfactory L,broad,0.47187580900349135,-0.2691138317804396,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
18,Olfactory R,broad,0.45727745999319735,-0.36397532651686043,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
19,Frontal Sup Medial L,broad,0.5153995333132768,0.054162749696124855,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
20,Frontal Sup Medial R,broad,0.5335963587687055,0.1826621144367302,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
21,Frontal Med Orb L,broad,0.5051689057628398,-0.043583560543909335,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
22,Frontal Med Orb R,broad,0.543780751689348,0.278970630046887,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
23,Rectus L,broad,0.5097585726320571,0.014887993874394288,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
