gene_set,gene,ensembl_id,present_in_ahba,match_method,gene_weight,missing_handling
broad,ITPKB,ENSG00000143772,True,exact approved gene symbol,0.9014809131622314,included
broad,SH3GL2,ENSG00000107295,True,exact approved gene symbol,0.8994671702384949,included
broad,GPNMB,ENSG00000136235,True,exact approved gene symbol,0.8844435214996338,included
broad,HIP1R,ENSG00000130787,True,exact approved gene symbol,0.8798125386238098,included
broad,FCGR2A,ENSG00000143226,True,exact approved gene symbol,0.8712173104286194,included
broad,SIPA1L2,ENSG00000116991,True,exact approved gene symbol,0.8528462648391724,included
broad,TMEM163,ENSG00000152128,True,exact approved gene symbol,0.8511537313461304,included
broad,RIT2,ENSG00000152214,True,exact approved gene symbol,0.8445248007774353,included
broad,CTSB,ENSG00000164733,True,exact approved gene symbol,0.8426995277404785,included
broad,STK39,ENSG00000198648,True,exact approved gene symbol,0.8421160578727722,included
broad,IGSF9B,ENSG00000080854,False,exact approved gene symbol,0.8415665030479431,excluded with identifier retained in audit
broad,CCSER1,ENSG00000184305,True,exact approved gene symbol,0.8328624963760376,included
broad,CLCN3,ENSG00000109572,True,exact approved gene symbol,0.8020431399345398,included
broad,BST1,ENSG00000109743,False,exact approved gene symbol,0.8018874526023865,excluded with identifier retained in audit
broad,TMEM175,ENSG00000127419,True,exact approved gene symbol,0.7957037091255188,included
broad,FYN,ENSG00000010810,True,exact approved gene symbol,0.7615038752555847,included
broad,CNTN1,ENSG00000018236,True,exact approved gene symbol,0.7606772780418396,included
broad,NOD2,ENSG00000167207,False,exact approved gene symbol,0.7565200924873352,excluded with identifier retained in audit
broad,RNF141,ENSG00000110315,True,exact approved gene symbol,0.7541582584381104,included
broad,MAP4K4,ENSG00000071054,True,exact approved gene symbol,0.7526438236236572,included
broad,DYRK1A,ENSG00000157540,True,exact approved gene symbol,0.7525694370269775,included
broad,IRS2,ENSG00000185950,True,exact approved gene symbol,0.7469207048416138,included
broad,GALC,ENSG00000054983,True,exact approved gene symbol,0.730959951877594,included
broad,TOX3,ENSG00000103460,True,exact approved gene symbol,0.7276461720466614,included
broad,ASXL3,ENSG00000141431,True,exact approved gene symbol,0.7160765528678894,included
broad,PKP2,ENSG00000057294,True,exact approved gene symbol,0.7130399346351624,included
broad,SLC18B1,ENSG00000146409,True,exact approved gene symbol,0.702358067035675,included
broad,ALG10,ENSG00000139133,True,exact approved gene symbol,0.7019623517990112,included
broad,SLC2A13,ENSG00000151229,True,exact approved gene symbol,0.700274646282196,included
broad,SPPL2B,ENSG00000005206,True,exact approved gene symbol,0.6948310136795044,included
broad,FAM47E,ENSG00000189157,True,exact approved gene symbol,0.6943575739860535,included
broad,FBRSL1,ENSG00000112787,True,exact approved gene symbol,0.6778879165649414,included
broad,RIMS1,ENSG00000079841,True,exact approved gene symbol,0.67091304063797,included
broad,SEC23IP,ENSG00000107651,True,exact approved gene symbol,0.6697301864624023,included
broad,MCCC1,ENSG00000078070,True,exact approved gene symbol,0.6534242630004883,included
broad,LCORL,ENSG00000178177,False,exact approved gene symbol,0.6404941082000732,excluded with identifier retained in audit
broad,ELOVL7,ENSG00000164181,True,exact approved gene symbol,0.6225336194038391,included
broad,SLC50A1,ENSG00000169241,True,exact approved gene symbol,0.6150293350219727,included
broad,DLG2,ENSG00000150672,True,exact approved gene symbol,0.607625424861908,included
broad,CAMK2D,ENSG00000145349,True,exact approved gene symbol,0.6061360836029053,included
broad,VAMP4,ENSG00000117533,True,exact approved gene symbol,0.5934772491455078,included
broad,USP25,ENSG00000155313,True,exact approved gene symbol,0.5770121216773987,included
broad,SV2C,ENSG00000122012,True,exact approved gene symbol,0.5758057832717896,included
broad,ITGA8,ENSG00000077943,True,exact approved gene symbol,0.5747663378715515,included
broad,ITGA2B,ENSG00000005961,True,exact approved gene symbol,0.5718092322349548,included
broad,UBAP2,ENSG00000137073,True,exact approved gene symbol,0.5707280039787292,included
broad,PIK3CA,ENSG00000121879,True,exact approved gene symbol,0.5610139966011047,included
broad,FASN,ENSG00000169710,True,exact approved gene symbol,0.5596649646759033,included
broad,FGF20,ENSG00000078579,False,exact approved gene symbol,0.5564497709274292,excluded with identifier retained in audit
broad,MED12L,ENSG00000144893,True,exact approved gene symbol,0.5456203818321228,included
broad,C8orf58,ENSG00000241852,True,exact approved gene symbol,0.5322436690330505,included
broad,AZI2,ENSG00000163512,True,exact approved gene symbol,0.5317397713661194,included
broad,NSF,ENSG00000073969,True,exact approved gene symbol,0.5286843180656433,included
broad,GPR65,ENSG00000140030,False,exact approved gene symbol,0.5266395807266235,excluded with identifier retained in audit
broad,KTN1,ENSG00000126777,True,exact approved gene symbol,0.4827914834022522,included
broad,ITPA,ENSG00000125877,True,exact approved gene symbol,0.4807567894458771,included
broad,KCNMB3,ENSG00000171121,False,exact approved gene symbol,0.4734447598457336,excluded with identifier retained in audit
broad,SNCA,ENSG00000145335,True,exact approved gene symbol,0.4322746694087982,included
broad,PARP9,ENSG00000138496,True,exact approved gene symbol,0.4089574217796325,included
broad,CRHR1,ENSG00000120088,False,exact approved gene symbol,0.4029454886913299,excluded with identifier retained in audit
broad,CCAR2,ENSG00000158941,True,exact approved gene symbol,0.3965764939785003,included
broad,KPNA1,ENSG00000114030,True,exact approved gene symbol,0.3957322239875793,included
broad,GCH1,ENSG00000131979,False,exact approved gene symbol,0.3703282475471496,excluded with identifier retained in audit
broad,LZTS3,ENSG00000088899,True,exact approved gene symbol,0.3598359227180481,included
broad,NCKIPSD,ENSG00000213672,True,exact approved gene symbol,0.3463244140148163,included
broad,TTC6,ENSG00000139865,False,exact approved gene symbol,0.3436167240142822,excluded with identifier retained in audit
broad,HSD3B7,ENSG00000099377,True,exact approved gene symbol,0.3309276401996612,included
broad,CD38,ENSG00000004468,True,exact approved gene symbol,0.321556955575943,included
broad,FAM171A1,ENSG00000148468,True,exact approved gene symbol,0.316009521484375,included
broad,NRIP1,ENSG00000180530,True,exact approved gene symbol,0.3074838519096374,included
broad,ERCC8,ENSG00000049167,True,exact approved gene symbol,0.3066307008266449,included
broad,P2RY12,ENSG00000169313,True,exact approved gene symbol,0.3019077479839325,included
broad,TMED5,ENSG00000117500,True,exact approved gene symbol,0.3018712401390075,included
broad,MYLK2,ENSG00000101306,True,exact approved gene symbol,0.2965930700302124,included
broad,VPS13C,ENSG00000129003,True,exact approved gene symbol,0.2877374291419983,included
broad,FOXA1,ENSG00000129514,False,exact approved gene symbol,0.2858948707580566,excluded with identifier retained in audit
broad,ZCWPW2,ENSG00000206559,True,exact approved gene symbol,0.2858431041240692,included
broad,DGKQ,ENSG00000145214,True,exact approved gene symbol,0.2635650038719177,included
broad,BCL2L1,ENSG00000171552,True,exact approved gene symbol,0.2567904889583587,included
broad,MICU3,ENSG00000155970,True,exact approved gene symbol,0.2358701527118683,included
broad,MIPOL1,ENSG00000151338,True,exact approved gene symbol,0.2262192219495773,included
broad,C2CD4A,ENSG00000198535,True,exact approved gene symbol,0.2195565849542617,included
broad,MCMBP,ENSG00000197771,True,exact approved gene symbol,0.1930699795484542,included
broad,PDLIM2,ENSG00000120913,True,exact approved gene symbol,0.1904719173908233,included
broad,INTS2,ENSG00000108506,True,exact approved gene symbol,0.1789993643760681,included
broad,MED13,ENSG00000108510,True,exact approved gene symbol,0.1776958703994751,included
broad,CYLD,ENSG00000083799,True,exact approved gene symbol,0.169330820441246,included
broad,DCUN1D1,ENSG00000043093,True,exact approved gene symbol,0.163753792643547,included
broad,RORA,ENSG00000069667,True,exact approved gene symbol,0.1622077226638794,included
broad,DDRGK1,ENSG00000198171,True,exact approved gene symbol,0.1576443612575531,included
broad,NDUFAF2,ENSG00000164182,True,exact approved gene symbol,0.1519088149070739,included
broad,WNT3,ENSG00000108379,True,exact approved gene symbol,0.1518237739801406,included
broad,BRIP1,ENSG00000136492,False,exact approved gene symbol,0.1487205922603607,excluded with identifier retained in audit
broad,MYOC,ENSG00000034971,False,exact approved gene symbol,0.1474305689334869,excluded with identifier retained in audit
broad,AMPD3,ENSG00000133805,True,exact approved gene symbol,0.145731434226036,included
broad,STBD1,ENSG00000118804,True,exact approved gene symbol,0.1455356031656265,included
broad,CCDC18,ENSG00000122483,False,exact approved gene symbol,0.1441077291965484,excluded with identifier retained in audit
broad,LRRK2,ENSG00000188906,True,exact approved gene symbol,0.1440357118844986,included
broad,NEK1,ENSG00000137601,True,exact approved gene symbol,0.1384527385234832,included
broad,SLC45A3,ENSG00000158715,True,exact approved gene symbol,0.1365202218294143,included
broad,CTF1,ENSG00000150281,True,exact approved gene symbol,0.1332284361124038,included
broad,MTF2,ENSG00000143033,True,exact approved gene symbol,0.1314258724451065,included
broad,SNX20,ENSG00000167208,True,exact approved gene symbol,0.1277837306261062,included
broad,IQGAP2,ENSG00000145703,False,exact approved gene symbol,0.123767502605915,excluded with identifier retained in audit
broad,DTX3L,ENSG00000163840,True,exact approved gene symbol,0.1236892640590667,included
broad,YARS2,ENSG00000139131,True,exact approved gene symbol,0.1202353090047836,included
broad,MMRN1,ENSG00000138722,False,exact approved gene symbol,0.1140309423208236,excluded with identifier retained in audit
broad,WNT9B,ENSG00000158955,False,exact approved gene symbol,0.1093313992023468,excluded with identifier retained in audit
broad,FCGR2B,ENSG00000072694,False,exact approved gene symbol,0.1046146750450134,excluded with identifier retained in audit
broad,NUCKS1,ENSG00000069275,True,exact approved gene symbol,0.1008259132504463,included
broad,IP6K2,ENSG00000068745,True,exact approved gene symbol,0.0962643772363662,included
broad,DPM3,ENSG00000179085,True,exact approved gene symbol,0.0954490676522255,included
broad,CNOT7,ENSG00000198791,True,exact approved gene symbol,0.0932418778538703,included
broad,CCDC178,ENSG00000166960,False,exact approved gene symbol,0.0921255201101303,excluded with identifier retained in audit
broad,CMC1,ENSG00000187118,True,exact approved gene symbol,0.0913318544626236,included
broad,COX4I2,ENSG00000131055,True,exact approved gene symbol,0.0888595879077911,included
broad,FASTKD5,ENSG00000215251,True,exact approved gene symbol,0.0885050073266029,included
broad,UBOX5,ENSG00000185019,True,exact approved gene symbol,0.0885050073266029,included
broad,DR1,ENSG00000117505,True,exact approved gene symbol,0.0850554704666137,included
broad,VPS37A,ENSG00000155975,True,exact approved gene symbol,0.0843638330698013,included
broad,P4HTM,ENSG00000178467,True,exact approved gene symbol,0.0821254402399063,included
broad,ARL17A,ENSG00000185829,True,exact approved gene symbol,0.0748985931277275,included
broad,CERS6,ENSG00000172292,True,exact approved gene symbol,0.0747304856777191,included
broad,DCAF16,ENSG00000163257,True,exact approved gene symbol,0.0746670886874198,included
broad,MTMR7,ENSG00000003987,True,exact approved gene symbol,0.0743675380945205,included
broad,FAM171A2,ENSG00000161682,True,exact approved gene symbol,0.0734663009643554,included
broad,ACBD7,ENSG00000176244,True,exact approved gene symbol,0.0733931586146354,included
broad,FOXS1,ENSG00000179772,True,exact approved gene symbol,0.0717954486608505,included
broad,OLAH,ENSG00000152463,False,exact approved gene symbol,0.0715357065200805,excluded with identifier retained in audit
broad,BIN3,ENSG00000147439,True,exact approved gene symbol,0.0713214352726936,included
broad,METTL13,ENSG00000010165,True,exact approved gene symbol,0.0712111964821815,included
broad,NUP42,ENSG00000136243,False,exact approved gene symbol,0.0711012184619903,excluded with identifier retained in audit
broad,WDR5B,ENSG00000196981,False,exact approved gene symbol,0.0709794387221336,excluded with identifier retained in audit
broad,RPP38,ENSG00000152464,True,exact approved gene symbol,0.0709610506892204,included
broad,B3GALT1,ENSG00000172318,True,exact approved gene symbol,0.0701578333973884,included
broad,ANK2,ENSG00000145362,True,exact approved gene symbol,0.0663385838270187,included
broad,IL1RL2,ENSG00000115598,False,exact approved gene symbol,0.0639316365122795,excluded with identifier retained in audit
broad,MIX23,ENSG00000160124,False,exact approved gene symbol,0.0616993047297,excluded with identifier retained in audit
broad,TPX2,ENSG00000088325,True,exact approved gene symbol,0.0610919557511806,included
broad,NOL4,ENSG00000101746,True,exact approved gene symbol,0.0601187869906425,included
broad,CNTLN,ENSG00000044459,True,exact approved gene symbol,0.0592545457184314,included
broad,WDR6,ENSG00000178252,True,exact approved gene symbol,0.0575480684638023,included
broad,NTPCR,ENSG00000135778,True,exact approved gene symbol,0.0572280026972293,included
broad,ARIH2,ENSG00000177479,True,exact approved gene symbol,0.0570767857134342,included
broad,CCDC90B,ENSG00000137500,True,exact approved gene symbol,0.0561612658202648,included
broad,ZDHHC2,ENSG00000104219,True,exact approved gene symbol,0.0558798909187316,included
broad,PRSS3,ENSG00000010438,True,exact approved gene symbol,0.0544609166681766,included
broad,IL1R2,ENSG00000115590,False,exact approved gene symbol,0.0528845749795436,excluded with identifier retained in audit
broad,DEPDC1B,ENSG00000035499,False,exact approved gene symbol,0.0517827272415161,excluded with identifier retained in audit
stringent,ITPKB,ENSG00000143772,True,exact approved gene symbol,0.9014809131622314,included
stringent,SH3GL2,ENSG00000107295,True,exact approved gene symbol,0.8994671702384949,included
stringent,GPNMB,ENSG00000136235,True,exact approved gene symbol,0.8844435214996338,included
stringent,HIP1R,ENSG00000130787,True,exact approved gene symbol,0.8798125386238098,included
stringent,FCGR2A,ENSG00000143226,True,exact approved gene symbol,0.8712173104286194,included
stringent,SIPA1L2,ENSG00000116991,True,exact approved gene symbol,0.8528462648391724,included
stringent,TMEM163,ENSG00000152128,True,exact approved gene symbol,0.8511537313461304,included
stringent,RIT2,ENSG00000152214,True,exact approved gene symbol,0.8445248007774353,included
stringent,CTSB,ENSG00000164733,True,exact approved gene symbol,0.8426995277404785,included
stringent,STK39,ENSG00000198648,True,exact approved gene symbol,0.8421160578727722,included
stringent,IGSF9B,ENSG00000080854,False,exact approved gene symbol,0.8415665030479431,excluded with identifier retained in audit
stringent,CCSER1,ENSG00000184305,True,exact approved gene symbol,0.8328624963760376,included
stringent,CLCN3,ENSG00000109572,True,exact approved gene symbol,0.8020431399345398,included
stringent,BST1,ENSG00000109743,False,exact approved gene symbol,0.8018874526023865,excluded with identifier retained in audit
stringent,TMEM175,ENSG00000127419,True,exact approved gene symbol,0.7957037091255188,included
stringent,FYN,ENSG00000010810,True,exact approved gene symbol,0.7615038752555847,included
stringent,CNTN1,ENSG00000018236,True,exact approved gene symbol,0.7606772780418396,included
stringent,NOD2,ENSG00000167207,False,exact approved gene symbol,0.7565200924873352,excluded with identifier retained in audit
stringent,RNF141,ENSG00000110315,True,exact approved gene symbol,0.7541582584381104,included
stringent,MAP4K4,ENSG00000071054,True,exact approved gene symbol,0.7526438236236572,included
stringent,DYRK1A,ENSG00000157540,True,exact approved gene symbol,0.7525694370269775,included
stringent,IRS2,ENSG00000185950,True,exact approved gene symbol,0.7469207048416138,included
stringent,GALC,ENSG00000054983,True,exact approved gene symbol,0.730959951877594,included
stringent,TOX3,ENSG00000103460,True,exact approved gene symbol,0.7276461720466614,included
stringent,ASXL3,ENSG00000141431,True,exact approved gene symbol,0.7160765528678894,included
stringent,PKP2,ENSG00000057294,True,exact approved gene symbol,0.7130399346351624,included
stringent,SLC18B1,ENSG00000146409,True,exact approved gene symbol,0.702358067035675,included
stringent,ALG10,ENSG00000139133,True,exact approved gene symbol,0.7019623517990112,included
stringent,SLC2A13,ENSG00000151229,True,exact approved gene symbol,0.700274646282196,included
stringent,SPPL2B,ENSG00000005206,True,exact approved gene symbol,0.6948310136795044,included
stringent,FAM47E,ENSG00000189157,True,exact approved gene symbol,0.6943575739860535,included
stringent,FBRSL1,ENSG00000112787,True,exact approved gene symbol,0.6778879165649414,included
stringent,RIMS1,ENSG00000079841,True,exact approved gene symbol,0.67091304063797,included
stringent,SEC23IP,ENSG00000107651,True,exact approved gene symbol,0.6697301864624023,included
stringent,MCCC1,ENSG00000078070,True,exact approved gene symbol,0.6534242630004883,included
stringent,LCORL,ENSG00000178177,False,exact approved gene symbol,0.6404941082000732,excluded with identifier retained in audit
stringent,ELOVL7,ENSG00000164181,True,exact approved gene symbol,0.6225336194038391,included
stringent,SLC50A1,ENSG00000169241,True,exact approved gene symbol,0.6150293350219727,included
weighted,ITPKB,ENSG00000143772,True,exact approved gene symbol,0.9014809131622314,included
weighted,SH3GL2,ENSG00000107295,True,exact approved gene symbol,0.8994671702384949,included
weighted,GPNMB,ENSG00000136235,True,exact approved gene symbol,0.8844435214996338,included
weighted,HIP1R,ENSG00000130787,True,exact approved gene symbol,0.8798125386238098,included
weighted,FCGR2A,ENSG00000143226,True,exact approved gene symbol,0.8712173104286194,included
weighted,SIPA1L2,ENSG00000116991,True,exact approved gene symbol,0.8528462648391724,included
weighted,TMEM163,ENSG00000152128,True,exact approved gene symbol,0.8511537313461304,included
weighted,RIT2,ENSG00000152214,True,exact approved gene symbol,0.8445248007774353,included
weighted,CTSB,ENSG00000164733,True,exact approved gene symbol,0.8426995277404785,included
weighted,STK39,ENSG00000198648,True,exact approved gene symbol,0.8421160578727722,included
weighted,IGSF9B,ENSG00000080854,False,exact approved gene symbol,0.8415665030479431,excluded with identifier retained in audit
weighted,CCSER1,ENSG00000184305,True,exact approved gene symbol,0.8328624963760376,included
weighted,CLCN3,ENSG00000109572,True,exact approved gene symbol,0.8020431399345398,included
weighted,BST1,ENSG00000109743,False,exact approved gene symbol,0.8018874526023865,excluded with identifier retained in audit
weighted,TMEM175,ENSG00000127419,True,exact approved gene symbol,0.7957037091255188,included
weighted,FYN,ENSG00000010810,True,exact approved gene symbol,0.7615038752555847,included
weighted,CNTN1,ENSG00000018236,True,exact approved gene symbol,0.7606772780418396,included
weighted,NOD2,ENSG00000167207,False,exact approved gene symbol,0.7565200924873352,excluded with identifier retained in audit
weighted,RNF141,ENSG00000110315,True,exact approved gene symbol,0.7541582584381104,included
weighted,MAP4K4,ENSG00000071054,True,exact approved gene symbol,0.7526438236236572,included
weighted,DYRK1A,ENSG00000157540,True,exact approved gene symbol,0.7525694370269775,included
weighted,IRS2,ENSG00000185950,True,exact approved gene symbol,0.7469207048416138,included
weighted,GALC,ENSG00000054983,True,exact approved gene symbol,0.730959951877594,included
weighted,TOX3,ENSG00000103460,True,exact approved gene symbol,0.7276461720466614,included
weighted,ASXL3,ENSG00000141431,True,exact approved gene symbol,0.7160765528678894,included
weighted,PKP2,ENSG00000057294,True,exact approved gene symbol,0.7130399346351624,included
weighted,SLC18B1,ENSG00000146409,True,exact approved gene symbol,0.702358067035675,included
weighted,ALG10,ENSG00000139133,True,exact approved gene symbol,0.7019623517990112,included
weighted,SLC2A13,ENSG00000151229,True,exact approved gene symbol,0.700274646282196,included
weighted,SPPL2B,ENSG00000005206,True,exact approved gene symbol,0.6948310136795044,included
