left_out_region,left_out_gene2brain_region,pearson_r,pearson_p,spearman_rho,spearman_p,n_regions
L_caudalanteriorcingulate,ACC sup L,-0.014626238613584742,0.9050523875617758,0.0025946025483417428,0.9831190769795347,69
L_cuneus,Cuneus L,-0.024041700188132484,0.8445434196948014,-0.00427561265008428,0.9721856207477957,69
L_fusiform,Fusiform L,-0.04964746434379912,0.6853902801104196,-0.04105684455016828,0.7376593579409371,69
L_inferiorparietal,Parietal Inf L | Angular L,-0.038310120224444494,0.7546386369159162,-0.02711542381506441,0.8249651857256736,69
L_inferiortemporal,Temporal Inf L,-0.04545394026793943,0.7107397121906263,-0.0346796523799827,0.7772587097227676,69
L_lateraloccipital,Occipital Sup L | Occipital Mid L | Occipital Inf L,-0.01977825054575996,0.8718533210669078,-0.002484971454749838,0.9838322578846893,69
L_lateralorbitofrontal,OFClat L,-0.02587529288825949,0.8328521679956958,-0.012790294252388873,0.9169253749770556,69
L_lingual,Lingual L,-0.022085950743434054,0.8570504955368384,-0.0026311462462057108,0.9828813529138931,69
L_medialorbitofrontal,Frontal Med Orb L | Rectus L | OFCmed L,-0.029757055502804296,0.8082233315898506,-0.017303440938588942,0.8877768332110588,69
L_middletemporal,Temporal Mid L,-0.04038772261776438,0.7417844736130185,-0.0327063107271702,0.7896330725175005,69
L_parahippocampal,ParaHippocampal L,-0.029863852315706013,0.8075482338946393,-0.017285169089656962,0.8878945713905162,69
L_paracentral,Paracentral Lobule L,-0.027203424286465744,0.8244061664571032,-0.014836741332771092,0.9036923489173614,69
L_parsopercularis,Frontal Inf Oper L,-0.017522601938820975,0.8863648164080022,0.005645949728880219,0.9632764994838828,69
L_parsorbitalis,Frontal Inf Orb 2 L,-0.034736720819716564,0.7769016510935761,-0.0268588816499941,0.8265953532062345,69
L_parstriangularis,Frontal Inf Tri L,-0.02441928227572157,0.8421330763591932,-0.0052622924924114215,0.9657704071144123,69
L_pericalcarine,Calcarine L,-0.033618900060766774,0.7839037886914102,-0.02444773387099473,0.8419515102531827,69
L_postcentral,Postcentral L,-0.026566884391835053,0.8284517048835776,-0.013612154305609254,0.9116080388569374,69
L_posteriorcingulate,Cingulate Post L,-0.029509677638979943,0.8097876235902701,-0.018637285910623785,0.879188645738222,69
L_precentral,Precentral L,-0.02837753308554962,0.8169561235383124,-0.01607878629387402,0.8956733606589314,69
L_precuneus,Precuneus L,-0.008520906132114675,0.9446010794988694,0.00972053480829863,0.9368166288332299,69
L_rostralanteriorcingulate,ACC pre L,-0.006399341147603579,0.9583802329890935,0.013977964432967838,0.9092425207312026,69
L_rostralmiddlefrontal,Frontal Mid 2 L,-0.02787085642748064,0.8201691848082392,-0.014617479145587281,0.9051089876034681,69
L_superiorfrontal,Frontal Sup 2 L | Frontal Sup Medial L,-0.032363772975137775,0.7917864330094682,-0.02261992889979095,0.853632070782448,69
L_superiorparietal,Parietal Sup L,-0.027778467251737864,0.8207553853352786,-0.012169051388701413,0.9209471667244991,69
L_superiortemporal,Temporal Sup L,-0.028542861888709387,0.8159083478436768,-0.015951178360234405,0.8964967668231862,69
L_supramarginal,SupraMarginal L,-0.041396856716122074,0.7355660116819974,-0.0351733091940694,0.7741715891261957,69
L_temporalpole,Temporal Pole Sup L | Temporal Pole Mid L,-0.029092713302276703,0.8124259730980607,-0.015713790081506328,0.8980288336847156,69
L_transversetemporal,Heschl L,-0.024962784466254988,0.8386661034015952,-0.010652487927346733,0.9307731723712924,69
L_insula,Insula L,-0.026288726325057958,0.8302209464139716,-0.0134480808139403,0.9126692732170496,69
R_caudalanteriorcingulate,ACC sup R,-0.03808956080930196,0.7560072199582465,-0.02742579463769971,0.8229939567019975,69
R_fusiform,Fusiform R,-0.026007952456770282,0.8320076795094693,-0.011547808525013954,0.9249709355385078,69
R_inferiorparietal,Parietal Inf R | Angular R,-0.028323659730038284,0.8172976165396084,-0.012169051388701413,0.9209471667244991,69
R_inferiortemporal,Temporal Inf R,-0.04878378866495067,0.6905839876845856,-0.0426095623551737,0.7281154849461191,69
R_lateraloccipital,Occipital Mid R | Occipital Inf R,-0.040246382590732314,0.7426567633580388,-0.030513987716413456,0.8034415536164297,69
R_lateralorbitofrontal,OFClat R,-0.029883076555654885,0.8074267260280962,-0.01598772172417538,0.8962609550202078,69
R_lingual,Lingual R,-0.026672083934019118,0.8277827978357908,-0.01821703338518815,0.8818930623147792,69
R_medialorbitofrontal,Frontal Med Orb R | Rectus R | OFCmed R,-0.02303792493831998,0.8509580109378241,-0.007911710587549116,0.9485562064702953,69
R_middletemporal,Temporal Mid R,-0.03277246508570961,0.7892173740578026,-0.019441247263631084,0.8740188417132786,69
R_parahippocampal,ParaHippocampal R,-0.029543624010123188,0.809572919855529,-0.015914780419758155,0.8967316491024904,69
R_paracentral,Paracentral Lobule R,-0.030733883673849206,0.8020537404650011,-0.022674742943974615,0.8532813127566223,69
R_parsopercularis,Frontal Inf Oper R,-0.032295531243145374,0.7922156201510404,-0.02229165569702061,0.8557332983277204,69
R_parsorbitalis,Frontal Inf Orb 2 R,-0.028401055848108887,0.8168070278474449,-0.018070858593732277,0.8828340461407151,69
R_parstriangularis,Frontal Inf Tri R,-0.03546638318683955,0.7723404750139243,-0.02643912381129345,0.8292642288710932,69
R_pericalcarine,Calcarine R,-0.027168401658868274,0.8246286358035352,-0.017723693464024578,0.8850695281629541,69
R_postcentral,Postcentral R,-0.02497014815004361,0.8386191516875052,-0.011547491974691343,0.9249729863110933,69
R_precentral,Precentral R,-0.031732270671675875,0.7957604282145684,-0.022674742943974615,0.8532813127566223,69
R_precuneus,Precuneus R,-0.037177102890703806,0.7616769814975898,-0.02086626081029518,0.8648684528132597,69
