region_id,region_name,broad_mean_expression,stringent_mean_expression,weighted_mean_expression,n_broad_genes_present,n_stringent_genes_present,n_weighted_genes_present,atlas_label,broad_system,analysis_scale
1,Precentral L,0.5042957816048337,0.5030694380856986,0.510264498240624,123,34,123,Precentral_L,cortex,raw_scale_analysis
2,Precentral R,0.497018847359345,0.48359543651986764,0.4979046609127798,123,34,123,Precentral_R,cortex,raw_scale_analysis
3,Frontal Sup 2 L,0.5065649562401109,0.4996462733010145,0.5082875544897364,123,34,123,Frontal_Sup_2_L,cortex,raw_scale_analysis
4,Frontal Sup 2 R,0.5174625332932841,0.5225453668714447,0.5217156864461605,123,34,123,Frontal_Sup_2_R,cortex,raw_scale_analysis
5,Frontal Mid 2 L,0.5103570919720323,0.504354455652558,0.5143074834781964,123,34,123,Frontal_Mid_2_L,cortex,raw_scale_analysis
6,Frontal Mid 2 R,0.4996808082781447,0.501440216479564,0.4998994282871415,123,34,123,Frontal_Mid_2_R,cortex,raw_scale_analysis
7,Frontal Inf Oper L,0.4820091013515451,0.5106954198594762,0.49124835878278744,123,34,123,Frontal_Inf_Oper_L,cortex,raw_scale_analysis
8,Frontal Inf Oper R,0.4729661721619267,0.47739130032476473,0.48153527483049635,123,34,123,Frontal_Inf_Oper_R,cortex,raw_scale_analysis
9,Frontal Inf Tri L,0.514906003305034,0.5189628396475071,0.523117004392592,123,34,123,Frontal_Inf_Tri_L,cortex,raw_scale_analysis
10,Frontal Inf Tri R,0.5057231418635977,0.5045015055921557,0.5086275828422177,123,34,123,Frontal_Inf_Tri_R,cortex,raw_scale_analysis
11,Frontal Inf Orb 2 L,0.5242031159035322,0.5310624687156228,0.5280134148034401,123,34,123,Frontal_Inf_Orb_2_L,cortex,raw_scale_analysis
12,Frontal Inf Orb 2 R,0.5048554024370565,0.5015060406500771,0.5062063571320384,123,34,123,Frontal_Inf_Orb_2_R,cortex,raw_scale_analysis
13,Rolandic Oper L,0.5189882076508016,0.5079539802531288,0.5176292080386723,123,34,123,Rolandic_Oper_L,cortex,raw_scale_analysis
14,Rolandic Oper R,0.5313721259066518,0.5223310287442271,0.5274127358957064,123,34,123,Rolandic_Oper_R,cortex,raw_scale_analysis
15,Supp Motor Area L,0.48657411251906535,0.48341689768649054,0.49156522283785475,123,34,123,Supp_Motor_Area_L,cortex,raw_scale_analysis
16,Supp Motor Area R,0.504012119392847,0.4941129022297777,0.5025613499510216,123,34,123,Supp_Motor_Area_R,cortex,raw_scale_analysis
17,Olfactory L,0.47187580900349135,0.5063133604452564,0.4821965563935364,123,34,123,Olfactory_L,cortex,raw_scale_analysis
18,Olfactory R,0.45727745999319735,0.483284869574119,0.4564085952022688,123,34,123,Olfactory_R,cortex,raw_scale_analysis
19,Frontal Sup Medial L,0.5153995333132768,0.5293170495402265,0.5235653998431317,123,34,123,Frontal_Sup_Medial_L,cortex,raw_scale_analysis
20,Frontal Sup Medial R,0.5335963587687055,0.5555028770567366,0.5459859669041388,123,34,123,Frontal_Sup_Medial_R,cortex,raw_scale_analysis
21,Frontal Med Orb L,0.5051689057628398,0.5405938406077917,0.5200376294530821,123,34,123,Frontal_Med_Orb_L,cortex,raw_scale_analysis
22,Frontal Med Orb R,0.543780751689348,0.5242620137846249,0.5428632873303476,123,34,123,Frontal_Med_Orb_R,cortex,raw_scale_analysis
23,Rectus L,0.5097585726320571,0.5409130307266145,0.5177959071206879,123,34,123,Rectus_L,cortex,raw_scale_analysis
24,Rectus R,0.531819725477195,0.5504113076320261,0.5381080096216359,123,34,123,Rectus_R,cortex,raw_scale_analysis
25,OFCmed L,0.5052916582819736,0.5220570993835694,0.5090324422465626,123,34,123,OFCmed_L,cortex,raw_scale_analysis
26,OFCmed R,0.5203555995252576,0.528413716579961,0.5303686770014988,123,34,123,OFCmed_R,cortex,raw_scale_analysis
27,OFCant L,0.5198115466836435,0.538561252691276,0.5242766472659193,123,34,123,OFCant_L,cortex,raw_scale_analysis
28,OFCant R,0.5404525935041014,0.5608844020404673,0.551196725191175,123,34,123,OFCant_R,cortex,raw_scale_analysis
29,OFCpost L,0.47964987098938683,0.5065275731576991,0.4932122637457843,123,34,123,OFCpost_L,cortex,raw_scale_analysis
30,OFCpost R,0.5197932578819882,0.5273826329473204,0.5217597883293427,123,34,123,OFCpost_R,cortex,raw_scale_analysis
31,OFClat L,0.4792987911673351,0.49030261401320147,0.48632230344910027,123,34,123,OFClat_L,cortex,raw_scale_analysis
32,OFClat R,0.5071095269141773,0.5310809980025556,0.5245729715847602,123,34,123,OFClat_R,cortex,raw_scale_analysis
33,Insula L,0.505021357055009,0.516592324061307,0.5109023629632566,123,34,123,Insula_L,cortex,raw_scale_analysis
34,Insula R,0.4972142986538041,0.5154679614578374,0.503614872976474,123,34,123,Insula_R,cortex,raw_scale_analysis
37,Cingulate Mid L,0.5086396789077758,0.5196197365805495,0.5144311652212007,123,34,123,Cingulate_Mid_L,cortex,raw_scale_analysis
38,Cingulate Mid R,0.4984536452038181,0.5039769800577384,0.5023367586975508,123,34,123,Cingulate_Mid_R,cortex,raw_scale_analysis
39,Cingulate Post L,0.4994080545111457,0.4970797445478053,0.49876830549245343,123,34,123,Cingulate_Post_L,cortex,raw_scale_analysis
41,Hippocampus L,0.5097231358371487,0.5079767968269158,0.5146276024294286,123,34,123,Hippocampus_L,hippocampal formation,raw_scale_analysis
42,Hippocampus R,0.5026697152122017,0.4981820731338512,0.5039530351736257,123,34,123,Hippocampus_R,hippocampal formation,raw_scale_analysis
43,ParaHippocampal L,0.5007842942885306,0.5248540976507485,0.5036211474289123,123,34,123,ParaHippocampal_L,hippocampal formation,raw_scale_analysis
44,ParaHippocampal R,0.5181086711361422,0.5071804138886602,0.5179210242342579,123,34,123,ParaHippocampal_R,hippocampal formation,raw_scale_analysis
45,Amygdala L,0.5209476604218192,0.5221942972977809,0.526754198798641,123,34,123,Amygdala_L,subcortex,raw_scale_analysis
46,Amygdala R,0.47441999934980617,0.4809150015093703,0.48409738928894036,123,34,123,Amygdala_R,subcortex,raw_scale_analysis
47,Calcarine L,0.505425367874815,0.46731987815594805,0.48501752311188534,123,34,123,Calcarine_L,cortex,raw_scale_analysis
