gene_set_version,variable,parkinson_mean,all_eligible_background_mean,matched_draw_mean,standardized_mean_difference_before,standardized_mean_difference_after,used_for_matching
broad,mean_expression,0.507725479376969,0.5050566936652827,0.5077261612111581,0.11784021050968063,-3.0106382848752872e-05,True
broad,log10_expression_variance,-1.7638170644291016,-1.7833438170313252,-1.7675260054743893,0.14192406420286902,0.026957272300163797,True
broad,log1p_probe_count,1.2084968696230212,1.1702195135857802,1.1998245485358496,0.1471080461109598,0.03332958026514304,True
broad,measurable_region_count,138.0,138.0,138.0,,,False
stringent,mean_expression,0.5084397187107642,0.5050566936652827,0.5086484047562501,0.14937744224775912,-0.009214530572013305,True
stringent,log10_expression_variance,-1.7518068638722581,-1.7833438170313252,-1.7535023324160945,0.22921643225001057,0.012322980240041585,True
stringent,log1p_probe_count,1.2241357602428766,1.1702195135857802,1.2164689119795533,0.2072116394780576,0.029465333675329657,True
stringent,measurable_region_count,138.0,138.0,138.0,,,False
weighted,mean_expression,0.507725479376969,0.5050566936652827,0.5077261612111581,0.11784021050968063,-3.0106382848752872e-05,True
weighted,log10_expression_variance,-1.7638170644291016,-1.7833438170313252,-1.7675260054743893,0.14192406420286902,0.026957272300163797,True
weighted,log1p_probe_count,1.2084968696230212,1.1702195135857802,1.1998245485358496,0.1471080461109598,0.03332958026514304,True
weighted,measurable_region_count,138.0,138.0,138.0,,,False
