gene,l2g_score,number_of_high_rank_regions,mean_expression,mean_weighted_contribution,maximum_contribution,regions
SIPA1L2,0.8528462648391724,10,0.5995126799553294,0.010915201319526195,0.015825174478500407,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
CNTN1,0.7606772780418396,10,0.6256641455474589,0.010160248664676831,0.01198852867194526,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
FCGR2A,0.8712173104286194,10,0.5330240342943903,0.009913703215393558,0.012037445042881479,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
SH3GL2,0.8994671702384949,9,0.5825109003195429,0.011185412340391554,0.013663015377508012,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
RIT2,0.8445248007774353,9,0.6105759736171475,0.011008160269943775,0.013130766607525653,Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
STK39,0.8421160578727722,9,0.6035185376403377,0.010849886338268284,0.015816722667517137,Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
ITPKB,0.9014809131622314,9,0.5387570478636152,0.010368409132050763,0.013124914761127529,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
CLCN3,0.8020431399345398,9,0.6029071923161099,0.010323116267409092,0.012717734828233128,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;Thal MGN L;Thal PuM R;Thal VL R
SLC2A13,0.700274646282196,8,0.6822220179922115,0.01019898046535735,0.011848215693980382,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup Medial R;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
TMEM175,0.7957037091255188,8,0.5983792289769603,0.010164605264381458,0.012977772274391688,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Hippocampus L;Thal MGN L;Thal PuM R;Thal VL R
RNF141,0.7541582584381104,8,0.627934277180911,0.010109724184234992,0.011364700611517627,Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
CCSER1,0.8328624963760376,7,0.6025059586935788,0.010712658932382454,0.012797386935817572,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R
DYRK1A,0.7525694370269775,7,0.6185493488209909,0.009937646784014697,0.010494723644582442,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Hippocampus L;OFCant R;Thal MGN L;Thal PuM R
CTSB,0.8426995277404785,7,0.5345387438983752,0.009616445281153768,0.011764279704848293,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Hippocampus L;OFCant R;Thal VL R
GPNMB,0.8844435214996338,6,0.5844443800195127,0.011035090961578058,0.013049539669062934,Amygdala L;Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R
HIP1R,0.8798125386238098,6,0.5834725713176298,0.010959057798011276,0.013567634990370173,Cingulate Mid L;Frontal Sup 2 R;Frontal Sup Medial R;Thal MGN L;Thal PuM R;Thal VL R
ASXL3,0.7160765528678894,6,0.6492240730314134,0.009924684138497057,0.011561634148353513,Amygdala L;Cingulate Mid L;Frontal Inf Orb 2 L;Frontal Sup Medial R;OFCant R;Thal MGN L
ALG10,0.7019623517990112,6,0.6406271503876056,0.009600233280618445,0.010839898811459024,Amygdala L;Frontal Inf Orb 2 L;Frontal Sup Medial R;OFCant R;Thal MGN L;Thal VL R
RIMS1,0.67091304063797,6,0.6510118951478008,0.009324333165904709,0.011314891990723558,Frontal Inf Orb 2 L;Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L;OFCant R;Thal PuM R
TOX3,0.7276461720466614,5,0.6446512320129025,0.010014002406043828,0.011739506238632952,Frontal Inf Orb 2 L;Frontal Sup Medial R;Thal MGN L;Thal PuM R;Thal VL R
SLC18B1,0.702358067035675,5,0.648472420251472,0.00972327816962875,0.01052935576828231,Amygdala L;Cingulate Mid L;Frontal Sup Medial R;Thal PuM R;Thal VL R
FAM47E,0.6943575739860535,5,0.6555470931953256,0.009717391462950212,0.010683956571741902,Frontal Inf Orb 2 L;Frontal Sup 2 R;OFCant R;Thal MGN L;Thal VL R
CAMK2D,0.6061360836029053,5,0.7351484086862723,0.009512787282126274,0.01076278525353158,Amygdala L;OFCant R;Thal MGN L;Thal PuM R;Thal VL R
TMEM163,0.8511537313461304,4,0.6457218241996555,0.011733189848434855,0.014833426315881651,Cingulate Mid L;Thal MGN L;Thal PuM R;Thal VL R
FBRSL1,0.6778879165649414,4,0.6138842648478936,0.00888396869848607,0.00982742412058678,Amygdala L;Cingulate Mid L;Frontal Sup Medial R;Hippocampus L
FYN,0.7615038752555847,3,0.6358849433821041,0.010337446739673415,0.010712172144351235,Amygdala L;Frontal Sup Medial R;Hippocampus L
IRS2,0.7469207048416138,3,0.6396605404946455,0.010199683238142243,0.011133864519232158,Frontal Sup 2 R;Frontal Sup Medial R;Hippocampus L
GALC,0.730959951877594,3,0.5736997713582358,0.008952429003211915,0.009595455880576916,Amygdala L;Thal PuM R;Thal VL R
SEC23IP,0.6697301864624023,3,0.6203650332062463,0.008869717962896711,0.010167290047689957,Frontal Sup 2 R;Hippocampus L;OFCant R
PKP2,0.7130399346351624,2,0.6315002938576386,0.00961280286571963,0.010780919130070548,Amygdala L;Hippocampus L
MAP4K4,0.7526438236236572,2,0.5372192668903013,0.008631846473410226,0.008710711752874075,Frontal Sup 2 R;Thal PuM R
ITGA8,0.5747663378715515,1,0.7511027914757769,0.009216230468166973,0.009216230468166973,Thal MGN L
DLG2,0.607625424861908,1,0.7104059104466266,0.009215207722606263,0.009215207722606263,Hippocampus L
AZI2,0.5317397713661194,1,0.8032815284165546,0.009118629082966805,0.009118629082966805,OFCant R
USP25,0.5770121216773987,1,0.7177514299372322,0.00884141199813566,0.00884141199813566,Hippocampus L
SPPL2B,0.6948310136795044,1,0.5652385280853675,0.008384430653900836,0.008384430653900836,Frontal Sup 2 R
MCCC1,0.6534242630004883,1,0.5722100366555303,0.007982029954783915,0.007982029954783915,Cingulate Mid L
