original_id,gene_symbol,ensembl_id,mapping_status,source
ITPKB,ITPKB,ENSG00000143772,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SH3GL2,SH3GL2,ENSG00000107295,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
GPNMB,GPNMB,ENSG00000136235,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
HIP1R,HIP1R,ENSG00000130787,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
FCGR2A,FCGR2A,ENSG00000143226,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SIPA1L2,SIPA1L2,ENSG00000116991,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
TMEM163,TMEM163,ENSG00000152128,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
RIT2,RIT2,ENSG00000152214,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
CTSB,CTSB,ENSG00000164733,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
STK39,STK39,ENSG00000198648,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
IGSF9B,IGSF9B,ENSG00000080854,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
CCSER1,CCSER1,ENSG00000184305,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
CLCN3,CLCN3,ENSG00000109572,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
BST1,BST1,ENSG00000109743,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
TMEM175,TMEM175,ENSG00000127419,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
FYN,FYN,ENSG00000010810,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
CNTN1,CNTN1,ENSG00000018236,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
NOD2,NOD2,ENSG00000167207,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
RNF141,RNF141,ENSG00000110315,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
MAP4K4,MAP4K4,ENSG00000071054,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
DYRK1A,DYRK1A,ENSG00000157540,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
IRS2,IRS2,ENSG00000185950,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
GALC,GALC,ENSG00000054983,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
TOX3,TOX3,ENSG00000103460,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
ASXL3,ASXL3,ENSG00000141431,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
PKP2,PKP2,ENSG00000057294,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SLC18B1,SLC18B1,ENSG00000146409,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
ALG10,ALG10,ENSG00000139133,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SLC2A13,SLC2A13,ENSG00000151229,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SPPL2B,SPPL2B,ENSG00000005206,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
FAM47E,FAM47E,ENSG00000189157,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
FBRSL1,FBRSL1,ENSG00000112787,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
RIMS1,RIMS1,ENSG00000079841,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SEC23IP,SEC23IP,ENSG00000107651,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
MCCC1,MCCC1,ENSG00000078070,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
LCORL,LCORL,ENSG00000178177,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
ELOVL7,ELOVL7,ENSG00000164181,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
SLC50A1,SLC50A1,ENSG00000169241,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;stringent;weighted
DLG2,DLG2,ENSG00000150672,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
CAMK2D,CAMK2D,ENSG00000145349,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
VAMP4,VAMP4,ENSG00000117533,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
USP25,USP25,ENSG00000155313,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
SV2C,SV2C,ENSG00000122012,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
ITGA8,ITGA8,ENSG00000077943,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
ITGA2B,ITGA2B,ENSG00000005961,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
UBAP2,UBAP2,ENSG00000137073,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
PIK3CA,PIK3CA,ENSG00000121879,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
FASN,FASN,ENSG00000169710,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
FGF20,FGF20,ENSG00000078579,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
MED12L,MED12L,ENSG00000144893,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
C8orf58,C8orf58,ENSG00000241852,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
AZI2,AZI2,ENSG00000163512,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
NSF,NSF,ENSG00000073969,mapped_and_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
GPR65,GPR65,ENSG00000140030,mapped_not_represented_in_ahba,Stage 4 Open Targets L2G; sets=broad;weighted
