gene_set,ontology,term_id,term_name,overlap,gene_count,background_count,effect_size,p_value,fdr,genes
broad,REAC,R-HSA-8857538,PTK6 promotes HIF1A stabilization,2,123,5,49.33008130081301,0.0006418536613019646,0.18928983686873083,GPNMB;LRRK2
broad,REAC,R-HSA-198203,PI3K/AKT activation,2,123,7,35.23577235772358,0.001333624064272964,0.18928983686873083,IRS2;PIK3CA
broad,REAC,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,2,123,7,35.23577235772358,0.001333624064272964,0.18928983686873083,FASN;NRIP1
broad,REAC,R-HSA-2029481,FCGR activation,2,123,8,30.831300813008138,0.0017687374861566115,0.18928983686873083,FCGR2A;FYN
broad,REAC,R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,5,123,110,5.605691056910569,0.0020069443470521853,0.18928983686873083,MCCC1;FASN;PARP9;CD38;PRSS3
broad,REAC,R-HSA-5673001,RAF/MAP kinase cascade,7,123,230,3.7533757511488157,0.002699286521746302,0.18928983686873083,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1
broad,REAC,R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),2,123,10,24.665040650406507,0.002812578468106896,0.18928983686873083,IRS2;PIK3CA
broad,REAC,R-HSA-5684996,MAPK1/MAPK3 signaling,7,123,233,3.705049024739174,0.002900993668486296,0.18928983686873083,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1
broad,REAC,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,4,123,77,6.406504065040652,0.0035309204314532775,0.2047933850242901,FCGR2A;FYN;PIK3CA;NCKIPSD
broad,REAC,R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,2,123,12,20.55420054200542,0.004081583263175725,0.20850878211302828,FYN;PIK3CA
broad,REAC,R-HSA-189200,Cellular hexose transport,2,123,14,17.61788617886179,0.005568324418981282,0.20850878211302828,SLC50A1;SLC45A3
broad,REAC,R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,2,123,14,17.61788617886179,0.005568324418981282,0.20850878211302828,PIK3CA;BCL2L1
broad,REAC,R-HSA-1483249,Inositol phosphate metabolism,3,123,45,8.221680216802168,0.005760637494257121,0.20850878211302828,ITPKB;IP6K2;MTMR7
broad,REAC,R-HSA-5683057,MAPK family signaling cascades,7,123,265,3.2576468783555756,0.005845189508587174,0.20850878211302828,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1
broad,REAC,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",2,123,15,16.44336043360434,0.006391073781242246,0.20850878211302828,FYN;PIK3CA
broad,REAC,R-HSA-9669938,Signaling by KIT in disease,2,123,15,16.44336043360434,0.006391073781242246,0.20850878211302828,FYN;PIK3CA
broad,REAC,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,3,123,48,7.707825203252033,0.0068992037903840295,0.21184613991649787,FYN;IRS2;PIK3CA
broad,REAC,R-HSA-389357,CD28 dependent PI3K/Akt signaling,2,123,17,14.508847441415591,0.008190880986139239,0.2154726732408307,FYN;PIK3CA
broad,REAC,R-HSA-3238698,WNT ligand biogenesis and trafficking,2,123,18,13.702800361336948,0.00916619142283762,0.2154726732408307,TMED5;WNT3
broad,REAC,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,2,123,18,13.702800361336948,0.00916619142283762,0.2154726732408307,DLG2;CAMK2D
broad,REAC,R-HSA-187037,Signaling by NTRK1 (TRKA),4,123,107,4.610287972038599,0.01118904822488274,0.2154726732408307,SH3GL2;RIT2;IRS2;PIK3CA
broad,REAC,R-HSA-912631,Regulation of signaling by CBL,2,123,20,12.332520325203253,0.01126333666490998,0.2154726732408307,FYN;PIK3CA
broad,REAC,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",2,123,20,12.332520325203253,0.01126333666490998,0.2154726732408307,DLG2;CAMK2D
broad,REAC,R-HSA-2424491,DAP12 signaling,2,123,20,12.332520325203253,0.01126333666490998,0.2154726732408307,FYN;PIK3CA
broad,REAC,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,2,123,20,12.332520325203253,0.01126333666490998,0.2154726732408307,DLG2;CAMK2D
broad,REAC,R-HSA-373760,L1CAM interactions,4,123,108,4.56760012044565,0.011548187905702537,0.2154726732408307,SH3GL2;CNTN1;ITGA2B;ANK2
broad,REAC,R-HSA-196854,Metabolism of vitamins and cofactors,5,123,169,3.6486746524269975,0.012184048032700807,0.2154726732408307,MCCC1;FASN;PARP9;CD38;PRSS3
broad,REAC,R-HSA-2029485,Role of phospholipids in phagocytosis,2,123,21,11.745257452574526,0.012383486967863833,0.2154726732408307,FCGR2A;PIK3CA
broad,REAC,R-HSA-9006335,Signaling by Erythropoietin,2,123,21,11.745257452574526,0.012383486967863833,0.2154726732408307,IRS2;PIK3CA
broad,REAC,R-HSA-9620244,Long-term potentiation,2,123,21,11.745257452574526,0.012383486967863833,0.2154726732408307,DLG2;CAMK2D
broad,REAC,R-HSA-9824439,Bacterial Infection Pathways,3,123,61,6.065173930427829,0.013306135416658774,0.2210384500255533,SH3GL2;SV2C;KPNA1
broad,REAC,R-HSA-373753,Nephrin family interactions,2,123,22,11.21138211382114,0.013550249809995604,0.2210384500255533,FYN;PIK3CA
broad,REAC,R-HSA-389356,Co-stimulation by CD28,2,123,25,9.866016260162603,0.01732209557820514,0.2438040011889501,FYN;PIK3CA
broad,REAC,R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,2,123,25,9.866016260162603,0.01732209557820514,0.2438040011889501,DLG2;CAMK2D
broad,REAC,R-HSA-166520,Signaling by NTRKs,4,123,124,3.9782323629687912,0.018325819389890995,0.2438040011889501,SH3GL2;RIT2;IRS2;PIK3CA
broad,REAC,R-HSA-9682385,FLT3 signaling in disease,2,123,26,9.486554096310195,0.018667240122260873,0.2438040011889501,PIK3CA;BCL2L1
broad,REAC,R-HSA-196807,Nicotinate metabolism,2,123,26,9.486554096310195,0.018667240122260873,0.2438040011889501,PARP9;CD38
broad,REAC,R-HSA-2172127,DAP12 interactions,2,123,27,9.1352002408913,0.02005501214857255,0.2438040011889501,FYN;PIK3CA
broad,REAC,R-HSA-109704,PI3K Cascade,2,123,27,9.1352002408913,0.02005501214857255,0.2438040011889501,IRS2;PIK3CA
broad,REAC,R-HSA-399719,Trafficking of AMPA receptors,2,123,27,9.1352002408913,0.02005501214857255,0.2438040011889501,CAMK2D;NSF
broad,REAC,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",2,123,27,9.1352002408913,0.02005501214857255,0.2438040011889501,CAMK2D;NSF
broad,REAC,R-HSA-114604,GPVI-mediated activation cascade,2,123,27,9.1352002408913,0.02005501214857255,0.2438040011889501,FYN;PIK3CA
broad,REAC,R-HSA-2219528,PI3K/AKT Signaling in Cancer,3,123,72,5.138550135501355,0.020683747233189186,0.2438040011889501,FYN;IRS2;PIK3CA
broad,REAC,R-HSA-1280215,Cytokine Signaling in Immune system,10,123,587,2.1009404301879475,0.021030253499006373,0.2438040011889501,FYN;IRS2;CAMK2D;PIK3CA;SNCA;KPNA1;BCL2L1;RORA;CTF1;IP6K2
broad,REAC,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",3,123,73,5.068159037754762,0.02144542864519428,0.2438040011889501,FYN;IRS2;PIK3CA
broad,REAC,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,2,123,28,8.808943089430896,0.0214846437829343,0.2438040011889501,FYN;PIK3CA
broad,REAC,R-HSA-112399,IRS-mediated signalling,2,123,30,8.22168021680217,0.024466461637201183,0.257334239306039,IRS2;PIK3CA
broad,REAC,R-HSA-75105,Fatty acyl-CoA biosynthesis,2,123,31,7.9564647259375825,0.026017159064717573,0.257334239306039,ELOVL7;FASN
broad,REAC,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,2,123,31,7.9564647259375825,0.026017159064717573,0.257334239306039,FCGR2A;FYN
broad,REAC,R-HSA-556833,Metabolism of lipids,10,123,610,2.021724643475943,0.026547117680310955,0.257334239306039,GALC;ELOVL7;PIK3CA;FASN;HSD3B7;MED13;RORA;CERS6;MTMR7;ACBD7
broad,REAC,R-HSA-76002,"Platelet activation, signaling and aggregation",5,123,208,2.9645481550969355,0.027201713474357406,0.257334239306039,FYN;ITGA2B;PIK3CA;P2RY12;DGKQ
broad,REAC,R-HSA-199418,Negative regulation of the PI3K/AKT network,3,123,80,4.62469512195122,0.02720356752327882,0.257334239306039,FYN;IRS2;PIK3CA
broad,REAC,R-HSA-9607240,FLT3 Signaling,2,123,32,7.7078252032520345,0.027606738316356672,0.257334239306039,FYN;PIK3CA
broad,REAC,R-HSA-1433557,Signaling by SCF-KIT,2,123,32,7.7078252032520345,0.027606738316356672,0.257334239306039,FYN;PIK3CA
broad,REAC,R-HSA-2428924,IGF1R signaling cascade,2,123,32,7.7078252032520345,0.027606738316356672,0.257334239306039,IRS2;PIK3CA
broad,REAC,R-HSA-2428928,IRS-related events triggered by IGF1R,2,123,32,7.7078252032520345,0.027606738316356672,0.257334239306039,IRS2;PIK3CA
broad,REAC,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),2,123,33,7.474254742547426,0.02923447787646816,0.2677262710792347,IRS2;PIK3CA
broad,REAC,R-HSA-8853659,RET signaling,2,123,34,7.254423720707796,0.03089966520580189,0.278096986852217,IRS2;PIK3CA
broad,REAC,R-HSA-74751,Insulin receptor signalling cascade,2,123,35,7.047154471544717,0.03260159664532885,0.2786569653756081,IRS2;PIK3CA
broad,REAC,R-HSA-9656223,Signaling by RAF1 mutants,2,123,35,7.047154471544717,0.03260159664532885,0.2786569653756081,CAMK2D;ITGA2B
broad,REAC,R-HSA-9696270,RND2 GTPase cycle,2,123,36,6.851400180668474,0.03433957732101165,0.2786569653756081,KTN1;WDR6
broad,REAC,R-HSA-9696264,RND3 GTPase cycle,2,123,36,6.851400180668474,0.03433957732101165,0.2786569653756081,KTN1;WDR6
broad,REAC,R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,2,123,37,6.666227202812569,0.03611292104951536,0.2786569653756081,FASN;NRIP1
broad,REAC,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",2,123,38,6.4908001711596075,0.03792095024485018,0.2786569653756081,FYN;PIK3CA
broad,REAC,R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,2,123,38,6.4908001711596075,0.03792095024485018,0.2786569653756081,DLG2;CAMK2D
broad,REAC,R-HSA-8866376,Reelin signalling pathway,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,FYN
broad,REAC,R-HSA-5250955,Toxicity of botulinum toxin type D (botD),1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,SV2C
broad,REAC,R-HSA-164944,Nef and signal transduction,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,FYN
broad,REAC,R-HSA-9706374,FLT3 signaling through SRC family kinases,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,FYN
broad,REAC,R-HSA-8851907,MET activates PI3K/AKT signaling,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,PIK3CA
broad,REAC,R-HSA-9028335,Activated NTRK2 signals through PI3K,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,PIK3CA
broad,REAC,R-HSA-112412,SOS-mediated signalling,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,IRS2
broad,REAC,R-HSA-9603381,Activated NTRK3 signals through PI3K,1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,PIK3CA
broad,REAC,R-HSA-5250981,Toxicity of botulinum toxin type F (botF),1,123,5,24.665040650406507,0.03989619740520559,0.2786569653756081,SV2C
broad,REAC,R-HSA-9649948,Signaling downstream of RAS mutants,2,123,40,6.166260162601627,0.04163839712509087,0.2786569653756081,CAMK2D;ITGA2B
broad,REAC,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,2,123,40,6.166260162601627,0.04163839712509087,0.2786569653756081,CAMK2D;ITGA2B
broad,REAC,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,2,123,40,6.166260162601627,0.04163839712509087,0.2786569653756081,CAMK2D;ITGA2B
broad,REAC,R-HSA-6802949,Signaling by RAS mutants,2,123,40,6.166260162601627,0.04163839712509087,0.2786569653756081,CAMK2D;ITGA2B
broad,REAC,R-HSA-9864848,Complex IV assembly,2,123,41,6.01586357326988,0.04354650179740073,0.2877376447878884,CMC1;COX4I2
broad,REAC,R-HSA-177929,Signaling by EGFR,2,123,42,5.872628726287263,0.04548666573101969,0.29313629026657134,SH3GL2;PIK3CA
broad,REAC,R-HSA-1227986,Signaling by ERBB2,2,123,42,5.872628726287263,0.04548666573101969,0.29313629026657134,FYN;PIK3CA
broad,REAC,R-HSA-9027283,Erythropoietin activates STAT5,1,123,6,20.55420054200542,0.0476839030052557,0.29944771448439905,IRS2
broad,REAC,R-HSA-9027277,Erythropoietin activates Phospholipase C gamma (PLCG),1,123,6,20.55420054200542,0.0476839030052557,0.29944771448439905,IRS2
broad,REAC,R-HSA-5357905,Regulation of TNFR1 signaling,2,123,44,5.60569105691057,0.04946063556801938,0.29944771448439905,SPPL2B;CYLD
broad,REAC,R-HSA-9707616,Heme signaling,2,123,44,5.60569105691057,0.04946063556801938,0.29944771448439905,NRIP1;RORA
broad,REAC,R-HSA-8848021,Signaling by PTK6,2,123,45,5.4811201445347795,0.051493193617961765,0.29944771448439905,GPNMB;LRRK2
broad,REAC,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,2,123,45,5.4811201445347795,0.051493193617961765,0.29944771448439905,GPNMB;LRRK2
broad,REAC,R-HSA-9758881,Uptake of dietary cobalamins into enterocytes,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,PRSS3
broad,REAC,R-HSA-447043,Neurofascin interactions,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,CNTN1
broad,REAC,R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,MCCC1
broad,REAC,R-HSA-163765,ChREBP activates metabolic gene expression,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,FASN
broad,REAC,R-HSA-2586552,Signaling by Leptin,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,IRS2
broad,REAC,R-HSA-9842640,Signaling by LTK in cancer,1,123,7,17.61788617886179,0.05540894949541949,0.29944771448439905,PIK3CA
broad,REAC,R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,2,123,47,5.247880989448193,0.05564639559983124,0.29944771448439905,VAMP4;NSF
broad,REAC,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2,123,48,5.138550135501355,0.05776583872198109,0.29944771448439905,BCL2L1;CYLD
broad,REAC,R-HSA-388841,Regulation of T cell activation by CD28 family,2,123,49,5.033681765389083,0.05991305549666234,0.29944771448439905,FYN;PIK3CA
broad,REAC,R-HSA-449147,Signaling by Interleukins,6,123,346,2.1385873396306216,0.06260384680842887,0.29944771448439905,FYN;IRS2;PIK3CA;BCL2L1;RORA;CTF1
broad,REAC,R-HSA-9755088,Ribavirin ADME,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,ITPA
broad,REAC,R-HSA-3323169,Defects in biotin (Btn) metabolism,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,MCCC1
broad,REAC,R-HSA-1250342,PI3K events in ERBB4 signaling,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,PIK3CA
broad,REAC,R-HSA-417957,P2Y receptors,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,P2RY12
broad,REAC,R-HSA-74749,Signal attenuation,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,IRS2
broad,REAC,R-HSA-389359,CD28 dependent Vav1 pathway,1,123,8,15.415650406504069,0.06307183692531418,0.29944771448439905,FYN
