pathway_id,pathway_name,database,overlap,rank_effect_auc,median_l2g_in_pathway,median_l2g_outside_pathway,p_value,genes,ranking_interpretation,fdr
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,REAC,5,0.8888888888888888,0.7615038752555847,0.27470405399799347,0.0016085665189701657,SH3GL2;RIT2;FYN;IRS2;PIK3CA,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-187037,Signaling by NTRK1 (TRKA),REAC,4,0.8810344827586207,0.7957227528095245,0.2858431041240692,0.004803768290169922,SH3GL2;RIT2;IRS2;PIK3CA,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-166520,Signaling by NTRKs,REAC,4,0.8810344827586207,0.7957227528095245,0.2858431041240692,0.004803768290169922,SH3GL2;RIT2;IRS2;PIK3CA,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-8856828,Clathrin-mediated endocytosis,REAC,3,0.906392694063927,0.8798125386238098,0.2858689874410629,0.008222879026543803,SH3GL2;HIP1R;VAMP4,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-432722,Golgi Associated Vesicle Biogenesis,REAC,2,0.9897959183673469,0.8896398544311523,0.2858948707580566,0.008963117542740078,SH3GL2;HIP1R,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-199992,trans-Golgi Network Vesicle Budding,REAC,2,0.9897959183673469,0.8896398544311523,0.2858948707580566,0.008963117542740078,SH3GL2;HIP1R,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-2132295,MHC class II antigen presentation,REAC,2,0.9727891156462585,0.8710833489894867,0.2858948707580566,0.011166398636815058,SH3GL2;CTSB,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-422475,Axon guidance,REAC,7,0.7414486921529175,0.7469207048416138,0.27470405399799347,0.015832640559479944,SH3GL2;FYN;CNTN1;IRS2;ITGA2B;PIK3CA;ANK2,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-9675108,Nervous system development,REAC,7,0.7414486921529175,0.7469207048416138,0.27470405399799347,0.015832640559479944,SH3GL2;FYN;CNTN1;IRS2;ITGA2B;PIK3CA;ANK2,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-5673001,RAF/MAP kinase cascade,REAC,7,0.738430583501006,0.6061360836029053,0.27470405399799347,0.0169315998867574,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-5684996,MAPK1/MAPK3 signaling,REAC,7,0.738430583501006,0.6061360836029053,0.27470405399799347,0.0169315998867574,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-5683057,MAPK family signaling cascades,REAC,7,0.738430583501006,0.6061360836029053,0.27470405399799347,0.0169315998867574,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-2029481,FCGR activation,REAC,2,0.9387755102040817,0.816360592842102,0.2858948707580566,0.017015583827163352,FCGR2A;FYN,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-9664323,FCGR3A-mediated IL10 synthesis,REAC,2,0.9387755102040817,0.816360592842102,0.2858948707580566,0.017015583827163352,FCGR2A;FYN,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
R-HSA-9664433,Leishmania parasite growth and survival,REAC,2,0.9387755102040817,0.816360592842102,0.2858948707580566,0.017015583827163352,FCGR2A;FYN,"higher values mean stronger Open Targets L2G prioritization evidence, not expression effect",0.20525047991515794
