term_id,term_name,gene_count,overlap,p_value,fdr,genes,effect_size
R-HSA-8857538,PTK6 promotes HIF1A stabilization,123,2,0.0006418536613019646,0.18928983686873083,GPNMB;LRRK2,49.33008130081301
R-HSA-198203,PI3K/AKT activation,123,2,0.001333624064272964,0.18928983686873083,IRS2;PIK3CA,35.23577235772358
R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,123,2,0.001333624064272964,0.18928983686873083,FASN;NRIP1,35.23577235772358
R-HSA-2029481,FCGR activation,123,2,0.0017687374861566115,0.18928983686873083,FCGR2A;FYN,30.831300813008138
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,123,5,0.0020069443470521853,0.18928983686873083,MCCC1;FASN;PARP9;CD38;PRSS3,5.605691056910569
R-HSA-5673001,RAF/MAP kinase cascade,123,7,0.002699286521746302,0.18928983686873083,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,3.7533757511488157
R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),123,2,0.002812578468106896,0.18928983686873083,IRS2;PIK3CA,24.665040650406507
R-HSA-5684996,MAPK1/MAPK3 signaling,123,7,0.002900993668486296,0.18928983686873083,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,3.705049024739174
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,123,4,0.0035309204314532775,0.2047933850242901,FCGR2A;FYN;PIK3CA;NCKIPSD,6.406504065040652
R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,123,2,0.004081583263175725,0.20850878211302828,FYN;PIK3CA,20.55420054200542
R-HSA-189200,Cellular hexose transport,123,2,0.005568324418981282,0.20850878211302828,SLC50A1;SLC45A3,17.61788617886179
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,123,2,0.005568324418981282,0.20850878211302828,PIK3CA;BCL2L1,17.61788617886179
R-HSA-1483249,Inositol phosphate metabolism,123,3,0.005760637494257121,0.20850878211302828,ITPKB;IP6K2;MTMR7,8.221680216802168
R-HSA-5683057,MAPK family signaling cascades,123,7,0.005845189508587174,0.20850878211302828,FYN;IRS2;DLG2;CAMK2D;ITGA2B;PIK3CA;BCL2L1,3.2576468783555756
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",123,2,0.006391073781242246,0.20850878211302828,FYN;PIK3CA,16.44336043360434
R-HSA-9669938,Signaling by KIT in disease,123,2,0.006391073781242246,0.20850878211302828,FYN;PIK3CA,16.44336043360434
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,123,3,0.0068992037903840295,0.21184613991649787,FYN;IRS2;PIK3CA,7.707825203252033
R-HSA-389357,CD28 dependent PI3K/Akt signaling,123,2,0.008190880986139239,0.2154726732408307,FYN;PIK3CA,14.508847441415591
R-HSA-3238698,WNT ligand biogenesis and trafficking,123,2,0.00916619142283762,0.2154726732408307,TMED5;WNT3,13.702800361336948
R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,123,2,0.00916619142283762,0.2154726732408307,DLG2;CAMK2D,13.702800361336948
R-HSA-187037,Signaling by NTRK1 (TRKA),123,4,0.01118904822488274,0.2154726732408307,SH3GL2;RIT2;IRS2;PIK3CA,4.610287972038599
R-HSA-912631,Regulation of signaling by CBL,123,2,0.01126333666490998,0.2154726732408307,FYN;PIK3CA,12.332520325203253
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",123,2,0.01126333666490998,0.2154726732408307,DLG2;CAMK2D,12.332520325203253
R-HSA-2424491,DAP12 signaling,123,2,0.01126333666490998,0.2154726732408307,FYN;PIK3CA,12.332520325203253
R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,123,2,0.01126333666490998,0.2154726732408307,DLG2;CAMK2D,12.332520325203253
R-HSA-373760,L1CAM interactions,123,4,0.011548187905702537,0.2154726732408307,SH3GL2;CNTN1;ITGA2B;ANK2,4.56760012044565
R-HSA-196854,Metabolism of vitamins and cofactors,123,5,0.012184048032700807,0.2154726732408307,MCCC1;FASN;PARP9;CD38;PRSS3,3.6486746524269975
R-HSA-2029485,Role of phospholipids in phagocytosis,123,2,0.012383486967863833,0.2154726732408307,FCGR2A;PIK3CA,11.745257452574526
R-HSA-9006335,Signaling by Erythropoietin,123,2,0.012383486967863833,0.2154726732408307,IRS2;PIK3CA,11.745257452574526
R-HSA-9620244,Long-term potentiation,123,2,0.012383486967863833,0.2154726732408307,DLG2;CAMK2D,11.745257452574526
R-HSA-9824439,Bacterial Infection Pathways,123,3,0.013306135416658774,0.2210384500255533,SH3GL2;SV2C;KPNA1,6.065173930427829
R-HSA-373753,Nephrin family interactions,123,2,0.013550249809995604,0.2210384500255533,FYN;PIK3CA,11.21138211382114
R-HSA-389356,Co-stimulation by CD28,123,2,0.01732209557820514,0.2438040011889501,FYN;PIK3CA,9.866016260162603
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,123,2,0.01732209557820514,0.2438040011889501,DLG2;CAMK2D,9.866016260162603
R-HSA-166520,Signaling by NTRKs,123,4,0.018325819389890995,0.2438040011889501,SH3GL2;RIT2;IRS2;PIK3CA,3.9782323629687912
R-HSA-9682385,FLT3 signaling in disease,123,2,0.018667240122260873,0.2438040011889501,PIK3CA;BCL2L1,9.486554096310195
R-HSA-196807,Nicotinate metabolism,123,2,0.018667240122260873,0.2438040011889501,PARP9;CD38,9.486554096310195
R-HSA-2172127,DAP12 interactions,123,2,0.02005501214857255,0.2438040011889501,FYN;PIK3CA,9.1352002408913
R-HSA-109704,PI3K Cascade,123,2,0.02005501214857255,0.2438040011889501,IRS2;PIK3CA,9.1352002408913
R-HSA-399719,Trafficking of AMPA receptors,123,2,0.02005501214857255,0.2438040011889501,CAMK2D;NSF,9.1352002408913
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",123,2,0.02005501214857255,0.2438040011889501,CAMK2D;NSF,9.1352002408913
R-HSA-114604,GPVI-mediated activation cascade,123,2,0.02005501214857255,0.2438040011889501,FYN;PIK3CA,9.1352002408913
R-HSA-2219528,PI3K/AKT Signaling in Cancer,123,3,0.020683747233189186,0.2438040011889501,FYN;IRS2;PIK3CA,5.138550135501355
R-HSA-1280215,Cytokine Signaling in Immune system,123,10,0.021030253499006373,0.2438040011889501,FYN;IRS2;CAMK2D;PIK3CA;SNCA;KPNA1;BCL2L1;RORA;CTF1;IP6K2,2.1009404301879475
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",123,3,0.02144542864519428,0.2438040011889501,FYN;IRS2;PIK3CA,5.068159037754762
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,123,2,0.0214846437829343,0.2438040011889501,FYN;PIK3CA,8.808943089430896
R-HSA-112399,IRS-mediated signalling,123,2,0.024466461637201183,0.257334239306039,IRS2;PIK3CA,8.22168021680217
R-HSA-75105,Fatty acyl-CoA biosynthesis,123,2,0.026017159064717573,0.257334239306039,ELOVL7;FASN,7.9564647259375825
R-HSA-9664323,FCGR3A-mediated IL10 synthesis,123,2,0.026017159064717573,0.257334239306039,FCGR2A;FYN,7.9564647259375825
