region_id,region,pathway_id,pathway,overlap,effect_size,p_value,within_region_fdr,genes,status,regional_fdr
28,OFCant R,R-HSA-8857538,PTK6 promotes HIF1A stabilization,1,151.69000000000003,0.006575896217941495,0.120258251856648,GPNMB,tested,0.09876421290383225
28,OFCant R,R-HSA-187037,Signaling by NTRK1 (TRKA),2,14.176635514018692,0.008621043895772632,0.120258251856648,RIT2;SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-373760,L1CAM interactions,2,14.045370370370371,0.008776792956728634,0.120258251856648,CNTN1;SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-2132295,MHC class II antigen presentation,2,13.916513761467892,0.008933809734845163,0.120258251856648,CTSB;SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-447043,Neurofascin interactions,1,108.35000000000001,0.009194734779408322,0.120258251856648,CNTN1,tested,0.09876421290383225
28,OFCant R,R-HSA-2029481,FCGR activation,1,94.80625000000002,0.01050169331419343,0.120258251856648,FCGR2A,tested,0.09876421290383225
28,OFCant R,R-HSA-166520,Signaling by NTRKs,2,12.233064516129033,0.011438980527474347,0.120258251856648,RIT2;SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,1,84.27222222222223,0.011807013948301751,0.120258251856648,CAMK2D,tested,0.09876421290383225
28,OFCant R,R-HSA-1679131,Trafficking and processing of endosomal TLR,1,68.95,0.014412749291254861,0.120258251856648,CTSB,tested,0.09876421290383225
28,OFCant R,R-HSA-177504,Retrograde neurotrophin signalling,1,63.20416666666667,0.015713167883033126,0.120258251856648,SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,1,54.175000000000004,0.01830911659820087,0.120258251856648,RIMS1,tested,0.09876421290383225
28,OFCant R,R-HSA-8875360,InlB-mediated entry of Listeria monocytogenes into host cell,1,54.175000000000004,0.01830911659820087,0.120258251856648,SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,1,50.56333333333334,0.019604650591472778,0.120258251856648,RIMS1,tested,0.09876421290383225
28,OFCant R,R-HSA-888590,"GABA synthesis, release, reuptake and degradation",1,44.61470588235294,0.022190847507824688,0.120258251856648,RIMS1,tested,0.09876421290383225
28,OFCant R,R-HSA-181429,Serotonin Neurotransmitter Release Cycle,1,44.61470588235294,0.022190847507824688,0.120258251856648,RIMS1,tested,0.09876421290383225
28,OFCant R,R-HSA-8876384,Listeria monocytogenes entry into host cells,1,42.13611111111111,0.023481514287777408,0.120258251856648,SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,1,42.13611111111111,0.023481514287777408,0.120258251856648,CAMK2D,tested,0.09876421290383225
28,OFCant R,R-HSA-6807004,Negative regulation of MET activity,1,37.92250000000001,0.026057994117195525,0.120258251856648,SH3GL2,tested,0.09876421290383225
28,OFCant R,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,1,37.92250000000001,0.026057994117195525,0.120258251856648,CAMK2D,tested,0.09876421290383225
28,OFCant R,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",1,37.92250000000001,0.026057994117195525,0.120258251856648,CAMK2D,tested,0.09876421290383225
28,OFCant R,R-HSA-1538133,G0 and Early G1,1,36.11666666666667,0.027343811010565128,0.120258251856648,DYRK1A,tested,0.09876421290383225
28,OFCant R,R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,1,36.11666666666667,0.027343811010565128,0.120258251856648,CNTN1,tested,0.09876421290383225
28,OFCant R,R-HSA-2029485,Role of phospholipids in phagocytosis,1,36.11666666666667,0.027343811010565128,0.120258251856648,FCGR2A,tested,0.09876421290383225
28,OFCant R,R-HSA-9620244,Long-term potentiation,1,36.11666666666667,0.027343811010565128,0.120258251856648,CAMK2D,tested,0.09876421290383225
28,OFCant R,R-HSA-212676,Dopamine Neurotransmitter Release Cycle,1,34.475,0.028628015115383505,0.120258251856648,RIMS1,tested,0.09962262358998518
28,OFCant R,R-HSA-210500,Glutamate Neurotransmitter Release Cycle,1,32.97608695652174,0.029910608348214587,0.120258251856648,RIMS1,tested,0.09962262358998518
28,OFCant R,R-HSA-3371571,HSF1-dependent transactivation,1,32.97608695652174,0.029910608348214587,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,1,31.602083333333336,0.031191592623471123,0.120258251856648,ITPKB,tested,0.09962262358998518
28,OFCant R,R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,1,30.338000000000005,0.03247096985341703,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-182971,EGFR downregulation,1,30.338000000000005,0.03247096985341703,0.120258251856648,SH3GL2,tested,0.09962262358998518
28,OFCant R,R-HSA-112315,Transmission across Chemical Synapses,2,6.802242152466368,0.03435526806358303,0.120258251856648,RIMS1;CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",1,28.090740740740742,0.03502491081570147,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-399719,Trafficking of AMPA receptors,1,28.090740740740742,0.03502491081570147,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-5576892,Phase 0 - rapid depolarisation,1,27.087500000000002,0.03629947836184372,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-187687,Signalling to ERKs,1,26.153448275862072,0.037572446490287216,0.120258251856648,RIT2,tested,0.09962262358998518
28,OFCant R,R-HSA-9022692,Regulation of MECP2 expression and activity,1,26.153448275862072,0.037572446490287216,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,1,25.28166666666667,0.038843817102585394,0.120258251856648,CNTN1,tested,0.09962262358998518
28,OFCant R,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,1,24.466129032258067,0.040113592098156334,0.120258251856648,FCGR2A,tested,0.09962262358998518
28,OFCant R,R-HSA-1980145,Signaling by NOTCH2,1,24.466129032258067,0.040113592098156334,0.120258251856648,CNTN1,tested,0.09962262358998518
28,OFCant R,R-HSA-111997,CaM pathway,1,22.983333333333334,0.042648362826125885,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-111933,Calmodulin induced events,1,22.983333333333334,0.042648362826125885,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-5673000,RAF activation,1,22.983333333333334,0.042648362826125885,0.120258251856648,CAMK2D,tested,0.09962262358998518
28,OFCant R,R-HSA-432720,Lysosome Vesicle Biogenesis,1,22.30735294117647,0.04391336234670448,0.120258251856648,SH3GL2,tested,0.10006623058288591
28,OFCant R,R-HSA-111996,Ca-dependent events,1,21.67,0.04517677382692024,0.120258251856648,CAMK2D,tested,0.10048510354884832
28,OFCant R,R-HSA-9656223,Signaling by RAF1 mutants,1,21.67,0.04517677382692024,0.120258251856648,CAMK2D,tested,0.10048510354884832
28,OFCant R,R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,1,19.95921052631579,0.048957498902537776,0.120258251856648,CAMK2D,tested,0.10578316727155483
28,OFCant R,R-HSA-1489509,DAG and IP3 signaling,1,19.4474358974359,0.05021457708784935,0.120258251856648,CAMK2D,tested,0.10591631420600356
28,OFCant R,R-HSA-6802949,Signaling by RAS mutants,1,18.961250000000003,0.05147007665547941,0.120258251856648,CAMK2D,tested,0.10591631420600356
28,OFCant R,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,1,18.961250000000003,0.05147007665547941,0.120258251856648,CAMK2D,tested,0.10591631420600356
28,OFCant R,R-HSA-9649948,Signaling downstream of RAS mutants,1,18.961250000000003,0.05147007665547941,0.120258251856648,CAMK2D,tested,0.10591631420600356
28,OFCant R,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,1,18.961250000000003,0.05147007665547941,0.120258251856648,CAMK2D,tested,0.10591631420600356
28,OFCant R,R-HSA-177929,Signaling by EGFR,1,18.058333333333334,0.0539763474483397,0.120258251856648,SH3GL2,tested,0.10696170394845506
28,OFCant R,R-HSA-446203,Asparagine N-linked glycosylation,2,5.285365853658537,0.05418550617978519,0.120258251856648,ALG10;SEC23IP,tested,0.10696170394845506
28,OFCant R,R-HSA-437239,Recycling pathway of L1,1,17.638372093023257,0.05522712242361788,0.120258251856648,SH3GL2,tested,0.10696170394845506
28,OFCant R,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,1,16.854444444444447,0.057723960891191035,0.120258251856648,CTSB,tested,0.10696170394845506
28,OFCant R,R-HSA-1442490,Collagen degradation,1,16.854444444444447,0.057723960891191035,0.120258251856648,CTSB,tested,0.10696170394845506
28,OFCant R,R-HSA-1483249,Inositol phosphate metabolism,1,16.854444444444447,0.057723960891191035,0.120258251856648,ITPKB,tested,0.10696170394845506
28,OFCant R,R-HSA-8848021,Signaling by PTK6,1,16.854444444444447,0.057723960891191035,0.120258251856648,GPNMB,tested,0.10696170394845506
28,OFCant R,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,1,16.854444444444447,0.057723960891191035,0.120258251856648,GPNMB,tested,0.10696170394845506
28,OFCant R,R-HSA-112310,Neurotransmitter release cycle,1,16.854444444444447,0.057723960891191035,0.120258251856648,RIMS1,tested,0.10696170394845506
28,OFCant R,R-HSA-112043,PLC beta mediated events,1,16.48804347826087,0.05897002812090377,0.12084022155922904,CAMK2D,tested,0.10746044281068308
28,OFCant R,R-HSA-936837,Ion transport by P-type ATPases,1,16.137234042553192,0.06021452983601206,0.12140026176615334,CAMK2D,tested,0.1089081929769426
28,OFCant R,R-HSA-5578775,Ion homeostasis,1,15.801041666666668,0.061457467899977115,0.12193942043646253,CAMK2D,tested,0.11000523100439691
28,OFCant R,R-HSA-112040,G-protein mediated events,1,15.169000000000002,0.0639386605178503,0.12488019632392636,CAMK2D,tested,0.1131078643663726
28,OFCant R,R-HSA-432722,Golgi Associated Vesicle Biogenesis,1,14.310377358490568,0.06764876852727542,0.1300937856293758,SH3GL2,tested,0.11660257823077386
28,OFCant R,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,1,14.045370370370371,0.06888236369990403,0.13045902215890914,FCGR2A,tested,0.11706132033270207
28,OFCant R,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,1,13.306140350877193,0.07257385261006388,0.13539897875011916,CAMK2D,tested,0.1217952311486509
28,OFCant R,R-HSA-8986944,Transcriptional Regulation by MECP2,1,13.076724137931036,0.07380125619316337,0.13566407388449148,CAMK2D,tested,0.12300209365527229
28,OFCant R,R-HSA-112316,Neuronal System,2,4.346418338108883,0.07640071354393198,0.13834681169489838,RIMS1;CAMK2D,tested,0.12594668036533746
28,OFCant R,R-HSA-9824439,Bacterial Infection Pathways,1,12.433606557377049,0.07747421454914309,0.13834681169489838,SH3GL2,tested,0.12616931306118861
28,OFCant R,R-HSA-9664433,Leishmania parasite growth and survival,1,12.03888888888889,0.07991516148418965,0.13874159979894038,FCGR2A,tested,0.12706615689338957
28,OFCant R,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,1,12.03888888888889,0.07991516148418965,0.13874159979894038,FCGR2A,tested,0.12706615689338957
28,OFCant R,R-HSA-204005,COPII-mediated vesicle transport,1,11.668461538461539,0.0823499719404482,0.1400277038149182,SEC23IP,tested,0.13008285384848867
28,OFCant R,R-HSA-6798695,Neutrophil degranulation,2,4.122010869565218,0.08371531714139943,0.1400277038149182,FCGR2A;CTSB,tested,0.13104208763401462
28,OFCant R,R-HSA-877300,Interferon gamma signaling,1,11.320149253731344,0.08477866053486065,0.1400277038149182,CAMK2D,tested,0.1318537008318527
28,OFCant R,R-HSA-438064,Post NMDA receptor activation events,1,10.992028985507247,0.08720124185148152,0.1400277038149182,CAMK2D,tested,0.1330520905941996
28,OFCant R,R-HSA-6806834,Signaling by MET,1,10.992028985507247,0.08720124185148152,0.1400277038149182,SH3GL2,tested,0.1330520905941996
28,OFCant R,R-HSA-1474290,Collagen formation,1,10.835,0.08841024682916164,0.1400277038149182,CTSB,tested,0.1330520905941996
28,OFCant R,R-HSA-1980143,Signaling by NOTCH1,1,10.682394366197183,0.08961773044154765,0.1400277038149182,CNTN1,tested,0.1330520905941996
28,OFCant R,R-HSA-199992,trans-Golgi Network Vesicle Budding,1,10.682394366197183,0.08961773044154765,0.1400277038149182,SH3GL2,tested,0.1330520905941996
28,OFCant R,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,10.249324324324323,0.09323107121461384,0.14387510989909544,ALG10,tested,0.1367389044481003
28,OFCant R,R-HSA-6802957,Oncogenic MAPK signaling,1,10.112666666666668,0.0944324874832927,0.14395196262697058,CAMK2D,tested,0.13766663837925802
28,OFCant R,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,1,9.850000000000001,0.09683078487398233,0.14582949529214206,FCGR2A,tested,0.1394824401160936
28,OFCant R,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,1,9.36358024691358,0.10160928949836581,0.15120429984875863,CAMK2D,tested,0.14312833561469457
28,OFCant R,R-HSA-111885,Opioid Signalling,1,9.137951807228916,0.10398952547603468,0.15287412158873803,CAMK2D,tested,0.14563347896528006
28,OFCant R,R-HSA-3371556,Cellular response to heat stress,1,9.029166666666667,0.10517739565305176,0.15287412158873803,CAMK2D,tested,0.1461132591735851
28,OFCant R,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,1,8.155376344086022,0.11580111399106145,0.1663809109066975,SH3GL2,tested,0.15673305137492657
28,OFCant R,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,2,3.370888888888889,0.11754689223422267,0.1669700173781572,RIT2;SH3GL2,tested,0.15785986637448327
28,OFCant R,R-HSA-1474228,Degradation of the extracellular matrix,1,7.36359223300971,0.12746468475184977,0.17902343364023846,CTSB,tested,0.1683758390280985
28,OFCant R,R-HSA-5576891,Cardiac conduction,1,7.0226851851851855,0.13324151375741844,0.1850576579964145,CAMK2D,tested,0.17467197361481726
28,OFCant R,R-HSA-422475,Axon guidance,2,2.9860236220472443,0.1432965860419082,0.196835969837786,CNTN1;SH3GL2,tested,0.18484954062975364
28,OFCant R,R-HSA-9675108,Nervous system development,2,2.8459662288930585,0.15476397787535248,0.21027714385238108,CNTN1;SH3GL2,tested,0.1969131579696914
28,OFCant R,R-HSA-8856828,Clathrin-mediated endocytosis,1,5.7026315789473685,0.16158477630540918,0.21474763208028544,SH3GL2,tested,0.2042586279831808
28,OFCant R,R-HSA-453279,Mitotic G1 phase and G1/S transition,1,5.660074626865672,0.16269998676523165,0.21474763208028544,DYRK1A,tested,0.2042586279831808
28,OFCant R,R-HSA-9658195,Leishmania infection,1,5.576838235294118,0.16492618143765922,0.21474763208028544,FCGR2A,tested,0.2042586279831808
28,OFCant R,R-HSA-9824443,Parasitic Infection Pathways,1,5.576838235294118,0.16492618143765922,0.21474763208028544,FCGR2A,tested,0.2042586279831808
28,OFCant R,R-HSA-168898,Toll-like Receptor Cascades,1,5.3790780141843975,0.17046709361946513,0.21647679073465706,CTSB,tested,0.20919389784944503
28,OFCant R,R-HSA-983712,Ion channel transport,1,5.267013888888889,0.17377485701360174,0.21647679073465706,CAMK2D,tested,0.21017381208089328
28,OFCant R,R-HSA-199991,Membrane Trafficking,2,2.6426829268292686,0.1739654356643005,0.21647679073465706,SH3GL2;SEC23IP,tested,0.21017381208089328
28,OFCant R,R-HSA-199977,ER to Golgi Anterograde Transport,1,5.230689655172414,0.17487465753671175,0.21647679073465706,SEC23IP,tested,0.21017381208089328
28,OFCant R,R-HSA-382551,Transport of small molecules,2,2.6335069444444446,0.1749132469136029,0.21647679073465706,SLC2A13;CAMK2D,tested,0.21017381208089328
