disease,category,gwas_sample_size,n_gwas_loci,n_prioritized_genes,ahba_gene_coverage,n_significant_regions,n_spatially_robust_regions,validation_status,top_region,top_region_z,top_region_fdr,top_biological_process,top_cell_type,notes
Parkinson disease,neurodegenerative,2525730.0,67,149,82.5503355704698,0,0,partially_validated,OFCant R,3.0566367753650683,0.1793820617938206,peptidyl-threonine modification,No BH-FDR-significant HPA brain cell type,none
Alzheimer disease,neurodegenerative,487511.0,83,113,82.30088495575221,0,0,pending,Thal PuM L,2.079164905383461,0.7430026228146416,amyloid-beta metabolic process,central nervous system macrophage,none
Huntington disease,neurodegenerative,,0,0,,0,0,not_available,,,,,,"Catalog ontology has only GCST004691 for Huntington progression, not common-variant disease risk."
Amyotrophic lateral sclerosis,neurodegenerative,152268.0,17,25,88.0,0,0,pending,Occipital Mid R,2.6637821771726617,0.4001599840015998,No BH-FDR-significant GO:BP term,No BH-FDR-significant HPA brain cell type,none
Multiple system atrophy,neurodegenerative,8016.0,0,0,,0,0,not_available,,,,,,"Eligible risk GWAS exists, but current Open Targets has zero credible sets; older eligible studies also have zero."
Progressive supranuclear palsy,neurodegenerative,12308.0,2,4,100.0,0,0,not_available,,,,,,"Largest disease-specific genome-wide array study with Open Targets credible sets, but only four prioritized genes were returned; it fails the frozen minimum-five-gene AHBA analysis gate."
Schizophrenia,psychiatric_neurodevelopmental,175799.0,222,451,84.4789356984479,7,0,pending,Putamen R,4.4768199657387235,0.0045995400459954,trans-synaptic signaling,hippocampal CA4,none
Bipolar disorder,psychiatric_neurodevelopmental,413466.0,37,100,80.0,0,0,pending,Temporal Mid L,1.9124289775782897,0.6834916508349166,No BH-FDR-significant GO:BP term,No BH-FDR-significant HPA brain cell type,none
Major depressive disorder,psychiatric_neurodevelopmental,1154267.0,94,178,81.46067415730337,0,0,pending,Hippocampus L,2.4531583266602444,0.7497250274972503,No BH-FDR-significant GO:BP term,amygdala excitatory,none
Autism spectrum disorder,psychiatric_neurodevelopmental,46350.0,1,1,100.0,0,0,not_available,,,,,,The larger SPARK record has zero Open Targets credible sets; this disease-specific alternative returns only one prioritized gene and fails the frozen minimum-five-gene AHBA analysis gate.
Attention deficit-hyperactivity disorder,psychiatric_neurodevelopmental,225534.0,22,35,88.57142857142857,2,0,pending,OFCmed R,3.284837817329499,0.0413958604139586,No BH-FDR-significant GO:BP term,midbrain-derived inhibitory,none
Epilepsy,neurological,82482.0,4,8,87.5,0,0,pending,Occipital Inf R,2.0977230058763547,0.6411758824117588,cardiac muscle cell action potential,No BH-FDR-significant HPA brain cell type,stringent sensitivity set has only 2 AHBA genes; retained without threshold changes and interpreted cautiously
Migraine,neurological,873341.0,98,205,81.46341463414635,0,0,pending,Cerebellum 8 R,3.159062216864404,0.1655834416558344,regulation of stem cell differentiation,No BH-FDR-significant HPA brain cell type,none
Multiple sclerosis,neurological,41505.0,140,297,73.06397306397307,0,0,pending,Vermis 9,3.2786638684057667,0.068993100689931,leukocyte activation,leukocyte,none
Tourette syndrome,neurological,19698.0,0,0,,0,0,not_available,,,,,,"Eligible risk GWAS exists, but current Open Targets has zero credible sets; older eligible studies also have zero."
