region_id,region,Stage 6 Z-score,Stage 6 FDR,spatial statistic,spatial_null_p,spatial_null_fdr,spatial robustness measure,robust/not_robust,rank,spatial_isolate,donor_median_rank_percentile,donor_rank_iqr,donors_observed
28,OFCant R,3.0566367753650683,0.1793820617938206,3.0566367753650683,0.0093990600939906,0.7623737626237376,0.9906009399060094,not_robust,1,False,0.9266225961538461,0.034314903846153766,2
20,Frontal Sup Medial R,2.633686530481111,0.2690730926907309,2.633686530481111,0.011398860113988602,0.7623737626237376,0.9886011398860114,not_robust,2,False,0.7191105769230769,0.2652644230769231,2
141,Thal MGN L,2.383839881049032,0.3242675732426757,2.383839881049032,0.019698030196980302,0.7623737626237376,0.9803019698030196,not_robust,3,False,0.9615384615384616,0.007692307692307665,2
146,Thal PuM R,2.3598755927506923,0.3242675732426757,2.3598755927506923,0.022097790220977902,0.7623737626237376,0.9779022097790221,not_robust,4,False,0.8329927884615385,0.04393028846153846,2
4,Frontal Sup 2 R,2.093181760563216,0.5077892210778922,2.093181760563216,0.0491950804919508,0.8484618204846182,0.9508049195080492,not_robust,5,False,0.6410456730769231,0.19489182692307694,2
37,Cingulate Mid L,1.7301977851209205,0.6684664866846648,1.7301977851209205,0.049295070492950704,0.8484618204846182,0.9507049295070493,not_robust,6,False,0.5903225806451613,0.18368486352357316,6
45,Amygdala L,1.5387176061019034,0.7155570157269987,1.5387176061019034,0.07889211078892111,0.8484618204846182,0.9211078892110789,not_robust,7,False,0.6612903225806451,0.3307692307692308,5
128,Thal VL R,1.8210236317945232,0.6684664866846648,1.8210236317945232,0.08029197080291971,0.8484618204846182,0.9197080291970803,not_robust,8,False,0.8330528846153846,0.036177884615384626,2
41,Hippocampus L,1.741246693186499,0.6684664866846648,1.741246693186499,0.08549145085491451,0.8484618204846182,0.9145085491450855,not_robust,9,False,0.5961538461538461,0.15352822580645165,6
11,Frontal Inf Orb 2 L,1.3514219379593178,0.7155570157269987,1.3514219379593178,0.09659034096590341,0.8484618204846182,0.9034096590340965,not_robust,10,False,0.7358774038461539,0.2558826380272953,6
94,Temporal Inf R,1.7434500685328211,0.6684664866846648,1.7434500685328211,0.096990300969903,0.8484618204846182,0.903009699030097,not_robust,11,False,0.5802283653846154,0.1505408653846153,2
145,Thal PuM L,1.3432026599858418,0.7155570157269987,1.3432026599858418,0.09869013098690131,0.8484618204846182,0.9013098690130987,not_robust,12,False,0.8125,0.2156327543424318,5
