disease,ACC pre L,ACC pre R,ACC sup L,ACC sup R,Amygdala L,Amygdala R,Angular L,Angular R,Calcarine L,Calcarine R,Caudate L,Caudate R,Cerebellum 10 L,Cerebellum 4 5 L,Cerebellum 4 5 R,Cerebellum 6 L,Cerebellum 6 R,Cerebellum 7b L,Cerebellum 7b R,Cerebellum 8 L,Cerebellum 8 R,Cerebellum 9 L,Cerebellum 9 R,Cerebellum Crus1 L,Cerebellum Crus1 R,Cerebellum Crus2 L,Cerebellum Crus2 R,Cingulate Mid L,Cingulate Mid R,Cingulate Post L,Cuneus L,Frontal Inf Oper L,Frontal Inf Oper R,Frontal Inf Orb 2 L,Frontal Inf Orb 2 R,Frontal Inf Tri L,Frontal Inf Tri R,Frontal Med Orb L,Frontal Med Orb R,Frontal Mid 2 L,Frontal Mid 2 R,Frontal Sup 2 L,Frontal Sup 2 R,Frontal Sup Medial L,Frontal Sup Medial R,Fusiform L,Fusiform R,Heschl L,Heschl R,Hippocampus L,Hippocampus R,Insula L,Insula R,LC L,LC R,Lingual L,Lingual R,N Acc L,N Acc R,OFCant L,OFCant R,OFClat L,OFClat R,OFCmed L,OFCmed R,OFCpost L,OFCpost R,Occipital Inf L,Occipital Inf R,Occipital Mid L,Occipital Mid R,Occipital Sup L,Olfactory L,Olfactory R,Pallidum L,Pallidum R,ParaHippocampal L,ParaHippocampal R,Paracentral Lobule L,Paracentral Lobule R,Parietal Inf L,Parietal Inf R,Parietal Sup L,Parietal Sup R,Postcentral L,Postcentral R,Precentral L,Precentral R,Precuneus L,Precuneus R,Putamen L,Putamen R,Raphe D,Raphe M,Rectus L,Rectus R,Red N L,Red N R,Rolandic Oper L,Rolandic Oper R,SN pc L,SN pr L,SN pr R,Supp Motor Area L,Supp Motor Area R,SupraMarginal L,SupraMarginal R,Temporal Inf L,Temporal Inf R,Temporal Mid L,Temporal Mid R,Temporal Pole Mid L,Temporal Pole Sup L,Temporal Pole Sup R,Temporal Sup L,Temporal Sup R,Thal AV L,Thal AV R,Thal IL L,Thal LGN L,Thal LGN R,Thal MDl L,Thal MDm L,Thal MDm R,Thal MGN L,Thal PuA L,Thal PuA R,Thal PuI L,Thal PuI R,Thal PuM L,Thal PuM R,Thal VA L,Thal VL L,Thal VL R,Thal VPL L,Thal VPL R,Vermis 8,Vermis 9
Alzheimer disease,0.9063799502402702,0.7430026228146416,0.7430026228146416,0.9873221633060575,0.9812599385222768,0.9982001799820018,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9873221633060575,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9812599385222768,0.9873221633060575,0.9812599385222768,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9297145757122401,0.9063799502402702,0.8987501249875013,0.9063799502402702,0.9873221633060575,0.9063799502402702,0.9463344574633447,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9812599385222768,0.9873221633060575,0.9063799502402702,0.9873221633060575,0.7430026228146416,0.7430026228146416,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9463344574633447,0.9063799502402702,0.9297145757122401,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9982001799820018,0.9063799502402702,0.9873221633060575,0.9812599385222768,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.7430026228146416,0.7430026228146416,0.7430026228146416,0.9063799502402702,0.9982001799820018,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.9935006499350065,0.7430026228146416,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9873221633060575,0.9873221633060575,0.7430026228146416,0.9873221633060575,0.9873221633060575,0.9063799502402702,0.9063799502402702,0.7430026228146416,0.9063799502402702,0.9873221633060575,0.7430026228146416,0.9063799502402702,0.9812599385222768,0.8987501249875013,0.7430026228146416,0.7430026228146416,0.9812599385222768,0.9063799502402702,0.9063799502402702,0.9063799502402702,0.9873221633060575,0.9063799502402702,0.9063799502402702
Amyotrophic lateral sclerosis,0.9988001199880012,0.8266119334012544,0.9859369618593696,0.9859369618593696,0.9738920844757629,0.9738920844757629,0.8043195680431957,0.9089642759861944,0.716576618200249,0.6997871641407287,0.9133745716337458,0.8891696196234036,0.8891696196234036,0.9089642759861944,0.7751867670375819,0.9859369618593696,0.9738920844757629,0.8043195680431957,0.9532312074914956,0.792040795920408,0.5691930806919308,0.7893278468763293,0.9794812518748125,0.9859369618593696,0.9794812518748125,0.9499487551244875,0.9738920844757629,0.9859369618593696,0.9859369618593696,0.6997871641407287,0.5691930806919308,0.9449876065025078,0.7751867670375819,0.7476599278847625,0.716576618200249,0.6997871641407287,0.716576618200249,0.9794812518748125,0.8891696196234036,0.716576618200249,0.9449876065025078,0.7476599278847625,0.6997871641407287,0.7893278468763293,0.7476599278847625,0.9738920844757629,0.9859369618593696,0.716576618200249,0.6997871641407287,0.8728063902470513,0.797379278465596,0.9738920844757629,0.9859369618593696,0.716576618200249,0.7476599278847625,0.7751867670375819,0.7476599278847625,0.9738920844757629,0.9449876065025078,0.7476599278847625,0.7476599278847625,0.9794812518748125,0.8266119334012544,0.9089642759861944,0.9532312074914956,0.9794812518748125,0.9794812518748125,0.6715328467153284,0.5961003899610039,0.716576618200249,0.4001599840015998,0.7476599278847625,0.9988001199880012,0.9859369618593696,0.7476599278847625,0.9738920844757629,0.9794812518748125,0.9794812518748125,0.9432123454321235,0.716576618200249,0.716576618200249,0.6997871641407287,0.7428999035580313,0.8043195680431957,0.7476599278847625,0.8043195680431957,0.7751867670375819,0.7476599278847625,0.716576618200249,0.716576618200249,0.8266119334012544,0.9089642759861944,0.8266119334012544,0.716576618200249,0.9794812518748125,0.9738920844757629,0.7476599278847625,0.7428999035580313,0.9738920844757629,0.7893278468763293,0.7751867670375819,0.716576618200249,0.8043195680431957,0.9449876065025078,0.9738920844757629,0.7751867670375819,0.9738920844757629,0.9738920844757629,0.9738920844757629,0.7476599278847625,0.9794812518748125,0.9955298587788279,0.9859369618593696,0.9794812518748125,0.7476599278847625,0.8728063902470513,0.9738920844757629,0.8043195680431957,0.6997871641407287,0.7476599278847625,0.6997871641407287,0.9449876065025078,0.8266119334012544,0.9089642759861944,0.716576618200249,0.8728063902470513,0.8003199680031997,0.7751867670375819,0.7476599278847625,0.9738920844757629,0.9246625899207832,0.8728063902470513,0.7476599278847625,0.716576618200249,0.8428197180281973,0.5691930806919308,0.7476599278847625,0.8043195680431957
Attention deficit-hyperactivity disorder,0.7479893520081954,0.7116742871167429,0.9988001199880012,0.9988001199880012,0.9845542918235649,0.9988001199880012,0.38044766951876235,0.20352964703529647,0.8748737066591848,0.7479893520081954,0.7479893520081954,0.7479893520081954,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.5329717028297171,0.9988001199880012,0.8748737066591848,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.5160683931606839,0.9421189460001369,0.9034037772693319,0.9988001199880012,0.11728827117288272,0.9988001199880012,0.7116742871167429,0.8748737066591848,0.7116742871167429,0.45228810452288104,0.7479893520081954,0.8053376480533765,0.7479893520081954,0.4539019782232303,0.7116742871167429,0.7479893520081954,0.7479893520081954,0.7479893520081954,0.8748737066591848,0.9988001199880012,0.8053376480533765,0.8748737066591848,0.9421189460001369,0.7479893520081954,0.8748737066591848,0.8748737066591848,0.7479893520081954,0.9264787806933592,0.9527862028611952,0.6301369863013698,0.11383861613838615,0.28977102289771023,0.2797356627973567,0.7479893520081954,0.26217378262173785,0.0413958604139586,0.11383861613838615,0.5329717028297171,0.7479893520081954,0.959546741955018,0.7479893520081954,0.9988001199880012,0.7479893520081954,0.8067264702101219,0.9963503649635036,0.959546741955018,0.9527862028611952,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.8748737066591848,0.9988001199880012,0.8748737066591848,0.7479893520081954,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.8748737066591848,0.7116742871167429,0.9514061252102638,0.9421189460001369,0.959546741955018,0.9191080891910809,0.11728827117288272,0.0413958604139586,0.959546741955018,0.9988001199880012,0.9421189460001369,0.9988001199880012,0.7479893520081954,0.9988001199880012,0.45228810452288104,0.9988001199880012,0.9988001199880012,0.7479893520081954,0.620937906209379,0.7479893520081954,0.22077792220777923,0.40567943205679435,0.20352964703529647,0.9988001199880012,0.9646768656467687,0.9988001199880012,0.9988001199880012,0.28977102289771023,0.45228810452288104,0.5558084191580842,0.7116742871167429,0.959546741955018,0.9988001199880012,0.7479893520081954,0.5329717028297171,0.9514061252102638,0.959546741955018,0.9421189460001369,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9514061252102638,0.8748737066591848,0.9579944444579932,0.959546741955018,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9421189460001369,0.5329717028297171
Bipolar disorder,0.6834916508349166,0.7258074192580742,0.7585834009191673,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9541339983648695,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9989139547583703,0.8550693317764998,0.6834916508349166,0.7066864742097217,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9989139547583703,0.6834916508349166,0.7066864742097217,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9989139547583703,0.6834916508349166,0.7585834009191673,0.6834916508349166,0.9989139547583703,0.7137478033018615,0.7585834009191673,0.6834916508349166,0.8541645835416458,0.7848979807901564,0.7066864742097217,0.8503399660033998,0.9989139547583703,0.7066864742097217,0.7137478033018615,0.7066864742097217,0.6834916508349166,0.7066864742097217,0.6834916508349166,0.7585834009191673,0.8541645835416458,0.6834916508349166,0.6834916508349166,0.9999000099990001,0.9989139547583703,0.6834916508349166,0.6834916508349166,0.9062004690620047,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.8329925628126842,0.7585834009191673,0.6834916508349166,0.6834916508349166,0.8628449655034497,0.6834916508349166,0.7258074192580742,0.6834916508349166,0.7066864742097217,0.7066864742097217,0.8541645835416458,0.9062004690620047,0.7637453122157664,0.9989139547583703,0.9989139547583703,0.9989139547583703,0.7137478033018615,0.9989139547583703,0.6834916508349166,0.7848979807901564,0.6834916508349166,0.8329925628126842,0.98845884642305,0.98845884642305,0.8628449655034497,0.9989139547583703,0.9989139547583703,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9999000099990001,0.9999000099990001,0.7066864742097217,0.7269694083223256,0.9999000099990001,0.9989139547583703,0.9989139547583703,0.8869133494813783,0.9999000099990001,0.9989139547583703,0.9989139547583703,0.9989139547583703,0.9989139547583703,0.9989139547583703,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.8869133494813783,0.6834916508349166,0.9989139547583703,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.7632992798281147,0.9999000099990001,0.9989139547583703,0.9999000099990001,0.6834916508349166,0.6834916508349166,0.8541645835416458,0.9999000099990001,0.6834916508349166,0.7066864742097217,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.6834916508349166,0.9989139547583703,0.9062004690620047,0.9989139547583703,0.9989139547583703,0.8628449655034497,0.9989139547583703,0.9989139547583703
Epilepsy,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9037034758062655,0.9826070024576489,0.6921097363947816,0.6930670569306706,0.9409524800944563,0.917416591674166,0.9956004399560044,0.7594548237483945,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9037034758062655,0.6411758824117588,0.9521047895210477,0.917416591674166,0.9956004399560044,0.9037034758062655,0.9567043295670433,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.8610823128213495,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.6411758824117588,0.6411758824117588,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.7337799553377995,0.7337799553377995,0.6411758824117588,0.6411758824117588,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.7594548237483945,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.6411758824117588,0.6411758824117588,0.6930670569306706,0.7337799553377995,0.7337799553377995,0.9956004399560044,0.9956004399560044,0.7337799553377995,0.7337799553377995,0.9956004399560044,0.9956004399560044,0.7337799553377995,0.7337799553377995,0.8610823128213495,0.7337799553377995,0.7337799553377995,0.7594548237483945,0.7337799553377995,0.6411758824117588,0.7337799553377995,0.7277272272772722,0.917416591674166,0.7337799553377995,0.799042317990423,0.917416591674166,0.6921097363947816,0.917416591674166,0.9956004399560044,0.9956004399560044,0.9037034758062655,0.9956004399560044,0.9037034758062655,0.917416591674166,0.7852195912484224,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.7337799553377995,0.7594548237483945,0.917416591674166,0.9956004399560044,0.9956004399560044,0.9037034758062655,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.9956004399560044,0.7388261173882612,0.6411758824117588,0.801323504013235,0.7594548237483945,0.6411758824117588,0.7337799553377995,0.6411758824117588,0.6550286147855802,0.7337799553377995,0.9037034758062655,0.9037034758062655,0.7594548237483945,0.6411758824117588,0.7337799553377995,0.7337799553377995,0.6550286147855802,0.6411758824117588,0.7337799553377995,0.6411758824117588,0.7337799553377995,0.6411758824117588,0.7337799553377995,0.7337799553377995,0.6930670569306706
Major depressive disorder,0.7892137615506742,0.7892137615506742,0.9961003899610039,0.918545182518785,0.7892137615506742,0.7892137615506742,0.7892137615506742,0.7892137615506742,0.918545182518785,0.918545182518785,0.7892137615506742,0.8082807103904994,0.7892137615506742,0.9490384294903843,0.9961003899610039,0.918545182518785,0.9961003899610039,0.9961003899610039,0.7892137615506742,0.9961003899610039,0.8082807103904994,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.9301893340077758,0.9961003899610039,0.9961003899610039,0.8082807103904994,0.9961003899610039,0.7892137615506742,0.7892137615506742,0.9961003899610039,0.9961003899610039,0.8082807103904994,0.9961003899610039,0.918545182518785,0.918545182518785,0.7892137615506742,0.7892137615506742,0.7892137615506742,0.9490384294903843,0.8082807103904994,0.7892137615506742,0.918545182518785,0.8082807103904994,0.7892137615506742,0.9301893340077758,0.918545182518785,0.9961003899610039,0.7497250274972503,0.7892137615506742,0.8632054827304154,0.918545182518785,0.9961003899610039,0.9301893340077758,0.918545182518785,0.9554044595540446,0.7892137615506742,0.7892137615506742,0.7892137615506742,0.7497250274972503,0.9961003899610039,0.7892137615506742,0.7892137615506742,0.7892137615506742,0.918545182518785,0.815907298159073,0.918545182518785,0.918545182518785,0.8006485065779136,0.8511569895642015,0.8390053851757681,0.8390053851757681,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.7892137615506742,0.7892137615506742,0.9961003899610039,0.9961003899610039,0.9513466235794004,0.9961003899610039,0.7892137615506742,0.918545182518785,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.7892137615506742,0.8527547245275473,0.918545182518785,0.8082807103904994,0.8527547245275473,0.9961003899610039,0.8082807103904994,0.7892137615506742,0.9961003899610039,0.9961003899610039,0.7892137615506742,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.906109389061094,0.9330113500277879,0.9961003899610039,0.7892137615506742,0.918545182518785,0.8022453568596629,0.7892137615506742,0.9490384294903843,0.7892137615506742,0.9301893340077758,0.7892137615506742,0.918545182518785,0.8527547245275473,0.815907298159073,0.7497250274972503,0.9961003899610039,0.8082807103904994,0.7892137615506742,0.9961003899610039,0.906109389061094,0.7892137615506742,0.9961003899610039,0.7892137615506742,0.9961003899610039,0.9961003899610039,0.9490384294903843,0.9961003899610039,0.918545182518785,0.9961003899610039,0.9961003899610039,0.9961003899610039,0.9948360002709407,0.9961003899610039,0.9961003899610039,0.7892137615506742,0.7892137615506742
Migraine,0.973569309735693,0.9446535346465353,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.8915441789154418,0.5574642535746425,0.9446535346465353,0.9421980878835193,0.9957004299570043,0.8664581817680301,0.8915441789154418,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.9446535346465353,0.9957004299570043,0.1655834416558344,0.9957004299570043,0.8915441789154418,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9446535346465353,0.9957004299570043,0.9957004299570043,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9421980878835193,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.5574642535746425,0.973569309735693,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.5574642535746425,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9446535346465353,0.8849515048495151,0.6915868413158683,0.9957004299570043,0.46915308469153083,0.34496550344965504,0.9957004299570043,0.973569309735693,0.9957004299570043,0.9446535346465353,0.9957004299570043,0.9957004299570043,0.9421980878835193,0.9957004299570043,0.6747525247475252,0.6071392860713929,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.6915868413158683,0.9957004299570043,0.6915868413158683,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.5574642535746425,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.8033863280338632,0.9957004299570043,0.6747525247475252,0.9446535346465353,0.9446535346465353,0.6747525247475252,0.9957004299570043,0.9957004299570043,0.6915868413158683,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.5574642535746425,0.6915868413158683,0.5782876257828763,0.9957004299570043,0.9957004299570043,0.973569309735693,0.46915308469153083,0.9957004299570043,0.8915441789154418,0.9446535346465353,0.9957004299570043,0.9446535346465353,0.9446535346465353,0.5574642535746425,0.8915441789154418,0.9957004299570043,0.8210178982101789,0.9957004299570043,0.9957004299570043,0.9957004299570043,0.7562705267934744,0.8915441789154418
Multiple sclerosis,0.8652884711528847,0.9988001199880012,0.8652884711528847,0.9988001199880012,0.20467953204679531,0.9988001199880012,0.6500683265006832,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.8737286271372863,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.6473852614738527,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.1849015098490151,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.6476152384761524,0.8652884711528847,0.9988001199880012,0.9988001199880012,0.6623337666233376,0.6500683265006832,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.4812268773122688,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.068993100689931,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.1849015098490151,0.48847115288471155,0.6476152384761524,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.7451254874512548,0.6473852614738527,0.8213464367848928,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.48847115288471155,0.6476152384761524,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.3587641235876412,0.9988001199880012,0.6500683265006832,0.9988001199880012,0.9988001199880012,0.12418758124187582,0.068993100689931
Parkinson disease,0.7187547911875478,0.7187547911875478,0.8672223686722237,1.0,0.7155570157269987,0.7155570157269987,0.7187547911875478,0.9346840315968402,1.0,0.9346840315968402,1.0,1.0,0.7155570157269987,0.7187547911875478,0.7181031896810319,0.8672223686722237,0.955220606971561,1.0,1.0,1.0,1.0,1.0,1.0,0.8672223686722237,0.957013913993216,1.0,1.0,0.6684664866846648,0.7155570157269987,1.0,1.0,0.7592000799920008,0.957013913993216,0.7155570157269987,1.0,0.8672223686722237,1.0,0.7187547911875478,0.7181031896810319,0.8672223686722237,1.0,0.7155570157269987,0.5077892210778922,0.7187547911875478,0.26907309269073093,0.7187547911875478,0.957013913993216,0.7187547911875478,0.8672223686722237,0.6684664866846648,0.7187547911875478,0.9346840315968402,0.955220606971561,0.7342627439383721,0.957013913993216,1.0,1.0,0.955220606971561,1.0,0.8298111365334054,0.1793820617938206,0.957013913993216,0.9346840315968402,0.9120693564446373,0.7187547911875478,0.8672223686722237,0.9346840315968402,1.0,0.8752856057677815,0.955220606971561,0.7187547911875478,1.0,0.9346840315968402,1.0,1.0,1.0,0.9120693564446373,0.8672223686722237,0.955220606971561,0.957013913993216,0.955220606971561,0.955220606971561,0.9472346882958763,1.0,0.957013913993216,1.0,0.9346840315968402,0.9983630208407731,1.0,0.8672223686722237,1.0,1.0,0.8672223686722237,0.8672223686722237,0.7155570157269987,0.7187547911875478,0.9472346882958763,0.7235276472352765,0.7187547911875478,1.0,0.7187547911875478,0.957013913993216,0.7592000799920008,0.7187547911875478,0.9472346882958763,0.7155570157269987,1.0,0.7592000799920008,0.6684664866846648,0.7187547911875478,0.8672223686722237,0.8672223686722237,0.9120693564446373,0.9120693564446373,0.8672223686722237,0.7187547911875478,0.8672223686722237,0.9472346882958763,0.9472346882958763,0.7155570157269987,0.7187547911875478,0.7181031896810319,0.7187547911875478,0.7155570157269987,0.32426757324267574,0.957013913993216,0.9346840315968402,0.7187547911875478,0.955220606971561,0.7155570157269987,0.32426757324267574,1.0,0.957013913993216,0.6684664866846648,0.957013913993216,0.9346840315968402,0.7155570157269987,0.7187547911875478
Schizophrenia,0.44939596949395977,0.2951919093804905,1.0,1.0,0.039424628965674856,0.004599540045995401,0.052128120521281206,1.0,0.36462853714628535,0.44939596949395977,0.2951919093804905,0.27057294270572946,1.0,0.575244114932769,0.6693392199241615,0.27057294270572946,0.44939596949395977,1.0,1.0,1.0,1.0,1.0,1.0,0.2951919093804905,0.7083291670832916,1.0,1.0,0.2951919093804905,0.8860553944605539,0.2532046795320468,0.3431498955367621,0.0620937906209379,0.9445782694457827,0.20480057257432152,1.0,0.20480057257432152,0.0740107807401078,0.5439561307027192,0.3127687231276872,0.7677232276772322,0.27057294270572946,0.6200476726520897,0.5556868042009357,0.5439561307027192,0.6437165807228802,0.5439561307027192,1.0,0.3398403016841173,0.5099857361202654,0.004599540045995401,0.013798620137986202,0.34189914341899147,1.0,1.0,1.0,0.3372037796220378,0.8076918335563704,1.0,0.13010127558672702,0.4868513148685132,0.0206979302069793,1.0,0.9689108012275697,0.575244114932769,0.48233843282338434,0.2951919093804905,0.7677232276772322,0.5324644006187617,0.32048408062419564,0.5439561307027192,0.11357325805880951,0.3127687231276872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3431498955367621,0.5099857361202654,0.20480057257432152,0.44939596949395977,1.0,0.8309006937144123,1.0,1.0,1.0,0.3640712851791744,0.3398403016841173,0.0206979302069793,0.004599540045995401,1.0,1.0,0.8058777455587774,0.5099857361202654,1.0,1.0,0.052128120521281206,0.9357643183050116,1.0,1.0,1.0,0.7804105303755339,1.0,0.11357325805880951,0.5284871512848714,0.6693392199241615,0.5439561307027192,0.20480057257432152,0.7659263924353833,1.0,1.0,1.0,0.19686031396860315,0.3398403016841173,0.5556868042009357,1.0,1.0,1.0,1.0,0.7896308960653231,0.5439561307027192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
