disease_1,disease_2,metric,correlation,p_value,n_regions
Alzheimer disease,Alzheimer disease,pearson,0.9999999999999998,0.0,138
Alzheimer disease,Alzheimer disease,spearman,0.9999999999999998,0.0,138
Alzheimer disease,Amyotrophic lateral sclerosis,pearson,-0.15715989021951046,0.06563993343311185,138
Alzheimer disease,Amyotrophic lateral sclerosis,spearman,-0.1548326556146387,0.06978885948695766,138
Alzheimer disease,Attention deficit-hyperactivity disorder,pearson,0.0659613146755776,0.4420955028821324,138
Alzheimer disease,Attention deficit-hyperactivity disorder,spearman,0.03699864608471902,0.6665921116113831,138
Alzheimer disease,Bipolar disorder,pearson,-0.19400546675048214,0.022606166364995194,138
Alzheimer disease,Bipolar disorder,spearman,-0.2263413008089244,0.007597358208716335,138
Alzheimer disease,Epilepsy,pearson,-0.07423884737830128,0.386835028427516,138
Alzheimer disease,Epilepsy,spearman,-0.09686316323012677,0.2583943783147282,138
Alzheimer disease,Major depressive disorder,pearson,-0.0911680633457061,0.28757470947933217,138
Alzheimer disease,Major depressive disorder,spearman,-0.056889556587037565,0.5074847969351969,138
Alzheimer disease,Migraine,pearson,0.2671278030156604,0.0015388385419180762,138
Alzheimer disease,Migraine,spearman,0.2421133864092477,0.004222919663010725,138
Alzheimer disease,Multiple sclerosis,pearson,0.2816247667339765,0.0008191418221777498,138
Alzheimer disease,Multiple sclerosis,spearman,0.2904935968711542,0.0005475842715927351,138
Alzheimer disease,Parkinson disease,pearson,0.26771750457542703,0.0015008656700864328,138
Alzheimer disease,Parkinson disease,spearman,0.2758037302306679,0.0010594838075106987,138
Alzheimer disease,Schizophrenia,pearson,-0.5271859227829734,3.077352296196895e-11,138
Alzheimer disease,Schizophrenia,spearman,-0.5080378730972694,2.010199412288125e-10,138
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,pearson,0.9999999999999992,0.0,138
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,spearman,0.9999999999999998,0.0,138
Amyotrophic lateral sclerosis,Attention deficit-hyperactivity disorder,pearson,-0.03264829489403231,0.7038389527906473,138
Amyotrophic lateral sclerosis,Attention deficit-hyperactivity disorder,spearman,-0.010532227978328222,0.9024209574263186,138
Amyotrophic lateral sclerosis,Bipolar disorder,pearson,-0.2458380665170946,0.003655955737668727,138
Amyotrophic lateral sclerosis,Bipolar disorder,spearman,-0.2370265006655418,0.0051244124936214545,138
Amyotrophic lateral sclerosis,Epilepsy,pearson,0.5933263566430551,1.741473908269816e-14,138
Amyotrophic lateral sclerosis,Epilepsy,spearman,0.5764642491021463,1.3757334700384096e-13,138
Amyotrophic lateral sclerosis,Major depressive disorder,pearson,-0.13352968200719428,0.11844093871230092,138
Amyotrophic lateral sclerosis,Major depressive disorder,spearman,-0.13816557036820556,0.10607805608440538,138
Amyotrophic lateral sclerosis,Migraine,pearson,0.15921775151141226,0.06214085008261015,138
Amyotrophic lateral sclerosis,Migraine,spearman,0.12280902031786185,0.15128859998239194,138
Amyotrophic lateral sclerosis,Multiple sclerosis,pearson,-0.07524324174715477,0.3804256977217792,138
Amyotrophic lateral sclerosis,Multiple sclerosis,spearman,-0.052300400238362146,0.5423790968439729,138
Amyotrophic lateral sclerosis,Parkinson disease,pearson,-0.040165871503628124,0.6399711515390536,138
