region,number_of_diseases_with_significant_enrichment,number_of_diseases_with_spatially_robust_enrichment,mean_z_score,maximum_z_score
OFCant R,1,0,1.3149798076272263,3.339765925788958
Hippocampus L,1,0,0.7484345097794096,4.426258202266709
Amygdala L,1,0,0.7076174501525336,2.8895503348217026
Hippocampus R,1,0,0.49211493996390654,3.3316044330118273
Rectus R,1,0,0.45628518717283956,3.198494043028086
OFCmed R,1,0,0.34491600296315494,3.284837817329499
Amygdala R,1,0,0.2355058029539432,3.9529349891888024
Putamen R,1,0,0.06262525626119872,4.4768199657387235
Putamen L,1,0,-0.14494311451255912,3.235854912975573
Thal MDm L,0,0,1.2691636313067653,2.24971989807333
Frontal Inf Orb 2 L,0,0,0.9429885297682643,2.579314044405796
Angular L,0,0,0.9290902710453965,2.6174753791670753
Thal AV L,0,0,0.9137664118094626,2.159283222095239
OFCant L,0,0,0.8374756524992211,2.709025648818485
Vermis 9,0,0,0.8181661418695372,3.2786638684057667
Occipital Mid R,0,0,0.6869413794912094,2.6637821771726617
Frontal Sup 2 R,0,0,0.6623438868894622,2.093181760563216
Vermis 8,0,0,0.6537656829904566,2.8055201270790557
Calcarine R,0,0,0.6404147487525274,1.896962079029502
Temporal Sup R,0,0,0.5991684224286764,1.9752605549790319
Heschl L,0,0,0.5832091690551868,1.9458431766459794
Thal PuM L,0,0,0.5499964558033058,2.079164905383461
Thal PuM R,0,0,0.5394139737815042,2.3598755927506923
Heschl R,0,0,0.5373521853716932,1.95904415030202
Occipital Inf R,0,0,0.5066834810222804,2.0977230058763547
Cingulate Post L,0,0,0.4691790246478423,1.7852316998616073
OFClat R,0,0,0.45552489985320854,1.7508154885224605
Thal AV R,0,0,0.45007677612904723,1.7349151200175046
Thal IL L,0,0,0.44924128574453837,1.76930992055107
Occipital Inf L,0,0,0.4413514442931599,1.8759580564770948
Occipital Mid L,0,0,0.434800658246977,1.2865077626862411
Frontal Med Orb R,0,0,0.4338082137624495,1.5533950855497531
ACC pre R,0,0,0.42817556106717597,1.5677957854643454
Precuneus R,0,0,0.4049032138691279,1.3843824552020638
Calcarine L,0,0,0.39275532462769325,1.3449063380167894
Frontal Sup Medial R,0,0,0.38969455942530595,2.633686530481111
Temporal Inf R,0,0,0.38304384377827294,2.18860711612317
Thal MDl L,0,0,0.35278158746414146,1.3206585160916795
