gene,ensembl_id,gene_name,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,n_stage_03_loci,credible_set_ids,stage_03_loci,lead_variants,top_credible_set_id,top_lead_variant,top_locus,study,score_interpretation,selection_rule
ITPKB,ENSG00000143772,inositol-trisphosphate 3-kinase B,0.9014809131622314,0.9014809131622314,0.9014809131622314,1,1,b66309d22dd2384d5567a0af77a089a3,PD_CHR01_008,rs4653767,b66309d22dd2384d5567a0af77a089a3,rs4653767,PD_CHR01_008,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SH3GL2,ENSG00000107295,"SH3 domain containing GRB2 like 2, endophilin A1",0.8994671702384949,0.8994671702384949,0.8994671702384949,1,1,1d050957d0bcfbfc986f88f4ae76cd6d,PD_CHR09_038,rs13294100,1d050957d0bcfbfc986f88f4ae76cd6d,rs13294100,PD_CHR09_038,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GPNMB,ENSG00000136235,glycoprotein nmb,0.8844435214996338,0.8844435214996338,0.8844435214996338,1,1,9120864c91ae901e3ae7b15b16c15603,PD_CHR07_034,rs199351,9120864c91ae901e3ae7b15b16c15603,rs199351,PD_CHR07_034,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
HIP1R,ENSG00000130787,huntingtin interacting protein 1 related,0.8798125386238098,0.8798125386238098,0.8798125386238098,1,1,317cf131406ec8091068e88c2420bdd3,PD_CHR12_050,rs10847864,317cf131406ec8091068e88c2420bdd3,rs10847864,PD_CHR12_050,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FCGR2A,ENSG00000143226,Fc gamma receptor IIa,0.8712173104286194,0.8712173104286194,0.8712173104286194,1,1,b7521a623d84c257ed1519ccfb493ec4,PD_CHR01_005,rs6658353,b7521a623d84c257ed1519ccfb493ec4,rs6658353,PD_CHR01_005,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SIPA1L2,ENSG00000116991,signal induced proliferation associated 1 like 2,0.8528462648391724,0.8528462648391724,0.8528462648391724,1,1,40d678df691f623cbc9d6dba734fcb27,PD_CHR01_009,rs1326293,40d678df691f623cbc9d6dba734fcb27,rs1326293,PD_CHR01_009,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TMEM163,ENSG00000152128,transmembrane protein 163,0.8511537313461304,0.8511537313461304,0.8511537313461304,1,1,440112da51393d8f0d80dd493b5e915d,PD_CHR02_011,rs57891859,440112da51393d8f0d80dd493b5e915d,rs57891859,PD_CHR02_011,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RIT2,ENSG00000152214,Ras like without CAAX 2,0.8445248007774353,0.8445248007774353,0.8445248007774353,1,1,2223af89455373212794d1f533caaf40,PD_CHR18_072,rs4588066,2223af89455373212794d1f533caaf40,rs4588066,PD_CHR18_072,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CTSB,ENSG00000164733,cathepsin B,0.8426995277404785,0.8426995277404785,0.8426995277404785,1,1,1cd39541c9ad8cbe5d0e944a08f8f2eb,PD_CHR08_035,rs1293298,1cd39541c9ad8cbe5d0e944a08f8f2eb,rs1293298,PD_CHR08_035,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
STK39,ENSG00000198648,serine/threonine kinase 39,0.8421160578727722,0.8421160578727722,0.8421160578727722,1,1,d8eff9af6b3bf50e76800c339580e801,PD_CHR02_012,rs12987123,d8eff9af6b3bf50e76800c339580e801,rs12987123,PD_CHR02_012,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
