gene,ensembl_id,gene_name,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,n_stage_03_loci,credible_set_ids,stage_03_loci,lead_variants,top_credible_set_id,top_lead_variant,top_locus,study,score_interpretation,selection_rule
ITPKB,ENSG00000143772,inositol-trisphosphate 3-kinase B,0.9014809131622314,0.9014809131622314,0.9014809131622314,1,1,b66309d22dd2384d5567a0af77a089a3,PD_CHR01_008,rs4653767,b66309d22dd2384d5567a0af77a089a3,rs4653767,PD_CHR01_008,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SH3GL2,ENSG00000107295,"SH3 domain containing GRB2 like 2, endophilin A1",0.8994671702384949,0.8994671702384949,0.8994671702384949,1,1,1d050957d0bcfbfc986f88f4ae76cd6d,PD_CHR09_038,rs13294100,1d050957d0bcfbfc986f88f4ae76cd6d,rs13294100,PD_CHR09_038,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
GPNMB,ENSG00000136235,glycoprotein nmb,0.8844435214996338,0.8844435214996338,0.8844435214996338,1,1,9120864c91ae901e3ae7b15b16c15603,PD_CHR07_034,rs199351,9120864c91ae901e3ae7b15b16c15603,rs199351,PD_CHR07_034,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
HIP1R,ENSG00000130787,huntingtin interacting protein 1 related,0.8798125386238098,0.8798125386238098,0.8798125386238098,1,1,317cf131406ec8091068e88c2420bdd3,PD_CHR12_050,rs10847864,317cf131406ec8091068e88c2420bdd3,rs10847864,PD_CHR12_050,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
FCGR2A,ENSG00000143226,Fc gamma receptor IIa,0.8712173104286194,0.8712173104286194,0.8712173104286194,1,1,b7521a623d84c257ed1519ccfb493ec4,PD_CHR01_005,rs6658353,b7521a623d84c257ed1519ccfb493ec4,rs6658353,PD_CHR01_005,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SIPA1L2,ENSG00000116991,signal induced proliferation associated 1 like 2,0.8528462648391724,0.8528462648391724,0.8528462648391724,1,1,40d678df691f623cbc9d6dba734fcb27,PD_CHR01_009,rs1326293,40d678df691f623cbc9d6dba734fcb27,rs1326293,PD_CHR01_009,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
TMEM163,ENSG00000152128,transmembrane protein 163,0.8511537313461304,0.8511537313461304,0.8511537313461304,1,1,440112da51393d8f0d80dd493b5e915d,PD_CHR02_011,rs57891859,440112da51393d8f0d80dd493b5e915d,rs57891859,PD_CHR02_011,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
RIT2,ENSG00000152214,Ras like without CAAX 2,0.8445248007774353,0.8445248007774353,0.8445248007774353,1,1,2223af89455373212794d1f533caaf40,PD_CHR18_072,rs4588066,2223af89455373212794d1f533caaf40,rs4588066,PD_CHR18_072,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
CTSB,ENSG00000164733,cathepsin B,0.8426995277404785,0.8426995277404785,0.8426995277404785,1,1,1cd39541c9ad8cbe5d0e944a08f8f2eb,PD_CHR08_035,rs1293298,1cd39541c9ad8cbe5d0e944a08f8f2eb,rs1293298,PD_CHR08_035,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
STK39,ENSG00000198648,serine/threonine kinase 39,0.8421160578727722,0.8421160578727722,0.8421160578727722,1,1,d8eff9af6b3bf50e76800c339580e801,PD_CHR02_012,rs12987123,d8eff9af6b3bf50e76800c339580e801,rs12987123,PD_CHR02_012,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
IGSF9B,ENSG00000080854,immunoglobulin superfamily member 9B,0.8415665030479431,0.8415665030479431,0.8415665030479431,1,1,5dd6ec393088e0e55eb1cf0664f32415,PD_CHR11_045,rs3802920,5dd6ec393088e0e55eb1cf0664f32415,rs3802920,PD_CHR11_045,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
CCSER1,ENSG00000184305,coiled-coil serine rich protein 1,0.8328624963760376,0.8328624963760376,0.8328624963760376,1,1,14648e8c292380917802dc831f614f56,PD_CHR04_024,rs75541595,14648e8c292380917802dc831f614f56,rs75541595,PD_CHR04_024,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
CLCN3,ENSG00000109572,Cl-/H+ antiporter 3,0.8020431399345398,0.8020431399345398,0.8020431399345398,1,1,27fbf89e6668fc09644f795c52ea42f7,PD_CHR04_026,rs7434295,27fbf89e6668fc09644f795c52ea42f7,rs7434295,PD_CHR04_026,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
BST1,ENSG00000109743,bone marrow stromal cell antigen 1,0.8018874526023865,0.8018874526023865,0.8018874526023865,1,1,4a2c27b955e21a147ccc9b58ee7fa86d,PD_CHR04_021,rs4698412,4a2c27b955e21a147ccc9b58ee7fa86d,rs4698412,PD_CHR04_021,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
TMEM175,ENSG00000127419,transmembrane protein 175,0.7957037091255188,0.7957037091255188,0.7957037091255188,1,1,c54fb958fa227c40069441cd9d03aa2a,PD_CHR04_020,rs34311866,c54fb958fa227c40069441cd9d03aa2a,rs34311866,PD_CHR04_020,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
FYN,ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",0.7615038752555847,0.7615038752555847,0.7615038752555847,1,1,68edb235c2263b6189e993240b99f029,PD_CHR06_032,rs9487736,68edb235c2263b6189e993240b99f029,rs9487736,PD_CHR06_032,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
CNTN1,ENSG00000018236,contactin 1,0.7606772780418396,0.7606772780418396,0.7606772780418396,1,1,60085c9852da11c93c1d7802e713e01a,PD_CHR12_049,rs73273590,60085c9852da11c93c1d7802e713e01a,rs73273590,PD_CHR12_049,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
