rank,gene,ensembl_id,locus,credible_set,lead_variant,l2g_score,fine_mapping_method,evidence
1,ITPKB,ENSG00000143772,PD_CHR01_008,b66309d22dd2384d5567a0af77a089a3,rs4653767,0.9014809131622314,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
2,SH3GL2,ENSG00000107295,PD_CHR09_038,1d050957d0bcfbfc986f88f4ae76cd6d,rs13294100,0.8994671702384949,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
3,GPNMB,ENSG00000136235,PD_CHR07_034,9120864c91ae901e3ae7b15b16c15603,rs199351,0.8844435214996338,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
4,HIP1R,ENSG00000130787,PD_CHR12_050,317cf131406ec8091068e88c2420bdd3,rs10847864,0.8798125386238098,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
5,FCGR2A,ENSG00000143226,PD_CHR01_005,b7521a623d84c257ed1519ccfb493ec4,rs6658353,0.8712173104286194,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
6,SIPA1L2,ENSG00000116991,PD_CHR01_009,40d678df691f623cbc9d6dba734fcb27,rs1326293,0.8528462648391724,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
7,TMEM163,ENSG00000152128,PD_CHR02_011,440112da51393d8f0d80dd493b5e915d,rs57891859,0.8511537313461304,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
8,RIT2,ENSG00000152214,PD_CHR18_072,2223af89455373212794d1f533caaf40,rs4588066,0.8445248007774353,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
9,CTSB,ENSG00000164733,PD_CHR08_035,1cd39541c9ad8cbe5d0e944a08f8f2eb,rs1293298,0.8426995277404785,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
10,STK39,ENSG00000198648,PD_CHR02_012,d8eff9af6b3bf50e76800c339580e801,rs12987123,0.8421160578727722,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
11,IGSF9B,ENSG00000080854,PD_CHR11_045,5dd6ec393088e0e55eb1cf0664f32415,rs3802920,0.8415665030479431,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
12,CCSER1,ENSG00000184305,PD_CHR04_024,14648e8c292380917802dc831f614f56,rs75541595,0.8328624963760376,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
13,CLCN3,ENSG00000109572,PD_CHR04_026,27fbf89e6668fc09644f795c52ea42f7,rs7434295,0.8020431399345398,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
14,BST1,ENSG00000109743,PD_CHR04_021,4a2c27b955e21a147ccc9b58ee7fa86d,rs4698412,0.8018874526023865,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
15,TMEM175,ENSG00000127419,PD_CHR04_020,c54fb958fa227c40069441cd9d03aa2a,rs34311866,0.7957037091255188,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
16,FYN,ENSG00000010810,PD_CHR06_032,68edb235c2263b6189e993240b99f029,rs9487736,0.7615038752555847,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
17,CNTN1,ENSG00000018236,PD_CHR12_049,60085c9852da11c93c1d7802e713e01a,rs73273590,0.7606772780418396,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
18,NOD2,ENSG00000167207,PD_CHR16_062,c4324116aa13f50cded13161dc92c6bd,rs34133110,0.7565200924873352,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
19,RNF141,ENSG00000110315,PD_CHR11_043,3e13e700e702859efc1893b1447cbe74,rs4910150,0.7541582584381104,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
